baumslag-gersten-splits-over-bs12-edges	claim	0	The Baumslag--Gersten group is a non-ascending HNN extension of the height-two Baumslag--Solitar tower over BS(1,2) edges, whose edge can act transitively, so the stable-permutation route reduces BG in B_A to a type (A) actor for the tower with shift-symmetric edges	**ESTABLISHED** (lane proof, elementary; not yet refereed; no priority claimed). Items 1–3 are
bell-generalized-cobham-theorem	claim	0	Bell's generalized Cobham theorem — a sequence that is (R,k)- and (R,l)-regular for multiplicatively independent k, l satisfies a linear recurrence over R	**ESTABLISHED** (citation; route `bell-generalized-cobham-theorem-citation`). Not reproved here.
binary-leavitt-elementary-groups-have-trivial-core-endomorphisms	claim	0	The simple Kazhdan groups EL_n over the binary Leavitt algebra have an injective, non-surjective corner endomorphism with trivial core	**ESTABLISHED** by `binary-leavitt-trivial-core-endomorphism-proof` (lane proof, elementary
block-power-germ-schedules-with-fp-germ-group-are-exponential	claim	0	A singular germ that runs one fixed homeomorphism f(d) times on the d-th annulus generates, with the annulus contraction, a finitely presented germ group only if f satisfies a linear recurrence, so f grows at most exponentially	**ESTABLISHED** (lane proof, elementary plus the Bieri–Strebel splitting theorem; not independently
boone-higman-closed-under-finite-direct-products	claim	0	The direct product of two groups that embed in finitely presented simple groups embeds in a finitely presented simple group	**OPEN.** Let `G <= S` and `H <= T` for finitely presented simple groups `S` and
brin-thompson-aperiodic-elements-have-logarithmic-movement	claim	0	An element of nV with a non-periodic point moves some coordinate by more than K within 2^(n(L+2K+1)) steps, so its exponent sums are at least logarithmic infinitely often	**ESTABLISHED** (lane proof, elementary, not independently reviewed; no priority
bs-1-m-embeds-in-brin-thompson-3v-for-odd-m	claim	0	For every odd m >= 3 the Baumslag-Solitar group BS(1,m) embeds in the Brin-Thompson group 3V	**ESTABLISHED** (lane bh-free-18, lane proof, not reviewed) through
bs-1-minus-m-embeds-in-brin-thompson-3v-for-odd-m	claim	0	For every odd m >= 3 the Baumslag-Solitar group BS(1,-m) embeds in the Brin-Thompson group 3V	**ESTABLISHED** (lane bh-free-18, lane proof, not reviewed). No priority claimed: the bounded arXiv
bs-quotients-keeping-a-commutator-have-a-commensurated-core	claim	0	In every quotient of BS(m,n) (gcd(m,n) = 1, |m|, |n| ≥ 2) that keeps [tat^-1, a] nontrivial, the kernel is free, the image of <a> is an infinite cyclic commensurated core-free subgroup whose normal closure is the kernel of a modular character onto Z, and an isolated such quotient has a rigid normal structure	**ESTABLISHED** (lane proof below, elementary, not reviewed; no priority claimed).
bs-quotients-keeping-a-commutator-need-distortion	claim	0	In a quotient of BS(m,n) (gcd(m,n) = 1, 2 ≤ |m| < |n|) that keeps [tat^-1, a], the image of a is a distorted element of infinite order; so no such quotient is torsion-by-(a group with undistorted cyclic subgroups) or torsion-by-PL, which excludes every Thompson-, Stein-, Houghton- and hyperbolic-type isolated host	**ESTABLISHED** (lane proof below, elementary modulo the cited undistortion theorems, not
bs12-embeds-in-brin-thompson-2v	claim	0	The Baumslag--Solitar group BS(1,2) embeds in some Brin--Thompson group nV with n ≥ 2	**OPEN.** Is there an element of some `nV`, `n ≥ 2`, of infinite order and
bs1m-embeds-in-3v-for-every-odd-m-via-smart-m	route	0	Same statement as the SMART_m theorem of lane bh-free-18	The target restates `bs-1-m-embeds-in-brin-thompson-3v-for-odd-m`: for every odd `m ≥ 3`, `BS(1,m) ≤ 3V`. That
bs1m-embeds-in-3v-for-every-odd-m	claim	0	For every odd m >= 3 the Baumslag-Solitar group BS(1,m) embeds in the Brin-Thompson group 3V	**ESTABLISHED** through `bs1m-embeds-in-3v-for-every-odd-m-via-smart-m`: this is the statement of
central-extension-shear-lift-into-rational-projective-groups	claim	0	Shear lift - a central Z-extension of a subgroup of the rational projective full group T_m whose class dies on its action groupoid embeds in T_(m+2), with the centre acting as an integral shear	**ESTABLISHED** (lane proof, elementary, not reviewed). No priority claimed.
central-extension-untwisting-over-boundaries	claim	0	A finite central extension can be realized over a boundary action with the kernel acting freely only if its class dies on every point stabilizer, and stabilizing by the Cuntz groupoid cannot remove this obstruction	**ESTABLISHED** (lane proof, elementary; not independently reviewed). This is
central-extensions-of-thompson-f-contain-f	claim	0	Thompson's group F has a self-embedding killing all of H^2(F;A), so every central extension of a group containing F contains F	**ESTABLISHED** through `central-extensions-of-thompson-f-contain-f-proof` (lane bh-free-24,
cocompact-tree-product-lattices-lie-in-type-a-class	claim	0	Every cocompact lattice in the automorphism group of a finite product of thick leafless trees lies in the type (A) class, torsion allowed	**ESTABLISHED** through `tree-lattice-with-torsion-via-zappa-szep-kgraphs` (lane
complex-braid-groups-in-pbh-except-g24-g27-g29-g33-g34	claim	0	The braid group of every finite complex reflection group lies in B_A, except possibly when an irreducible factor is of type G_24, G_27, G_29, G_33 or G_34	**ESTABLISHED** through `complex-braid-groups-in-pbh-except-g24-g27-g29-g33-g34-proof`.
complex-braid-groups-satisfy-permutational-boone-higman	claim	0	The braid group of every finite complex reflection group lies in B_A (open only for G_24, G_27, G_29, G_33, G_34)	**OPEN.** For every finite complex reflection group `W`, the braid group
continuity-of-automatic-structures-is-decidable	claim	0	An automatic structure with uniqueness is a continuous normal form exactly when left multiplication by each generator has bounded lookahead, and this is decidable from the multiplier automata	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed). Proof:
contracting-rsg-torsion-subgroups-are-residually-finite	claim	0	Every finitely generated torsion subgroup of a contracting rational similarity group is residually finite, so the Belk–Bleak–Matucci–Zaremsky hyperbolic hosts contain no infinite group of finite exponent	**OPEN.** Let `G ≤ R_{Γ,E}` be a contracting rational similarity group in the sense of Belk–Bleak–Matucci–Zaremsky
ct-p-z-acts-on-the-nonnegative-integers-with-type-a	claim	0	For every finite set P of odd primes, Kohl's finitely presented simple group CT_P(Z) acts on the nonnegative integers highly transitively with finitely generated point stabilizers, an action of type (A)	**ESTABLISHED** (lane proof, elementary given the characterization of CT_P(Z) in
ct-p1-and-ct-p2-always-generate-ct-p1-union-p2	claim	0	For all sets P1, P2 of odd primes, CT_P1(Z) and CT_P2(Z) generate CT_(P1 ∪ P2)(Z); Kourovka Problem 21.75 has a negative answer	**Second proof.** Lane bh-artin proved the same theorem independently, in
ct-p1-and-ct-p2-generate-ct-of-the-union	claim	0	Second, independent proof that CT_(P_1)(Z) and CT_(P_2)(Z) generate CT_(P_1 ∪ P_2)(Z) (Kourovka 21.75, negative answer); the primary node is ct-p1-and-ct-p2-always-generate-ct-p1-union-p2	**DUPLICATE (second proof).** Same statement as `ct-p1-and-ct-p2-always-generate-ct-p1-union-p2` (bh-free-37), which own
ct-z-finite-cycle-problems-are-undecidable	claim	0	In Kohl's class transposition group CT(Z) it is undecidable whether a given element has only finite cycles, and whether it has no finite cycles; this answers Kourovka Problem 21.74(b) and (c) negatively	**ESTABLISHED** (lane proof, not reviewed).
ct-z-normalizers-are-2-and-3-regular	claim	0	Every homeomorphism of the profinite integers normalizing CT(Z) restricts to a bijection of N_0 (after the flip) that is both 2-regular and 3-regular with polynomial growth; with Bell's generalized Cobham theorem this gives Out(CT(Z)) = C_2, answering Kourovka 17.57	**ESTABLISHED** (lane proof, not reviewed). No priority is claimed.
ct-z-north-south-element-has-no-finite-cycles	claim	0	An explicit product of five class transpositions has no finite cycles on Z and permutes no nontrivial partition of Z into residue classes	**ESTABLISHED** (lane proof, not reviewed). Elementary and self-contained. No
cusp-extensions-of-rel-hyperbolic-groups-satisfy-pbh	claim	0	Adding cusps E(g) x K along loxodromic elements keeps a relatively hyperbolic group in the permutational Boone--Higman class, torsion allowed	**ESTABLISHED** by `cusp-extensions-rel-hyperbolic-pbh-proof` (lane proof, not
cyclic-centralizer-subgroups-of-v-touch-attractors	claim	0	In a torsion-free subgroup of Thompson's V with cyclic centralizers, every nontrivial support meets the attractors, repellers or identity region of every other nontrivial element's flow power	**ESTABLISHED** (lane proof below, elementary; not reviewed; no priority claimed). It relies on one input
cyclic-input-window-zero-needs-an-automorphism-twist	claim	0	For the input Z, a genuine shell action passes window zero only with an automorphism twist; the endomorphisms a ↦ a^k with |k| ≥ 2 are impossible in both directions	**ESTABLISHED** by `cyclic-input-window-zero-needs-an-automorphism-twist-proof` (lane proof, elementary, not independent
decidable-algebras-embed-in-simple-self-similar-completions	claim	0	Every finitely generated algebra with solvable word problem embeds in the Leavitt--Nekrashevych completion of a free algebra along some matrix recursion whose self-similar quotient is minimal and aperiodic	**OPEN.** Let `K` be a computable field. For every finitely generated `K`-algebra `A` with solvable
decidable-fg-self-similar-groups-embed-in-fp-self-similar	claim	0	Every finitely generated self-similar group with solvable word problem embeds in a finitely presented self-similar group	**OPEN.** Let `S <= Aut(T_d)` be finitely generated and self-similar, with
decorated-garside-odometer-full-groups-are-type-f-infinity	claim	0	For every homogeneous Garside monoid, the topological full group of its binary-decorated Garside category extended by an odometer is of type F_infinity	**ESTABLISHED** (lane proof, not reviewed; no priority claimed). The finiteness
degree-category-full-groups-stabilized-have-type-a-actions	claim	0	If the Cuntz-stabilized full group of a finite degree category with strongly connected pieces is finitely presented, its action on clopen sets has type (A), finite groups of units allowed	**ESTABLISHED** through `degree-category-comparison-type-a-proof` (lane proof,
deligne-bh-via-rational-projective-full-group	route	0	If Deligne's class dies over some rational projective full group T_m and T_(m+2) is finitely presented, Deligne's lattice satisfies Boone-Higman	Let `n`, `m` and `j : Sp_{2n}(Z) ↪ 𝒯_m` be as in
deligne-class-dies-on-some-rational-projective-host	claim	0	For some n >= 2 there is an embedding of Sp_2n(Z) in a rational projective full group T_m on whose action groupoid Deligne's class dies	**OPEN.** There are `n ≥ 2` (ideally `n = 2`, the case of
deligne-class-survives-on-every-linear-rational-projective-host	claim	0	For n >= 2, no homomorphism Sp_2n(Z) -> GL_N(Z) makes Deligne's class die on the rational Cantorization of S^(N-1); the rational projective route needs a genuinely piecewise embedding	**ESTABLISHED** (lane proof, not reviewed). The textbook inputs are the same as for
deligne-class-survives-on-standard-rational-projective-hosts	claim	0	Deligne's class never dies over the rational Cantorization of a representation sphere of Sp_2n(Z) with a positive-measure orbit whose stabilizer contains a symplectic block; in particular not for the standard representation	**ESTABLISHED** (lane proof, modulo textbook inputs flagged below; not reviewed).
deligne-lattice-bh-via-lagrangian-brin-thompson-group	route	0	Deligne's lattice satisfies Boone-Higman if the commutator subgroup of the Lagrangian Brin-Thompson group is finitely presented	**Conditional route.** It rests on the OPEN claim
deligne-lattice-in-fg-simple-lagrangian-brin-thompson-group	claim	0	For every n >= 2 Deligne's lattice embeds in the finitely generated simple commutator subgroup of the Lagrangian Brin-Thompson group [[(Sp_2n(Z) on the unimodular Maslov Cantorization) x Cuntz]]; for n = 1 this group is 2V and the embedded lattice is B_3	**ESTABLISHED.** Lane proof in `deligne-lattice-lagrangian-brin-thompson-embedding-proof`,
deligne-lattice-is-universal-central-extension-for-g-ge-4	claim	0	For g at least four Deligne's lattice is the universal central extension of Sp_2g(Z), so it embeds in the universal central extension of every perfect group receiving Sp_2g(Z) injectively on H_2 (a criterion that no host reached through SL_N(Z) can meet)	**ESTABLISHED** (item 1 by citation, read at source; items 2--3 lane proof, elementary,
deligne-lattices-and-torelli-quotients-contain-heisenberg-groups	claim	0	Deligne's lattice over Sp_4(Z) and every Torelli lower-central quotient Mod(S_g)/T_g[c+1] (g >= 3, c >= 2) contain the integer Heisenberg group, so a no to H_3(Z) in nV excludes them from every Brin-Thompson host	**ESTABLISHED** (lane proof, elementary; not reviewed; no priority claimed).
dendrite-rearrangement-group-g3-has-simple-commutator-subgroup	claim	0	The commutator subgroup of the rearrangement group G_3 of the Ważewski dendrite D_3 is simple, answering Tarocchi's question; so every dendrite rearrangement group G_n, n ≥ 3, has simple commutator subgroup	**ESTABLISHED** (lane proof, not independently reviewed). The proof is the one step
dendrite-rearrangement-groups-are-finitely-presented	claim	0	The rearrangement groups G_n of the Ważewski dendrites D_n are finitely presented	**OPEN.** M. Tarocchi, *On Thompson groups for Ważewski dendrites*,
descending-shell-endomorphisms-have-finite-exponent-centralizers	claim	0	A descending window-zero shell endomorphism of an FW group has a centralizer of finite exponent, so corner and transplant endomorphisms never give one	**ESTABLISHED** by `descending-shell-centralizer-proof` (lane proof, elementary, not
double-of-psl2-z-half-along-psl2-z-lies-in-b-a	claim	0	The double of PSL_2(Z[1/2]) along PSL_2(Z), a finitely presented group that is not residually finite, and its centralizing HNN extensions lie in B_A	**ESTABLISHED** by `double-of-psl2-z-half-along-psl2-z-proof` (lane proof; not
equicontinuous-square-conjugators-are-trivial-in-brick-hosts	claim	0	In a group of brick maps of C^n with isometric sections, equicontinuity is the same as bounded exponent sums, and an element conjugated to an even power of itself by an equicontinuous homeomorphism has finite order, so the odometer of 2V_tau renormalizes nothing and every BS(1,2) conjugator there has unbounded exponent sums	**ESTABLISHED** (lane proof, elementary; not yet refereed; no novelty claimed).
escaping-invariant-sets-force-infinitely-many-double-cosets	claim	0	If a subgroup coarsely preserves a subset of an isometric G-space whose G-translates move arbitrarily far from it, the subgroup has infinitely many double cosets	**ESTABLISHED** (lane proof, elementary, inline; not reviewed; no priority
every-decidable-group-embeds-in-an-isolated-group	claim	0	Every finitely generated group with solvable word problem embeds in an isolated group (Cornulier--Guyot--Pitsch Question 4)	**OPEN.**
every-hyperbolic-group-embeds-in-some-brin-thompson-group	claim	0	Every hyperbolic group embeds in some Brin-Thompson group nV	**OPEN.** Only the cases below are known; the Attempts section records why the known method cannot reach hyperbolic Kazh
every-real-number-field-lies-in-an-f-unit-field	claim	0	Every real algebraic number field is contained in Q(β) for some algebraic unit β > 1 with property (F); if so, every interval exchange group with algebraic parameters satisfies Boone--Higman	**REFUTED** by `f-unit-fields-are-characterized-by-isolated-sign-units` (09-18). `Q(√3)` lies in no (F)-unit field: ever
exotic-a2-lattices-satisfy-boone-higman	claim	0	Cocompact lattices on exotic A2-tilde buildings embed in finitely presented simple groups	**ESTABLISHED** (2026-09-18, bh-groupoid; lane proof, not independently reviewed): a special case of
explicit-type-a-actor-with-non-pr-orbit-problem	claim	0	Some explicitly described finitely presented group has a faithful type (A) action whose orbit problem is not primitive recursive	**OPEN.** There is an explicitly described finitely presented group `G` with a faithful action on a set `S` of
exponential-chart-minimal-pl-elements-have-bounded-roots	claim	0	A rational PL circle homeomorphism with irrational rotation number whose Denjoy conjugacy is piecewise exponential or piecewise affine has roots of only finitely many orders, and is never PL-conjugate to a rotation	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed).
extensions-with-f-free-outer-kernel-contain-thompson-f	claim	0	If G/K contains Thompson's group F and Out(K) contains no copy of F, then G contains F	**ESTABLISHED** through `extensions-with-f-free-outer-kernel-contain-thompson-f-proof` (lane
f-unit-fields-are-characterized-by-isolated-sign-units	claim	0	A real number field inside Q(β) for an (F) unit β must have a unit whose sign at one real place is opposite to its sign at every other real place; for totally real fields this is also sufficient, and Q(√3) lies in no (F)-unit field	**ESTABLISHED** (lane proof, not reviewed; no priority claimed).
factorial-odometer-affine-hosts-are-rational-stein-groups	claim	0	Radix-changing value-affine homeomorphisms of the factorial odometer form the rational Stein–Thompson group, whose finitely generated subgroups lie in finitely presented Stein interval-exchange groups	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed).
ffwz-nonfaithful-stein-stabilizers-contain-canonical-kernel	claim	0	For a non-faithful action, stabilizers of SV_G on the Stein complex of SV_(G/K) contain the canonical kernel, so FFWZ Lemma 4.9(i) fails and their non-faithful finiteness proofs have a gap	**ESTABLISHED** by the proof below (lane proof, elementary, not reviewed). It exhibits a gap in
fg-decidable-group-whose-e-is-not-recursively-presented	claim	0	Some finitely generated recursively presented group with solvable word problem has non-recursively-enumerable one-variable mixed identities, so its group E(G) of constant maps and the identity is not recursively presented and embeds in no finitely presented group	**ESTABLISHED** (lane proof, elementary, written below, not reviewed; no priority claimed).
fg-infinite-shift-similar-groups-are-strongly-shift-similar	claim	0	Every finitely generated infinite shift-similar group is strongly shift-similar (the finitely generated form of Mallery-Zaremsky Question 3.18); if true, Mallery-Zaremsky Question 5.13 is fully answered	**OPEN.** A yes or no answer both count as progress.
fg-simple-circle-groups-with-t-are-two-generated	claim	0	Every finitely generated simple group of circle homeomorphisms that contains Thompson's group T is generated by two elements, one of them a finite-order rotation in T	**ESTABLISHED** by `fg-simple-circle-groups-with-t-two-generation-proof` (lane proof,
fibre-products-over-b-a-quotients-lie-in-cr	claim	0	A Mihailova fibre product P = {(g,h) : φ(g) = φ(h)} in F x F satisfies the coset-wreath conditions whenever the quotient Q lies in B_A, and fails them when Q has unsolvable word problem	**ESTABLISHED** by `fibre-products-over-b-a-quotients-proof` (lane proof, elementary; not
finitary-mixing-preserves-type-f-m	claim	0	Permutation groups containing the finitary symmetric group whose finite-set stabilizers are of type F_m stay in that class under finitary mixing, proved by Brown's criterion on the balanced slice of the infinite cube of recolorings	**ESTABLISHED** (lane proof, below; not independently reviewed; no priority claimed). The only imports are
finite-commutator-wachter-weiss-groups-are-not-fp	claim	0	With a finite commutator group, the Wächter–Weiß reduction groups are PSPACE-complete, locally-finite-by-Z and not finitely presented; the automaton groups are locally-finite-by-(check-mark group)	**ESTABLISHED** by `finite-commutator-wachter-weiss-groups-are-not-fp-proof`
finitely-generated-weakly-branch-group-embeds-in-thompson-v	claim	0	Some finitely generated weakly branch group embeds in Thompson's group V	**OPEN** (stated positively; the source expects a negative answer). C. Bodart,
fox-rational-section-fails-class-two-virtually	claim	0	For n at least four the Fox rational section of the abelianized Aut/Out extension lifts to class two over no finite-index subgroup, so a virtual section of Aut(F_n) to Out(F_n) forces nonzero H^1 of that subgroup with coefficients in H_Q	**ESTABLISHED** (lane proof below, elementary; not reviewed; no novelty claimed).
fp-almost-v-groups-have-fp-germ-groups	claim	0	Every finitely presented group between V and the almost-V group H has finitely presented isotropy germ groups at every point, however its finite presentation is proved	**ESTABLISHED** by `fp-almost-v-groups-fp-germ-groups-proof` (lane proof, elementary; gq-referee-a PASS,
fp-bieri-strebel-line-groups-are-deformation-rigid	claim	0	A finitely presented Bieri--Strebel line group G(R;A,P) with P nontrivial is deformation-rigid, so after rescaling A lies in the real number field Q(P)	**ESTABLISHED** through `bieri-strebel-line-rigidity-proof` (lane proof, elementary given the
fp-decidable-group-whose-e-is-not-recursively-presented	claim	0	Some finitely presented group with solvable word problem has one-variable mixed identities that are not recursively enumerable, so its group E(G) is not recursively presented, answering MathOverflow 412219 negatively	**ESTABLISHED** (lane proof, bh-free-08, 2026-09-18; elementary apart from Clapham's embedding theorem; not reviewed. Ma
fp-infinity-soluble-groups-satisfy-permutational-bh	claim	0	Every virtually soluble group of type FP_∞ lies in the permutational Boone--Higman class, and hence so does every elementary amenable group of type FP_∞	**ESTABLISHED** by `fp-infinity-soluble-groups-satisfy-permutational-bh-proof` (lane
fp-piecewise-projective-groups-specialize-to-algebraic-data	claim	0	A finitely presented group of one-dimensional piecewise-projective maps with arbitrary real data specializes to real algebraic data nontrivially on any finite set, so it has solvable word problem, and each of its finitely generated simple subgroups embeds in such a group over a real number field and has polynomial-time word problem	**ESTABLISHED** (lane proof, elementary given Tarski--Seidenberg; not reviewed). No priority is
fp-pl-groups-with-f-have-no-transcendental-support-endpoints	claim	0	A finitely generated PL group with data in Q(λ), λ transcendental, that contains a dyadic copy of Thompson's F and a one-bump element in F's interval with an irrational endpoint is not finitely presented	**ESTABLISHED** through `pl-transcendental-endpoint-non-fp-proof` (lane proof, elementary, not
fp-rf-groups-with-non-primitive-recursive-word-problem	claim	0	There are finitely presented residually finite (solvable, class 3) groups whose word problem is decidable but not primitive recursive; this answers Kourovka Problem 5.15 positively, from Kharlampovich–Myasnikov–Sapir	**ESTABLISHED** as a literature answer. The main input is cited and was read at source:
fp-strongly-shift-similar-groups-have-fp-houghton-like-groups	claim	0	If a strongly shift-similar group G is finitely presented then every Houghton-like group H_n(G) is finitely presented, for every n >= 1 (the finitely presented case of Mallery-Zaremsky Question 5.13, first and third sentences)	**ESTABLISHED** (lane proof, elementary modulo the cited Mallery--Zaremsky facts and P. Hall's extension lemma;
free-centre-by-metabelian-bh-via-linearity	route	0	Every F_n/[F_n'',F_n] is linear in characteristic zero, so it lies in the permutational Boone--Higman class	By `free-centre-by-metabelian-groups-are-linear`, `C_r` is a finitely generated subgroup
free-centre-by-metabelian-corner-kernel-is-the-torsion	claim	0	The (2n+1)x(2n+1) corner representation of F_n/[F_n'',F_n] over Z[Z^n] has kernel exactly the torsion subgroup, which is 0 for n <= 3 and (Z/d)^C(n,4) for n >= 4	**ESTABLISHED** (lane proof, inline; not independently reviewed). The one outside input
free-centre-by-metabelian-groups-are-linear	claim	0	Every free centre-by-metabelian group F_n/[F_n'',F_n] of finite rank is linear over Q(x_1..x_n), residually nilpotent and residually finite	**ESTABLISHED** by `free-centre-by-metabelian-linearity-via-gamma-seven-quotient`
free-centre-by-metabelian-linearity-via-gamma-seven-quotient	route	0	The corner representation kills only the torsion, and the torsion survives modulo gamma_7, so C_n embeds in a product of two linear groups	Write `T_n` for the torsion subgroup of `C_n` and `ρ_n` for the corner representation.
free-group-coset-wreaths-satisfy-pbh	claim	0	For every finitely generated subgroup C of a free group F, the coset lamplighters A wr_(F/C) F and the identity-edge extensions F *_C (C x K) lie in the permutational Boone--Higman class	**ESTABLISHED** by `free-group-coset-wreaths-satisfy-pbh-proof` (lane proof, not
fsym-extensions-lift-fp-via-pair-transitive-stable-subgroups	claim	0	A permutation group containing FSym(X) is finitely presented if its germ group is, it is generated by a finitely presented subgroup K containing FSym(X) and finitely many letters y, and each y conjugates into the group already built some finitely generated subgroup with finitely many orbits on pairs	**ESTABLISHED** (lane proof, elementary, proved below; not independently reviewed; no priority claimed).
full-group-label-length-bounds-distortion	claim	0	Label length is subadditive on a full group, so a subgroup whose labels are locally determined is undistorted in every finitely generated group between it and its full closure	**ESTABLISHED** (lane proof below, elementary, not independently reviewed; no priority claimed, the
fw-descending-shift-power-windows-force-torsion-centre	claim	0	If a shift power conjugates an FW input's action into itself in the descending direction, the centre of the input has finite exponent; so commuting shell windows fail in both directions for St_N(R_L)	**ESTABLISHED** by `fw-descending-shift-power-windows-force-torsion-centre-proof` (lane
fw-inputs-fail-commuting-shell-windows	claim	0	An infinite finitely generated FW input fails every shell window, of any width, whose shifted copies pairwise commute	**ESTABLISHED** by `fw-inputs-fail-commuting-shell-windows-proof` (lane proof, elementary,
fw-inputs-pass-window-zero-only-via-proper-self-embeddings	claim	0	For an input with property FW, in particular every Kazhdan input, a genuine shell action with an infinite orbit passes the window-zero gate only with sign −1, through an injective endomorphism of infinite index, and for simple inputs only through a highly transitive self-similar action	**ESTABLISHED** by `fw-inputs-pass-window-zero-only-via-proper-self-embeddings-proof`. Lane proof, elementary modulo the
fw-window-zero-descending-sign-forces-trivial-core	claim	0	For an FW input, the descending sign of shell window zero forces the endomorphism core to be trivial, so window zero fails for every co-Hopfian FW input	**ESTABLISHED** by `fw-window-zero-descending-sign-proof` (lane proof, elementary, not
