a2-action-kernels-are-recursive	Every type [A_2] action has a recursive kernel, so every action image has solvable word problem
abstract-twisted-bt-type-fn-colored-stein-proof	Run the faithful interval-filtration argument on the S-colored Stein complex of S'V_G, and get finite presentation from a pi_1 version of the filtration
abstract-twisted-bt-type-fn-criterion	For every action G on S, the abstract twisted Brin--Thompson group SV_G is finitely presented iff the action is of type [A_2], of type F_n iff it is of type [A_n], and of type FP_n iff it is of type [HA_n]
admissible-artin-pbh-reduces-to-free-partial-mapping-tori	An admissibly oriented Artin group A *_C B (C of index 2 in B) has an index-two twisted double of A, which embeds in the HNN extension of the free group A that twists the single subgroup C by an automorphism
admissibly-oriented-artin-groups-satisfy-boone-higman	Every Artin group whose defining graph admits an admissible partial orientation embeds in a finitely presented simple group
aff-q-bh-via-stein-interval-exchange-groups	Aff(Q) inside a finitely presented Stein interval-exchange group would give Boone–Higman for Aff(Q) through its breakpoint-orbit type (A) action
aff-q-embeds-in-a-stein-interval-exchange-group	Aff(Q) embeds in some Stein interval-exchange group V(1; Z[1/M], ⟨p : p | M⟩)
affine-self-similar-groups-are-function-field-linear	A finitely generated self-similar group of affine maps of F_p[[X]]^d is linear over a finite separable extension of F_p(X), so it has polynomial-time word problem and cannot host a two-counter KMS top with its lamps as translations
affine-self-similar-hosts-are-exactly-global-field-linear	A finitely generated group embeds in a finitely generated affine self-similar group over Z_p or F_q[[π]] if and only if it is linear over a global field
affine-thickening-hosts-are-never-fp	No residually finite thickening of an affine group by a finitary 3-cycle is finitely presented, in any dimension and over any Z[1/N]; periodization over a sublattice fakes every truncated presentation
affine-type-a-structure-groups-give-fp-simple-hosts	Affine type (A) - a saturated l-adic ring R and an oligomorphic permutation group G give a finitely presented virtually simple group of piecewise R[1/l]-affine maps of Z_l^D containing every GL_n(R)
algebra-bh-via-simple-self-similar-completions	Envelope decidable algebras by completions of free algebras along recursions with minimal aperiodic self-similar quotients
algebra-boone-higman-conjecture	Every finitely generated associative algebra with solvable word problem embeds in a finitely presented simple algebra
algebraic-interval-exchange-groups-satisfy-boone-higman	Every finitely generated group of interval exchanges, with or without flips, with real algebraic lengths and translations embeds in a finitely presented simple group; so do all subgroups of the Stein groups V(Z[u],⟨u⟩,ℓ) for suitable units u of every real number field
all-hyperbolic-groups-lie-in-one-fp-simple-group	One finitely presented simple group contains every hyperbolic group
all-hyperbolic-groups-one-fp-simple-host-via-nv	If every hyperbolic group lies in some nV, the common Brin-Thompson host contains them all
almost-all-one-relator-groups-bh-proof	Sapir--Spakulova embed generic one-relator groups in ascending HNN extensions of finitely generated free groups, and those embed in simple groups of type F_infinity
almost-all-one-relator-groups-satisfy-boone-higman	One-relator groups meeting the Sapir--Spakulova or Brown ascending-HNN criteria embed in simple groups of type F_infinity (the generic statement is not new)
almost-automorphism-torsion-subgroups-are-rf-proof	The depth cocycle vanishes at fixed points of torsion elements, a pushdown pumping argument bounds it on finitely generated torsion subgroups, and bounded depth change gives finite permutation quotients
almost-automorphism-torsion-subgroups-are-rf	Every finitely generated torsion subgroup of the almost automorphism group of a rooted regular tree is residually finite, so these groups, all Higman–Thompson groups and all Röver–Nekrashevych groups contain no infinite finitely generated group of finite exponent
almost-v-torsion-localization-proof	Singular sets obey a cocycle rule, the pointwise fixer of a finite singular orbit has germ map with kernel in V, and V is torsion locally finite
alternating-group-is-generated-by-local-commutators-proof	A 3-cycle over U, σU, τU turns h into h·(σhσ⁻¹)⁻¹ inside A, whose commutator with k is [h,k]; Nekrashevych's theorem makes the resulting normal subgroup all of A
alternating-group-is-generated-by-local-commutators	For a minimal groupoid of germs on the Cantor space, Nekrashevych's alternating group is exactly the subgroup generated by commutators of pairs supported in a common clopen set with two disjoint translates; so D([[G]]) is simple iff global commutators are products of such local ones
amalgams-of-orbit-finite-actions-are-type-a2	Two actions of finitely presented groups on one set, glued along a common orbit-finite subgroup, give a type [A_2] action of the amalgam; regular subgroups of type (A) actors export their holomorphs into relative PBH, with a free kernel as the only gap to PBH
amenable-crossed-product-units-are-linear-sofic	Over a minimal action of an amenable group, every GL_n of the binary crossed product is linear sofic and its full group is sofic, so in Track B the Leavitt factor is the only source of non-sofic inputs
amenable-groupoid-full-groups-are-exact	Every topological full group of an amenable ample groupoid with compact unit space is exact (the synthesis diagnostic Q-exact)
amir-lazarovich-lattice-torsion-is-square-diagonals	In the Amir–Lazarovich lattices on T_c × X_{O_d}, every torsion element of the colour-preserving part is conjugate to a square diagonal DD', so their simple lattice is torsion-free (and of cd 3) iff every DD' survives in a finite quotient
amir-lazarovich-plus-subgroup-is-perfect	Abelian quotients of the colour-preserving subgroup of a one-vertex lattice in T × X_L are transducer cocycles; for every Amir–Lazarovich lattice Λ'^+ is perfect, whatever the BMW seed
amir-lazarovich-simple-lattice-has-torsion-iff-index-four	In every Amir–Lazarovich lattice Λ' all square diagonals DD' are conjugate, so the simple lattice Λ is torsion-free (hence of cd 3) iff Λ ≠ Λ'^+, iff Λ'^+ is not simple
amir-lazarovich-simple-lattices-have-torsion-proof	One collapsed pair of generators spreads along untwisted y-moves to all of V(O_d), then to Z, so every finite quotient of Λ' is a quotient of (Z/2)²
amir-lazarovich-simple-lattices-have-torsion	The finitely presented simple lattices of Amir–Lazarovich in T_c × X_{O_d} are exactly the index-4 colour-preserving subgroups, so they contain involutions and have infinite cohomological dimension
analytic-codings-make-contracting-recursions-analytic-proof	The recursion transports each breakpoint t to g_u(t), and the orbit of a point other than the fixed point is infinite
analytic-codings-make-contracting-recursions-analytic	In a real-analytic tree coding of the Cantor space, a piecewise-analytic map satisfying a contracting recursion y∘g_u = g_v∘y has no breakpoint away from the fixed point of g_u
annular-free-factor-germ-extensions-fail-bhm-singfix	In a finite germ extension of V whose germ group at 0^∞ has the zoom as a free factor, with the other factor preserving every cone 0^nC, the one-point SingFix group is not finitely presented; finite annular actions also exclude the ascending alternative
annular-free-factor-singfix-colimit-proof	SingFix({p},{p}) is the strictly increasing colimit of the finitely presented amalgams V_p *_(B_n) B_n H
annular-free-product-germ-hosts-are-not-finitely-presented	The free-product germ hosts <V, Ĝ> of residually finite groups are never finitely presented, because finite presentation forces the annular actions to be determined by finitely many relations
annular-free-product-hosts-not-fp-proof	Short words see a bounded window of depths, and inside the window the ping-pong free product decides triviality, so one deep annulus can be changed without changing short relations
annular-free-zoom-window-equations-proof	Split points into shallow ones and deep cylinders, read deep actions as germ words evaluated at a depth, and perturb one deep annulus by conjugation
annular-hosts-with-free-zoom-germs-are-not-finitely-presented	An annular germ host <V, Ĝ> whose germ group at 0^∞ is the free product of the input germs and the zoom is never finitely presented; finite presentation needs relations across depths
aperiodic-full-groups-lift-along-factor-maps	The topological full group of an aperiodic Cantor system embeds in the full group of every extension, by lifting cocycles along the factor map
aperiodic-point-stabilizers-in-germ-extensions-of-v-are-not-fg	In a group of Cantor homeomorphisms containing V, the stabilizer of a non-eventually-periodic point where every element is locally a prefix replacement is not finitely generated
arbitrarily-complex-fp-simple-via-transcendental-slope-thompson	Finitely presented simple hosts of the Liouville-slope Thompson groups D(V_λ) inherit their arbitrarily hard word problems
arithmetic-lie-lattices-faithful-bs-proof	The kernel is discrete and normalized by a non-discrete group; its identity component centralizes the kernel and, by Borel density, contains a simple factor
arithmetic-lie-lattices-have-faithful-bs-members	Every irreducible arithmetic lattice in a semisimple Lie group has a faithful Hecke member in its Baumslag--Solitar class, so the whole class lies in the permutational Boone--Higman class; this includes closed surface groups
arithmetic-nsp-faithful-bs-member-proof	A nontrivial kernel would be a finite-index subgroup normalized by c, and a countable normalizer is discrete
arithmetic-nsp-lattices-have-faithful-bs-members	A commensurator element with no power in the lattice gives a faithful Hecke HNN extension of any torsion-free lattice with the normal subgroup property
artin-deligne-boundary-actions-are-topologically-free	A finite-type Artin group acts faithfully on its Deligne normal-form boundary, topologically freely when irreducible, and so does its quotient by the central Garside power
artin-groups-embed-in-decorated-garside-odometer-groups	Every finite-type Artin group with at least two generators embeds in the type F_infinity full group of its decorated Garside odometer category
artin-groups-mod-central-garside-power-are-continuous-automatic	Modulo a central power of its Garside element, a finite-type Artin group is continuous automatic, with normal forms the positive Deligne forms having fewer leading Delta letters than that power
artin-groups-satisfy-boone-higman	Every Artin group with solvable word problem embeds in a finitely presented simple group
artin-hub-cones-reduce-pbh-to-coned-cliques-proof	Split the hub cone along the folded star of any vertex whose star is not everything, folding the vertex and all non-neighbours onto the hub, and induct down to coned cliques
artin-hub-cones-reduce-pbh-to-coned-cliques	Adding a hub vertex whose labels divide the incident edge labels embeds an Artin group in one that splits over folded stars, reducing permutational Boone--Higman to the coned maximal cliques
artin-mod-central-garside-continuous-automatic-proof	Take the lift with infimum below c, show left multiplication moves the infimum by at most one, and read continuity off the sequential left action on left-greedy forms
artin-normal-form-boundary-full-groups-fix-a-point	The Deligne normal-form boundary of a finite-type Artin group has a global fixed point, so its topological full group is never simple
artin-ordinary-foldings-are-retractions-proof	Check each Artin relator under the folding, using the Garside identity Π(z,z';km') = Δ^k in the dihedral group of label m'
artin-ordinary-foldings-are-retractions	A folding of the generators of an Artin group onto a standard parabolic subgroup that respects every edge is a retraction; every cyclic standard parabolic subgroup is a retract via the length homomorphism
artin-pbh-reduces-along-folding-separators-proof	Identify A_Γ with the amalgam over the folded parabolic, apply common-retract closure, and induct over the block-cut tree
artin-pbh-reduces-along-folding-separators	An Artin group lies in the permutational Boone--Higman class iff the two sides of any separation over a foldable parabolic do; in particular iff every block of its defining graph does
artin-pbh-reduces-to-free-of-infinity-artin-groups-proof	Split the clone double along each original non-edge u|w, folding u onto its clone û and w onto ŵ, until the pieces are complete
artin-pbh-reduces-to-free-of-infinity-artin-groups	Every Artin group lies in the permutational Boone--Higman class iff every Artin group with complete defining graph (free of infinity) does, via a clone double in which each infinity splitting is over a common retract
artin-pbh-reduces-to-odd-component-cliques	An Artin group lies in the permutational Boone--Higman class iff the Artin groups on the unions of odd components over cliques of the odd-component graph do; for even labels, iff every clique Artin group does
ascending-hnn-of-free-groups-bh-proof	Extend the endomorphism to an isomorphism of finite-index subgroups of F * Z by M. Hall's theorem, embed the mapping torus in the resulting generalised Baumslag--Solitar group over F_2, and apply BLIW
ascending-hnn-of-free-groups-satisfy-boone-higman	Every ascending HNN extension of a finitely generated free group embeds in a simple group of type F_infinity, so all mapping tori of injective free group endomorphisms satisfy Boone--Higman
ascending-hnn-of-isolated-groups-embed-in-isolated-groups	Groups embeddable in isolated groups are closed under finite products and finite extensions, and contain every ascending HNN extension of an isolated group
ascending-hnn-of-isolated-groups-proof	Discriminate products through centres and commutators, wreath with S_k by the centralizer of the base, and split ascending HNN extensions by whether something outside the base centralizes it
attracting-fixed-point-centralizers-embed-in-germ-groups	The centralizer of a homeomorphism with an attracting fixed point of dense basin embeds in the germ group at that point; in 2V a diagonal north-south flow z^p x z^q with pq != 0 has centralizer exactly Z^2
aut-free-groups-quasi-isometrically-embed-in-fp-simple-groups	Every Aut(F_n) quasi-isometrically embeds in a finitely presented simple group, and the BFFHZ host distorts a subgroup of Aut(F_n) exactly as Aut(F_n) does
aut-free-qi-embedding-in-twisted-brin-thompson-proof	Kill the normal closure of V to retract Aut_V(V*F_n) onto Aut(F_n), then quasi-retract SV_Γ onto Aut_V(V*F_n)
aut-out-free-abelianized-extension-virtually-splits-proof	Dividing the Fox determinant cocycle by n minus one on the subgroup where it is divisible gives a section of the abelianized extension
aut-out-free-abelianized-extension-virtually-splits	The abelianized extension of Out(F_n) by H_1(F_n) splits over an explicit finite-index subgroup, so the abelian level carries no integral obstruction to virtual sections
aut-out-free-nilpotent-tower-virtually-splits	Every nilpotent quotient of the extension of Out(F_n) by its inner automorphisms splits over a finite-index subgroup
automatic-actor-twisted-brin-thompson-groups-have-pspace-wp	Every finitely generated subgroup of a twisted Brin--Thompson group SV_Γ whose actor Γ acts on a regular language by synchronous rational permutations has word problem in PSPACE, and in coNP when the actor's orbit and identity problems are in P
automatic-actor-twisted-brin-thompson-wp-proof	Split a word of SV_Γ into its actor part and conjugated brick maps; the actor part is an on-the-fly automaton product and the brick part has short moved-point certificates
automatic-groups-bh-via-normal-form-germ-extensions	Normal-form germ extensions that meet the Belk--Hyde--Matucci hypotheses would put every automatic group in the permutational Boone--Higman class
automatic-groups-embed-in-corner-germ-extensions	Every automatic group embeds in a normal-form germ extension of a boundary Thompson group that meets the Belk--Hyde--Matucci finiteness hypotheses
automatic-groups-satisfy-boone-higman	Every automatic group embeds in a finitely presented simple group
automaton-groups-bh-via-lift-presented-overgroups	Embed every automaton group in an automaton group whose relator kernel is a finitely generated lift ideal, then apply the lift-ideal Boone–Higman theorem
automaton-groups-embed-in-lift-presented-automaton-groups	Every automaton group embeds in an automaton group whose relator kernel is a finitely generated lift ideal
automaton-groups-satisfy-boone-higman	Every automaton group embeds in a finitely presented simple group
automaton-tail-full-groups-have-conp-relative-word-problem-proof	Guess a cylinder of depth linear in the word length, push it through the tables keeping prefixes long, and test the final prefixes and tail words
automaton-tail-full-groups-have-conp-relative-word-problem	Groups of piecewise prefix-and-automaton homeomorphisms have word problem in coNP relative to their automaton groups, so the odometer and affine 2V hosts are coNP-complete and no such host goes beyond PSPACE
automorphism-twisted-shell-actions-have-finitely-many-orbits	If the shift twists a genuine shell action by an automorphism, all but finitely many points lie in finitely many infinite orbits
automorphisms-fixing-open-boundary-sets-fix-large-balls	An automorphism of a thick Euclidean building that fixes an open set of chambers at infinity fixes an apartment and balls of every radius pointwise
b-a-groups-embed-in-full-hosts-with-free-torsion	Every group in B_A embeds in a full clopen-transitive Cantor group in B_A in which prescribed finite subgroups act freely
b-tilde-artin-groups-satisfy-permutational-boone-higman	Every Euclidean Artin group of type B̃_n embeds in Aut(F_M), satisfies permutational Boone--Higman, and embeds in a finitely presented simple group
b-tilde-artin-groups-via-one-cone-point-fibration-proof	Normalize the two special points by an affine map, parametrize the conic by C^×, and fibre over the configuration of the strands and the puncture
b-tilde-artin-groups-via-one-cone-point-fibration	Moving the two special points of the B̃_n orbifold into the configuration gives a punctured-curve bundle over Conf_(n+1)(C), a second proof that every A(B̃_n) lies in B_A
b3-center-first-germ-condition-proof	Proof of thinness, the germ-condition failure for the Deligne language, and the central-letter repair for B_3
b3-center-first-normal-form-passes-the-germ-condition	On the Deligne boundary of B_3 = Mod(S_1^1) the generators are thin but the germ condition fails because <Delta> is not normal in the germ group B_3; writing the central Delta^2 as a leading letter repairs it, giving an F_infinity full germ extension of V with germ group B_3 over its center
b3-deligne-boundary-is-nonsingular-rank-three-is-not	B_3 modulo its centre acts on its Deligne boundary by local prefix replacements, while every irreducible finite-type Artin group of rank at least three has singular boundary points
bartholdi-multi-substitution-hnn-surjects-onto-free-group	The finitely presented group built from an ascending L-presentation with k ≥ 2 substitutions surjects onto the free group of rank k, so the amenability clause of Bartholdi's Theorem thm:hnn needs a single substitution
basilica-fp-amenable-hnn-satisfies-boone-higman	The Bartholdi–Virág finitely presented amenable HNN extension of the Basilica group embeds in a finitely presented simple group
baum-connes-with-coefficients-separates-boone-higman	Boone–Higman predicts a finitely presented simple counterexample to the Baum–Connes conjecture with coefficients, and fails if every finitely presented simple group satisfies it
baumslag-gersten-group-is-highly-transitive-and-mif	The Baumslag--Gersten group is acylindrically hyperbolic, highly transitive and mixed-identity-free, yet every faithful action of it with finitely many orbits of two-element subsets has an infinitely generated point stabilizer
baumslag-gersten-group-maps-onto-higman-groups	Killing the n-th power of the stable letter turns the Baumslag--Gersten group into Higman's group H_n extended by a cyclic group of order n
baumslag-gersten-group-satisfies-boone-higman	The Baumslag--Gersten group embeds in a finitely presented simple group
baumslag-gersten-pbh-reduces-to-higman-group-and-a-lamp-wreath	If Higman's group H_4 lies in the permutational class inside an actor Gamma, and the lamplighter Z/2 wr over the cosets of <a_0> in Gamma does too, then the Baumslag--Gersten group lies in the permutational class
baumslag-gersten-splits-over-bs12-edges	The Baumslag--Gersten group is a non-ascending HNN extension of the height-two Baumslag--Solitar tower over BS(1,2) edges, whose edge can act transitively, so the stable-permutation route reduces BG in B_A to a type (A) actor for the tower with shift-symmetric edges
baumslag-solitar-and-free-by-cyclic-satisfy-boone-higman	All Baumslag--Solitar groups and all free-by-cyclic groups embed in finitely presented simple groups
baumslag-solitar-groups-are-free-by-metabelian	Every Baumslag--Solitar group BS(m,n) with m, n nonzero is free-by-metabelian, so it is residually solvable and is the limit of its solvable quotients BS(m,n)/BS(m,n)^(k)
bbmz-oligomorphic-and-twisted-questions-are-pbh-forms	BBMZ Question 1.5 is equivalent to the permutational Boone--Higman conjecture, and BBMZ Question 1.6 is equivalent to BFFHZ Question 3.4, while its abstract reading is answered by FFWZ
bbmz-oligomorphic-twisted-questions-proof	The clopen action of a finitely presented twisted Brin--Thompson group is oligomorphic with finitely presented finite-set stabilizers; Clapham handles the finitely presented hypothesis
bell-generalized-cobham-theorem-citation	Import Bell's Theorems 1.4 and 1.5 and Definitions 1.2–1.3 (generalized Cobham theorem for regular sequences), read at source
bell-generalized-cobham-theorem	Bell's generalized Cobham theorem — a sequence that is (R,k)- and (R,l)-regular for multiplicatively independent k, l satisfies a linear recurrence over R
bffhz-q33-is-normal-finite-generation-of-mixed-identities	BFFHZ Question 3.3 at rank k says the k-variable mixed identities of G are normally finitely generated, it descends to all lower ranks, and it forces a finite basis over overgroups
bffhz-q33-mixed-identities-proof	Proof that BFFHZ Question 3.3 is normal finite generation of mixed identities, descends in rank and forces a finite basis
bg-in-isometric-brick-hosts-needs-unbounded-exponents	In any group of brick maps of C^n with isometric sections (nV, 2V_tau, the affine 2V hosts), a nontrivial image of the Baumslag--Gersten generator a has zero periodic exponents, unbounded exponent sums and zero entropy, so the landed BS(1,2) copies in 2V_tau never extend to BG
bh-class-decidable-amalgams-from-free-products-and-hnn	Free-product closure plus decidable-edge HNN permanence give closure of the Boone--Higman class under decidable amalgams and finite graphs of groups
bh-class-decidable-amalgams-proof	Realize the amalgam inside the HNN extension of A * B along C, and induct over a maximal tree
bh-class-finite-extensions-reduce-to-finite-simple-wreaths	The Boone--Higman class is closed under finite extensions iff finite-simple wreaths of finitely presented simple groups embed, given squares
bh-class-finite-extensions-wreath-proof	Kaloujnine--Krasner twice, associativity of permutational wreaths, and induction on composition length
bh-class-free-products-iff-joint-embedding-and-free-z	The Boone--Higman class is closed under free products iff finitely presented simple groups have joint embedding and each U * Z embeds
bh-class-free-products-iff-joint-embedding-proof	Free products of subgroups inject, and U * U embeds in U * Z by conjugating the second factor
bh-embeddability-survives-decidable-edge-hnn	HNN extensions over finitely generated edges with decidable membership preserve embeddability into finitely presented simple groups
bh-embeddability-survives-magnus-subgroup-hnn	Magnus-subgroup HNN extensions of one-relator groups with finitely presented simple envelopes have finitely presented simple envelopes
bh-separators-must-omit-nested-decidable-hosts	A property separating Boone–Higman must omit a simple Kazhdan group with solvable word problem inside a finitely presented group with solvable word problem, and the only hereditary decision-problem separators are word-problem complexity bounds
bhm-corollary-hosts-over-v-are-cover-centralizer-groups	Every finite germ extension of V that Belk–Hyde–Matucci Corollary 2.10 certifies lies in an explicit cover-centralizer group of bounded word-problem complexity, so that corollary cannot carry Boone–Higman
bhm-singfix-finiteness-holds-for-type-fp-n	Belk–Hyde–Matucci's finiteness theorem for finite germ extensions holds verbatim with type FP_n in place of type F_n
bieri-strebel-line-rigidity-proof	Finitely many of Bieri--Strebel's order-dependent conjugation relations survive every nearby deformation, while the rest detect the sign of every breakpoint, so nearby deformations are homotheties
binary-leavitt-elementary-groups-have-trivial-core-endomorphisms	The simple Kazhdan groups EL_n over the binary Leavitt algebra have an injective, non-surjective corner endomorphism with trivial core
binary-leavitt-trivial-core-endomorphism-proof	Proof that the corner endomorphism of EL_n over the binary Leavitt algebra is injective, not surjective, and has trivial core
binary-self-similar-completions-over-free-bases-have-zero-kh	Every binary Leavitt–Nekrashevych or self-similar completion of a free algebra has vanishing homotopy K-theory, so for those finitely presented hosts the K-gate G3r is purely a nil-term question
bishop-schesler-branch-groups-are-annular-hosts-over-v	Every Bishop–Schesler branch group embeds in a one-orbit finite germ extension of Thompson's V, as an annular host whose germ group at the spinal point contains G × Alt(6) faithfully
bishop-schesler-branch-hosts-act-on-no-regular-rooted-tree	For infinite G the Bishop–Schesler branch group Γ contains Alt(|G/N_n|+5) for every n, hence every finite group, so it acts faithfully on no regular rooted tree and lies in no self-similar or automaton group on a regular tree
block-power-germ-schedules-with-fp-germ-group-are-exponential	A singular germ that runs one fixed homeomorphism f(d) times on the d-th annulus generates, with the annulus contraction, a finitely presented germ group only if f satisfies a linear recurrence, so f grows at most exponentially
boolean-inverse-monoid-finite-presentation-is-finite-type-proof	Build the additive map out of the bisection monoid from the canonical λ-decomposition and Stone duality; for the converse, map into the finite-type approximations and read off the dual map
boolean-inverse-monoid-finite-presentation-is-finite-type	The Boolean inverse monoid of a subshift crossed product, with or without Thompson's V, is finitely presented exactly when the subshift is of finite type
boone-higman-closed-under-finite-direct-products	The direct product of two groups that embed in finitely presented simple groups embeds in a finitely presented simple group
boone-higman-iff-fp-just-infinite-hosts	Boone-Higman is equivalent to embedding every decidable finitely generated group in a finitely presented just-infinite group
boone-higman-iff-simple-kazhdan-decidable-inputs	Boone--Higman is equivalent to its restriction to infinite finitely generated simple Kazhdan groups with solvable word problem
boone-higman-is-equality-of-two-sigma-3-index-sets-proof	Proof of the index-set form of Boone-Higman via a cofinite/noncomputable splitting and circulant graph wreath products
boone-higman-is-equality-of-two-sigma-3-index-sets	Boone-Higman says two Sigma_3 index sets coincide; the decidable one is Sigma_3-complete, so under Boone-Higman the embeddable one is too
boone-higman-uniform-in-word-problem-algorithms	Boone-Higman envelopes can be computed uniformly from a finite presentation together with a total word-problem algorithm
boone-higman-via-genuine-action-shell-envelopes	Present a genuine-action shell envelope of an overgroup and apply the twisted Brin–Thompson criterion
boone-higman-via-germ-steinberg-algebra-presentation	Prove Boone--Higman by finitely presenting the germ-groupoid Steinberg algebra of a shell envelope instead of the envelope itself
boone-higman-via-houghton-like-shift-envelopes	Embed the input in a decidable finite presentation, pass to a Houghton-like envelope H_n(E_nu(P)) with n >= 2, and use Zaremsky's type (A) theorem for finitely presented strongly shift-similar groups
boone-higman-via-leavitt-units-of-rigid-topologically-free-sfts	Put the group inside the acting group of a finitely presented minimal topologically free crossed product with torsion-free isotropy, then pass to the units of its Leavitt tensor
boone-higman-via-stabilizer-engines	Put the input in a finitely generated decidable simple group S, then take the derived full group of Z/2 * S on its compactified Bass–Serre tree
boundary-orbit-wreaths-over-tree-groups-are-not-fp	A group of tree automorphisms has infinitely many orbits on pairs of any infinite boundary orbit, so lamp wreath products over such orbits are never finitely presented
bounded-automaton-groups-embed-in-fp-automaton-groups	Every bounded automaton group embeds in a finitely presented automaton group
bounded-determination-simulations-only-realize-sft-shadows	A plane-constant simulation whose computation layer is determined by skeleton and data inherits rigidity but only simulates SFTs; so simulating a non-SFT forces computation-layer ambiguity, which is where G2 lives
bounded-last-section-ascending-hnns-bh-proof	Proof that last-section ascending HNN extensions of bounded automaton groups embed in contracting Röver–Nekrashevych groups
bounded-last-section-ascending-hnns-satisfy-boone-higman	Ascending HNN extensions of bounded automaton groups along last-section endomorphisms with finite, eventually finitary first sections satisfy Boone–Higman and permutational Boone–Higman
bounded-orbit-subgroups-have-infinitely-many-double-cosets	A subgroup with a bounded orbit in an isometric action that has an unbounded orbit has infinitely many double cosets, and a commensurated subgroup with finitely many double cosets has finite index
braid-group-qi-embedding-via-handle-capping-proof	Cap every hole of the n-holed disk with a one-holed torus, use Hamenstädt--Hensel in Out(F_2n), and lift to Aut(F_2n) along the boundary
braid-groups-in-2v-via-pure-braid-raag-embedding	Pure braid groups inside right-angled Artin groups put finite-index subgroups of braid groups in 2V
braid-groups-quasi-isometrically-embed-in-fp-simple-groups	Braid groups, and mapping class groups of surfaces with boundary, quasi-isometrically embed in finitely presented simple groups
braid-groups-virtually-embed-in-brin-thompson-2v	For every m, some finite-index subgroup of the braid group B_m embeds in the Brin--Thompson group 2V
branch-group-embeddings-in-v-are-boundary-sandwiched	A finitely generated branch group embeds in V iff some boundary-sandwiched Schreier graph is context-free; with finite germs this forces an exponential-growth boundary orbit, so bounded-automaton branch groups never embed
branch-group-embeddings-in-v-boundary-sandwich-proof	A single faithful context-free orbit, forced to exponential growth by non-elementary-amenability, is multi-ended, hence boundary-sandwiched, and with finite germs finitely covers a boundary orbit
branch-host-v-recoding-proof	Recode the growing-alphabet tree by fixed codewords for the scaffold letters, read the spinal generators as annular data, split the germ group into a Y-part and a central Z-part, and run the window lemma and the deep-perturbation argument on the Y-part
branch-host-v-recodings-need-recurrent-residual-chains	The binary recoding of a Bishop–Schesler branch group is an annular germ host over V whose alternating scaffold commutes with the zoom, so finite presentation depends only on cross-depth recurrences among the input's residual-chain actions; free recurrences kill it, and one-step recurrences are exactly virtual endomorphisms
brick-diagonal-ascending-hnn-embedding-proof	Push the code digit into a fresh coordinate; the pushing map conjugates h x id to its brick diagonal, and the fresh coordinate separates the stable letter
brick-diagonal-ascending-hnns-embed-in-brin-thompson-groups	Renormalization compiler - every ascending HNN extension of a subgroup of kV along a brick diagonal embeds in (k+1)V
brick-diagonal-power-conjugacy-forces-zero-drift	If a brick diagonal sends b to a proper power b^m, every b-invariant measure has zero exponent drift
