LINE:775	structural	 	Section-opening prose (proof strategy overview); no standalone mathematical claim; content already carried by FullDefectRingSentences.manuscriptSentence_finitelyGeneratedPropertyT and UniversalGroupB.hasKazhdanPropertyT
LINE:844	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.RankFourCompressionCellPrinted.manuscriptRankFourCompressionCell	lem:ring-compression-cell statement, including previously-unbadged off-diagonal clause (new closed theorem). LANDED b46935710e411e203ea63d1735330444549dd8dd
LINE:859	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellIdempotent	proof sentence: e^2=e, es=te=0; written, unlanded, pending probe/land
LINE:860	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellPieceDef	proof sentence: u_i definition; written, unlanded, pending probe/land
LINE:864	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellPieceBlock	proof sentence: block on (i,4) is (s e; 0 t); written, unlanded, pending probe/land
LINE:866	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellMatrixAndInvertible	proof sentence: u=u3u2u1 matrix, invertible; written, unlanded, pending probe/land
LINE:874	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellIntertwine	proof sentence eq:intertwine: u e_ij(a) = e_ij(sat) u; written, unlanded, pending probe/land
LINE:878	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellCoreAndOffDiag	proof sentences: entry computation, uLu^-1<=L, off-diagonal form (cites RankFourCompressionCellPrinted.compressor_conj_core_offDiag_sandwich, landed); this carrier itself written, unlanded, pending probe/land
LINE:883	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellCentralMark	proof sentence: c=[e41(e),e14(t)]=diag(1,1,1,1+et); written, unlanded, pending probe/land
LINE:887	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellCentralMarkCentral	proof sentence: c in C_G(L); written, unlanded, pending probe/land
LINE:889	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellConjCentralMark	proof sentence: uc=e12(e)u, ucu^-1=e12(e); written, unlanded, pending probe/land
LINE:895	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_compressionCellDefect	proof sentence: Steinberg relation gives [ucu^-1,e23(1)]=e13(e); written, unlanded, pending probe/land
LINE:906	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingEJZUnconditional.manuscriptFullComplementaryIdempotentsRankTwoAllCharacteristics GroupApproximation.Manuscript.OneSidedMFRadical.UniversalGroupSigma.manuscriptFullComplementaryIdempotentsUniversal	thm:full-defect-ring statement; already landed pre-session
LINE:923	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_ringData GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_imageOfBNormallyGeneratesELn	thm:full-defect-ring proof, sentence by sentence: already fully carried in FullDefectRingSentences.lean, landed pre-session at 5af6c1047 ("Fix non-MF manuscript statements and verification mappings"); not repeated by this lane
LINE:1004	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingEJZUnconditional.manuscriptSimpleInfiniteRingRankTwoAllCharacteristics GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingEJZUnconditional.manuscriptLeavittAlgebraFullDefectRankTwoAllCharacteristics	cor:simple-infinite-ring statement; already landed pre-session
LINE:1014	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_simpleRingChooseAndFull	proof sentence: simple case, choose ts=1!=st, 1-st full; written, unlanded, pending probe/land
LINE:1016	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_leavittChooseAndFull	proof sentence: Leavitt case, s=s1,t=t1, t2(1-s1t1)s2=1; written, unlanded, pending probe/land
LINE:1023	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_simpleInfiniteRingCorollaryStatement	proof sentence: thm:full-defect-ring applies in both cases, via already-closed AllCharacteristics wrappers; this carrier itself written, unlanded, pending probe/land
LINE:1026	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingEJZUnconditional.manuscriptOneSidedRingMaximalIsometryRankTwoAllCharacteristics GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingEJZUnconditional.manuscriptOneSidedRingMaximalReducedCStarRankTwoAllCharacteristics	cor:one-sided-ring-maximal statement; already landed pre-session
LINE:1038	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_oneSidedMaximalChooseSubring	proof sentence: choose s,t, S=subring they generate; written, unlanded, pending probe/land
LINE:1039	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_oneSidedMaximalStrictCompression	proof sentence: compression strict (e!=0 half); property-(T) half is HeadlineCitationSentences.manuscriptSentence_pairSubringElementaryPropertyT (landed, cited not duplicated); this carrier itself written, unlanded, pending probe/land
LINE:1043	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_oneSidedMaximalProperIsometry	proof sentence: prop:max-infinite gives proper isometry; written, unlanded, pending probe/land
LINE:1045	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_oneSidedMaximalReducedCStar	proof sentence: G countable nontrivial not MF, C*_r(G) separable stably finite not MF, via already-closed AllCharacteristics wrapper; this carrier itself written, unlanded, pending probe/land
LINE:1051	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_oneSidedMaximalJInjective GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_oneSidedMaximalUnitGroupNotMF	proof sentence: jMap injective via T_i j(A) S_j = A_ij, R^x not MF, via already-closed AllCharacteristics wrapper; these carriers themselves written, unlanded, pending probe/land
