AAtATataTatAtAAtAATataTaTaT AAtATataTattAtAATataTTT
AAtAAtAtaaTaTaTatAtAtATaTaTataT AAtAttaaTTTatttATTTataT
AAtAAtAtaaTAtATatATaTaTataT AAtAttaaTAtATatATTTataT
AAtaTatATatAtAAtaTatAATaTaT AAtaTatATattAtaTatAATTT
AAtaTatATatAttATAtaaTaTaT AAtaTatATattatATAtaaTTT
AAtaTatATatAtAtAATataTTaT AAtaTatATatttAATataTATT
AAtaTatATatAtAtaaTAtATaaTaT AAtaTatATatttaaTAtATaTT
AAtaTatAAtAtAATaTaTatAtAtaTaTaT AAtaTatAttAATTTatttaTTT
AAtaTatAAtAtATaTaTatAtAtaaTaTaT AAtaTatAttATTTatttaaTTT
AAtaTatAAtAtaTaTaTatAtAtAATaTaT AAtaTatAttaTTTatttAATTT
AAtaTatAAtAtaaTaTaTatAtAtATaTaT AAtaTatAttaaTTTatttATTT
AAtaTatAtAtAATaTaTatAAtAtaTaTaT AAtaTatttAATTTatAttaTTT
AAtaTatAtAtAATaTTatAtAtaTaTaT AAtaTatttAATTATatttaTTT
AAtaTatAtAtATaTaTatAAtAtaaTaTaT AAtaTatttATTTatAttaaTTT
AAtaTatAtAtATaTTatAtAtaaTaTaT AAtaTatttATTATatttaaTTT
AAtaTatAtAtaTaTaTatAAtAtAATaTaT AAtaTatttaTTTatAttAATTT
AAtaTatAtAtaTaTTatAtAtAATaTaT AAtaTatttaTTATatttAATTT
AAtaTatAtAtaaTaTaTatAAtAtATaTaT AAtaTatttaaTTTatAttATTT
AAtaTatAtAtaaTaTTatAtAtATaTaT AAtaTatttaaTTATatttATTT
AAttAtAATaTaTatATatAtAtaTaTaT AAtattAATTTatATatttaTTT
AAttAtATaTaTatATatAtAtaaTaTaT AAtattATTTatATatttaaTTT
AAttAtaTaTaTatATatAtAtAATaTaT AAtattaTTTatATatttAATTT
AAttAtaaTaTaTatATatAtAtATaTaT AAtattaaTTTatATatttATTT
AAtAtAAtATatATaTaTatAtAtaaTaTaT AAttAtATatATTTatttaaTTT
AAtAtAAtaTataTaTaTatAtAtAATaTaT AAttAtaTataTTTatttAATTT
AAtAttATAtATaTaTatAtAtaaTaTaT AAttatATAtATTTatttaaTTT
AAtAttaTAtaTaTaTatAtAtAATaTaT AAttataTAtaTTTatttAATTT
AAtAtAtAATaTaTatATattAtaTaTaT AAtttAATTTatATatattaTTT
AAtAtAtAATaTaTataTatAAtAtaTaTaT AAtttAATTTataTatAttaTTT
AAtAtAtATaTTataTatAtAtaaTaTaT AAtttATTATataTatttaaTTT
AAtAtAtATaTaaTatATatAtAtaaTaTaT AAtttATTaTatATatttaaTTT
