# non-left-orderability certificate: group=radu44 ball L=6 kernel short=2
# each line p ; q ; r asserts p*q = r; all elements nontrivial
a1^-1 a1^-1 a1^-1 a1^-1 ; b2 b1 ; a1^-1 a1^-1 a1^-1 a1^-1 b2 b1
a2^-1 a2^-1 a2^-1 a2^-1 ; b2 b2 ; a2^-1 a2^-1 a2^-1 a2^-1 b2 b2
a1 a1 a2 a2 ; b1^-1 b2 ; a1 a1 a2 a2 b1^-1 b2
b2 b2 ; a2^-1 a2^-1 a1 a1 ; a2 a2 a1 a1 b2^-1 b1^-1
b2^-1 b1 ; a1 a1 a2 a2 ; a1 a1 a2^-1 a2^-1 b1^-1 b2
a1^-1 a1^-1 b2^-1 b1 ; a2^-1 a2^-1 ; a1^-1 a1^-1 a2 a2 b2^-1 b2^-1
a2 a2 a2 a2 ; b2^-1 b1 ; a2 a2 a2 a2 b2^-1 b1
a1^-1 a1^-1 b1^-1 b2^-1 ; a1 a1 ; a1^-1 a1^-1 a1^-1 a1^-1 b1 b2^-1
a2^-1 a2^-1 a1^-1 a1^-1 ; a2 a2 ; a2^-1 a2^-1 a1^-1 a1^-1 a2 a2
a1^-1 a1^-1 a2 a2 ; b1 b1 ; a1^-1 a1^-1 a2 a2 b1 b1
a2 a2 a1 a1 ; b2 b1^-1 ; a2 a2 a1 a1 b2 b1^-1
a2^-1 a2^-1 a2^-1 a2^-1 ; b1^-1 b2 ; a2^-1 a2^-1 a2^-1 a2^-1 b1^-1 b2
b2^-1 b1^-1 ; a2^-1 a2^-1 a2^-1 a2^-1 ; a2 a2 a2 a2 b2^-1 b2^-1
a2 a2 ; b2^-1 b2^-1 ; a2 a2 b2^-1 b2^-1
a1^-1 a1^-1 a2 a2 ; b1^-1 b2^-1 ; a1^-1 a1^-1 a2 a2 b1^-1 b2^-1
a1^-1 a1^-1 ; a2^-1 a2^-1 b2 b1^-1 ; a1^-1 a1^-1 a2^-1 a2^-1 b2 b1^-1
a2 a2 ; a1^-1 a1^-1 ; a2 a2 a1^-1 a1^-1
b1 b2 ; a1^-1 a1^-1 ; a1^-1 a1^-1 b2^-1 b1
a1^-1 a1^-1 ; a2^-1 a2^-1 b2^-1 b1^-1 ; a1^-1 a1^-1 a2^-1 a2^-1 b2^-1 b1^-1
a2 a2 ; b1^-1 b2 ; a2 a2 b1^-1 b2
b2^-1 b1 ; a2^-1 a2^-1 a1 a1 ; a2 a2 a1^-1 a1^-1 b1^-1 b2^-1
a2^-1 a2^-1 ; b2^-1 b1 ; a2^-1 a2^-1 b2^-1 b1
a1 a1 a2 a2 ; b2 b1 ; a1 a1 a2 a2 b2 b1
b1 b2^-1 ; a2 a2 a1 a1 ; a2 a2 a1^-1 a1^-1 b2 b2
a1 a1 a2 a2 ; b2 b2 ; a1 a1 a2 a2 b2 b2
a2^-1 a2^-1 a1^-1 a1^-1 ; b2 b2 ; a2^-1 a2^-1 a1^-1 a1^-1 b2 b2
a1^-1 a1^-1 a2^-1 a2^-1 ; b2^-1 b1^-1 ; a1^-1 a1^-1 a2^-1 a2^-1 b2^-1 b1^-1
a1^-1 a1^-1 b1^-1 b2^-1 ; a2^-1 a2^-1 ; a1^-1 a1^-1 a2^-1 a2^-1 b2 b1^-1
a2 a2 ; a2 a2 ; a2 a2 a2 a2
a2^-1 a2^-1 ; a2^-1 a2^-1 b2^-1 b1^-1 ; a2^-1 a2^-1 a2^-1 a2^-1 b2^-1 b1^-1
b2 b1 ; a1 a1 a2^-1 a2^-1 ; a1^-1 a1^-1 a2 a2 b1^-1 b2
b1 b2 ; a2 a2 a2 a2 ; a2^-1 a2^-1 a2^-1 a2^-1 b2 b2
a2 a2 a1^-1 a1^-1 ; b2 b2 ; a2 a2 a1^-1 a1^-1 b2 b2
a2^-1 a2^-1 a1 a1 ; a2 a2 ; a2^-1 a2^-1 a1 a1 a2 a2
a2^-1 a2^-1 a1 a1 ; b1^-1 b2^-1 ; a2^-1 a2^-1 a1 a1 b1^-1 b2^-1
a2^-1 a2^-1 ; b1 b2 ; a2^-1 a2^-1 b1 b2
b2^-1 b2^-1 ; a2 a2 ; a2^-1 a2^-1 b2^-1 b1
