homs 140
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 1, 2], [0, 1, 2], [0, 1, 2], [0, 2, 1]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2], [0, 2, 1], [1, 2, 0], [2, 0, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2], [1, 2, 0], [0, 1, 2], [0, 1, 2]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2], [1, 2, 0], [0, 1, 2], [0, 2, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2], [1, 2, 0], [0, 1, 2], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2], [1, 2, 0], [0, 1, 2], [2, 0, 1]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2], [1, 2, 0], [0, 2, 1], [0, 1, 2]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2], [1, 2, 0], [0, 2, 1], [0, 2, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2], [1, 2, 0], [1, 2, 0], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2], [1, 2, 0], [1, 2, 0], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2], [1, 2, 0], [1, 2, 0], [2, 0, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2], [1, 2, 0], [2, 0, 1], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2], [1, 2, 0], [2, 0, 1], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2], [1, 2, 0], [2, 0, 1], [2, 0, 1]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 2, 1], [0, 1, 2], [0, 1, 2], [0, 1, 2]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 2, 1], [0, 1, 2], [0, 1, 2], [0, 2, 1]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 2, 1], [0, 1, 2], [0, 1, 2], [1, 0, 2]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 2, 1], [0, 1, 2], [0, 2, 1], [0, 1, 2]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 2, 1], [0, 1, 2], [0, 2, 1], [0, 2, 1]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 2, 1], [0, 1, 2], [1, 2, 0], [0, 1, 2]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 2, 1], [0, 2, 1], [0, 1, 2], [0, 1, 2]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 2, 1], [0, 2, 1], [0, 1, 2], [0, 2, 1]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 2, 1], [0, 2, 1], [0, 2, 1], [0, 1, 2]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 2, 1], [0, 2, 1], [0, 2, 1], [0, 2, 1]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 2, 1], [0, 2, 1], [1, 2, 0], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [0, 1, 2], [0, 1, 2], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [0, 1, 2], [0, 1, 2], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [0, 1, 2], [0, 1, 2], [2, 0, 1]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[1, 2, 0], [0, 1, 2], [0, 2, 1], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [0, 1, 2], [1, 2, 0], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [0, 1, 2], [1, 2, 0], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [0, 1, 2], [1, 2, 0], [2, 0, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [0, 1, 2], [2, 0, 1], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [0, 1, 2], [2, 0, 1], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [0, 1, 2], [2, 0, 1], [2, 0, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [1, 2, 0], [0, 1, 2], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [1, 2, 0], [0, 1, 2], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [1, 2, 0], [0, 1, 2], [2, 0, 1]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[1, 2, 0], [1, 2, 0], [0, 2, 1], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [1, 2, 0], [1, 2, 0], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [1, 2, 0], [1, 2, 0], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [1, 2, 0], [1, 2, 0], [2, 0, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [1, 2, 0], [2, 0, 1], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [1, 2, 0], [2, 0, 1], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [1, 2, 0], [2, 0, 1], [2, 0, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [2, 0, 1], [0, 1, 2], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [2, 0, 1], [0, 1, 2], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [2, 0, 1], [0, 1, 2], [2, 0, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [2, 0, 1], [1, 2, 0], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [2, 0, 1], [1, 2, 0], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [2, 0, 1], [1, 2, 0], [2, 0, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [2, 0, 1], [2, 0, 1], [0, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [2, 0, 1], [2, 0, 1], [1, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[1, 2, 0], [2, 0, 1], [2, 0, 1], [2, 0, 1]]
distinct images tested: 67
