META 3 13 1,1,2,1
CELL 0 1 24
STAB 2 1 1 9,1,4,7,12,6,3,13,2,8,5,11,10
STAB 2 1 -1 9,2,4,3,11,6,7,13,1,10,5,12,8
STAB 2 1 1 9,1,3,6,12,7,4,5,2,11,13,8,10
STAB 2 1 -1 9,2,3,4,8,7,6,5,1,10,13,12,11
BOUND 2 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13
BOUND 2 1 -1 2,1,7,4,5,6,3,10,9,8,12,11,13
BOUND 2 1 -1 9,2,3,4,8,7,6,5,1,10,13,12,11
CELL 2 2 12
STAB 2 2 1 3,4,6,9,2,1,7,8,10,11,5,13,12
STAB 2 2 1 3,11,6,5,10,1,7,8,2,4,9,12,13
STAB 2 2 -1 3,10,1,9,11,6,7,8,4,2,5,12,13
STAB 2 2 -1 3,2,1,5,4,6,7,8,11,10,9,13,12
STAB 2 2 -1 1,5,6,11,2,3,7,8,10,9,4,12,13
STAB 2 2 -1 1,9,6,4,10,3,7,8,2,5,11,13,12
STAB 2 2 1 1,10,3,11,9,6,7,8,5,2,4,13,12
STAB 2 2 1 1,2,3,4,5,6,7,8,9,10,11,12,13
STAB 2 2 1 6,9,1,10,4,3,7,8,11,5,2,12,13
STAB 2 2 1 6,5,1,2,11,3,7,8,4,9,10,13,12
STAB 2 2 -1 6,11,3,10,5,1,7,8,9,4,2,13,12
STAB 2 2 -1 6,4,3,2,9,1,7,8,5,11,10,12,13
BOUND 2 2 1 1,2,3,4,5,6,7,8,9,10,11,12,13
BOUND 2 2 -1 6,4,3,2,9,1,7,8,5,11,10,12,13
BOUND 2 2 -1 3,2,1,5,4,6,7,8,11,10,9,13,12
BOUND 2 2 1 6,5,1,2,11,3,7,8,4,9,10,13,12
BOUND 2 2 -1 1,5,6,11,2,3,7,8,10,9,4,12,13
BOUND 2 2 1 3,11,6,5,10,1,7,8,2,4,9,12,13
CELL 3 1 24
STAB 3 1 -1 2,1,7,4,5,6,3,10,9,8,12,11,13
STAB 3 1 -1 2,8,7,12,9,6,3,10,5,1,4,13,11
STAB 3 1 1 2,9,6,4,8,7,3,10,1,5,12,13,11
STAB 3 1 1 2,5,6,12,1,7,3,10,8,9,4,11,13
STAB 3 1 -1 1,5,6,11,2,3,7,8,10,9,4,12,13
STAB 3 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12
STAB 3 1 1 1,10,3,11,9,6,7,8,5,2,4,13,12
STAB 3 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13
STAB 3 1 1 5,1,7,11,2,3,6,9,10,8,12,4,13
STAB 3 1 1 5,8,7,12,10,3,6,9,2,1,11,13,4
STAB 3 1 -1 5,10,3,11,8,7,6,9,1,2,12,13,4
STAB 3 1 -1 5,2,3,12,1,7,6,9,8,10,11,4,13
STAB 3 1 -1 8,9,6,13,2,3,7,1,10,5,12,4,11
STAB 3 1 -1 8,5,6,12,10,3,7,1,2,9,13,11,4
STAB 3 1 1 8,10,3,13,5,6,7,1,9,2,12,11,4
STAB 3 1 1 8,2,3,12,9,6,7,1,5,10,13,4,11
STAB 3 1 1 9,8,7,13,2,3,6,5,10,1,4,12,11
STAB 3 1 1 9,1,7,4,10,3,6,5,2,8,13,11,12
STAB 3 1 -1 9,10,3,13,1,7,6,5,8,2,4,11,12
STAB 3 1 -1 9,2,3,4,8,7,6,5,1,10,13,12,11
STAB 3 1 -1 10,8,7,13,5,6,3,2,9,1,11,12,4
STAB 3 1 -1 10,1,7,11,9,6,3,2,5,8,13,4,12
STAB 3 1 1 10,9,6,13,1,7,3,2,8,5,11,4,12
STAB 3 1 1 10,5,6,11,8,7,3,2,1,9,13,12,4
BOUND 3 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13
BOUND 3 1 -1 1,5,6,11,2,3,7,8,10,9,4,12,13
BOUND 3 1 1 5,1,7,11,2,3,6,9,10,8,12,4,13
BOUND 3 1 -1 5,10,3,11,8,7,6,9,1,2,12,13,4
BOUND 3 1 -2 1,2,3,4,5,6,7,8,9,10,11,12,13
BOUND 3 1 2 2,1,7,4,5,6,3,10,9,8,12,11,13
BOUND 3 1 -2 2,5,6,12,1,7,3,10,8,9,4,11,13
BOUND 3 1 -2 2,9,6,4,8,7,3,10,1,5,12,13,11
BOUND 3 1 2 2,8,7,12,9,6,3,10,5,1,4,13,11
BOUND 3 1 -2 8,2,3,12,9,6,7,1,5,10,13,4,11
