META 5 31 1,1,2,1
CELL 0 1 24
STAB 2 1 1 2,9,6,4,8,7,3,10,1,5,12,13,11,16,14,15,19,23,24,21,25,18,22,17,20,28,29,31,30,27,26
STAB 2 1 -1 2,1,6,3,15,7,4,10,9,14,18,17,25,16,5,8,19,20,22,21,11,12,24,13,23,31,27,28,26,29,30
STAB 2 1 1 1,2,7,6,5,4,3,14,9,16,20,19,23,8,15,10,22,21,12,11,18,17,13,25,24,30,27,28,31,26,29
STAB 2 1 -1 1,9,7,3,10,4,6,14,2,15,17,25,18,8,16,5,22,24,13,11,23,20,12,19,21,28,26,30,29,27,31
STAB 2 1 1 1,2,6,7,15,3,4,8,9,16,22,21,24,14,5,10,20,19,18,17,12,11,25,13,23,30,28,27,29,26,31
STAB 2 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12,14,16,15,20,23,25,17,24,22,18,21,19,27,26,30,31,28,29
STAB 2 1 -1 1,9,3,7,16,6,4,8,2,15,22,24,21,14,10,5,17,25,23,20,13,11,19,12,18,28,30,26,31,27,29
STAB 2 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
STAB 2 1 -1 1,9,4,6,16,7,3,14,2,5,20,23,19,8,10,15,11,13,24,22,25,17,21,18,12,27,30,26,29,28,31
STAB 2 1 1 1,2,4,3,15,7,6,14,9,10,17,18,25,8,5,16,11,12,21,22,19,20,24,23,13,26,28,27,31,30,29
STAB 2 1 -1 9,2,7,6,14,3,4,5,1,16,23,19,20,15,8,10,24,21,18,25,12,13,17,11,22,26,29,31,28,30,27
STAB 2 1 1 9,1,7,4,10,3,6,5,2,8,13,11,12,15,16,14,24,22,17,25,20,23,18,19,21,31,30,26,27,29,28
STAB 2 1 -1 9,2,6,7,8,4,3,15,1,16,24,21,22,5,14,10,23,19,12,13,18,25,11,17,20,26,31,29,27,30,28
STAB 2 1 1 9,1,6,3,10,4,7,15,2,14,25,17,18,5,16,8,23,20,11,13,22,24,12,21,19,29,30,26,28,31,27
STAB 2 1 1 9,1,4,7,16,6,3,15,2,8,24,22,21,5,10,14,13,11,20,23,17,25,19,18,12,31,26,30,28,29,27
STAB 2 1 -1 9,2,4,3,14,6,7,15,1,10,25,18,17,5,8,16,13,12,19,23,21,24,20,22,11,30,29,31,27,26,28
STAB 2 1 1 9,1,3,6,16,7,4,5,2,14,23,20,19,15,10,8,25,17,22,24,11,13,21,12,18,29,26,30,27,31,28
STAB 2 1 -1 9,2,3,4,8,7,6,5,1,10,13,12,11,15,14,16,25,18,21,24,19,23,22,20,17,30,31,29,28,26,27
BOUND 2 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
BOUND 2 1 -1 2,1,7,4,5,6,3,10,9,8,12,11,13,16,15,14,21,22,20,19,17,18,23,25,24,29,28,27,26,31,30
BOUND 2 1 -1 9,2,3,4,8,7,6,5,1,10,13,12,11,15,14,16,25,18,21,24,19,23,22,20,17,30,31,29,28,26,27
CELL 2 2 12
STAB 2 2 1 3,4,6,9,2,1,7,17,10,11,5,15,26,25,16,13,20,23,14,8,22,24,30,19,21,27,12,18,28,31,29
STAB 2 2 1 3,11,6,5,10,1,7,17,2,4,9,26,15,24,27,12,20,29,22,8,14,25,28,21,19,16,13,31,30,18,23
STAB 2 2 -1 3,10,1,9,11,6,7,17,4,2,5,26,15,25,13,16,8,30,21,20,19,24,23,22,14,12,27,31,29,18,28
STAB 2 2 -1 3,2,1,5,4,6,7,17,11,10,9,15,26,24,12,27,8,28,19,20,21,25,29,14,22,13,16,18,23,31,30
STAB 2 2 -1 1,5,6,11,2,3,7,8,10,9,4,12,13,22,27,26,20,29,24,17,25,14,31,19,21,16,15,28,18,30,23
STAB 2 2 -1 1,9,6,4,10,3,7,8,2,5,11,13,12,14,16,15,20,23,25,17,24,22,18,21,19,27,26,30,31,28,29
STAB 2 2 1 1,10,3,11,9,6,7,8,5,2,4,13,12,22,26,27,17,31,21,20,19,14,29,25,24,15,16,30,23,28,18
STAB 2 2 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
STAB 2 2 1 6,9,1,10,4,3,7,20,11,5,2,16,27,21,13,26,8,30,25,17,24,19,31,14,22,12,15,23,18,29,28
STAB 2 2 1 6,5,1,2,11,3,7,20,4,9,10,27,16,19,12,15,8,28,24,17,25,21,18,22,14,13,26,29,31,23,30
STAB 2 2 -1 6,11,3,10,5,1,7,20,9,4,2,27,16,21,26,13,17,31,22,8,14,19,30,24,25,15,12,29,28,23,18
STAB 2 2 -1 6,4,3,2,9,1,7,20,5,11,10,16,27,19,15,12,17,18,14,8,22,21,28,25,24,26,13,23,30,29,31
BOUND 2 2 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
BOUND 2 2 -1 6,4,3,2,9,1,7,20,5,11,10,16,27,19,15,12,17,18,14,8,22,21,28,25,24,26,13,23,30,29,31
BOUND 2 2 -1 3,2,1,5,4,6,7,17,11,10,9,15,26,24,12,27,8,28,19,20,21,25,29,14,22,13,16,18,23,31,30
BOUND 2 2 1 6,5,1,2,11,3,7,20,4,9,10,27,16,19,12,15,8,28,24,17,25,21,18,22,14,13,26,29,31,23,30
BOUND 2 2 -1 1,5,6,11,2,3,7,8,10,9,4,12,13,22,27,26,20,29,24,17,25,14,31,19,21,16,15,28,18,30,23
BOUND 2 2 1 3,11,6,5,10,1,7,17,2,4,9,26,15,24,27,12,20,29,22,8,14,25,28,21,19,16,13,31,30,18,23
CELL 3 1 24
STAB 3 1 -1 2,1,7,4,5,6,3,10,9,8,12,11,13,16,15,14,21,22,20,19,17,18,23,25,24,29,28,27,26,31,30
STAB 3 1 -1 2,8,7,12,9,6,3,10,5,1,4,13,11,18,29,28,21,30,17,19,20,16,26,24,25,15,14,31,23,27,22
STAB 3 1 1 2,9,6,4,8,7,3,10,1,5,12,13,11,16,14,15,19,23,24,21,25,18,22,17,20,28,29,31,30,27,26
STAB 3 1 1 2,5,6,12,1,7,3,10,8,9,4,11,13,18,28,29,19,26,25,21,24,16,30,20,17,14,15,27,22,31,23
STAB 3 1 -1 1,5,6,11,2,3,7,8,10,9,4,12,13,22,27,26,20,29,24,17,25,14,31,19,21,16,15,28,18,30,23
STAB 3 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12,14,16,15,20,23,25,17,24,22,18,21,19,27,26,30,31,28,29
STAB 3 1 1 1,10,3,11,9,6,7,8,5,2,4,13,12,22,26,27,17,31,21,20,19,14,29,25,24,15,16,30,23,28,18
STAB 3 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
STAB 3 1 1 5,1,7,11,2,3,6,9,10,8,12,4,13,26,27,22,25,14,17,24,20,29,31,21,19,18,28,15,16,23,30
STAB 3 1 1 5,8,7,12,10,3,6,9,2,1,11,13,4,29,18,28,25,30,20,24,17,26,16,19,21,27,22,23,31,15,14
STAB 3 1 -1 5,10,3,11,8,7,6,9,1,2,12,13,4,26,22,27,24,31,19,25,21,29,14,20,17,28,18,23,30,15,16
STAB 3 1 -1 5,2,3,12,1,7,6,9,8,10,11,4,13,29,28,18,24,16,21,25,19,26,30,17,20,22,27,15,14,23,31
STAB 3 1 -1 8,9,6,13,2,3,7,1,10,5,12,4,11,30,31,23,17,15,25,20,24,28,27,19,21,18,29,14,16,22,26
STAB 3 1 -1 8,5,6,12,10,3,7,1,2,9,13,11,4,28,18,29,17,26,24,20,25,30,16,21,19,31,23,22,27,14,15
STAB 3 1 1 8,10,3,13,5,6,7,1,9,2,12,11,4,30,23,31,20,27,21,17,19,28,15,24,25,29,18,22,26,14,16
STAB 3 1 1 8,2,3,12,9,6,7,1,5,10,13,4,11,28,29,18,20,16,19,17,21,30,26,25,24,23,31,14,15,22,27
STAB 3 1 1 9,8,7,13,2,3,6,5,10,1,4,12,11,23,31,30,24,28,20,25,17,15,27,21,19,16,14,29,18,26,22
STAB 3 1 1 9,1,7,4,10,3,6,5,2,8,13,11,12,15,16,14,24,22,17,25,20,23,18,19,21,31,30,26,27,29,28
STAB 3 1 -1 9,10,3,13,1,7,6,5,8,2,4,11,12,23,30,31,25,27,19,24,21,15,28,17,20,14,16,26,22,29,18
STAB 3 1 -1 9,2,3,4,8,7,6,5,1,10,13,12,11,15,14,16,25,18,21,24,19,23,22,20,17,30,31,29,28,26,27
STAB 3 1 -1 10,8,7,13,5,6,3,2,9,1,11,12,4,31,23,30,19,28,17,21,20,27,15,25,24,26,22,18,29,16,14
STAB 3 1 -1 10,1,7,11,9,6,3,2,5,8,13,4,12,27,26,22,19,14,20,21,17,31,29,24,25,23,30,16,15,18,28
STAB 3 1 1 10,9,6,13,1,7,3,2,8,5,11,4,12,31,30,23,21,15,24,19,25,27,28,20,17,22,26,16,14,18,29
STAB 3 1 1 10,5,6,11,8,7,3,2,1,9,13,12,4,27,22,26,21,29,25,19,24,31,14,17,20,30,23,18,28,16,15
BOUND 3 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
BOUND 3 1 -1 1,5,6,11,2,3,7,8,10,9,4,12,13,22,27,26,20,29,24,17,25,14,31,19,21,16,15,28,18,30,23
BOUND 3 1 1 5,1,7,11,2,3,6,9,10,8,12,4,13,26,27,22,25,14,17,24,20,29,31,21,19,18,28,15,16,23,30
BOUND 3 1 -1 5,10,3,11,8,7,6,9,1,2,12,13,4,26,22,27,24,31,19,25,21,29,14,20,17,28,18,23,30,15,16
BOUND 3 1 -2 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
BOUND 3 1 2 2,1,7,4,5,6,3,10,9,8,12,11,13,16,15,14,21,22,20,19,17,18,23,25,24,29,28,27,26,31,30
BOUND 3 1 -2 2,5,6,12,1,7,3,10,8,9,4,11,13,18,28,29,19,26,25,21,24,16,30,20,17,14,15,27,22,31,23
BOUND 3 1 -2 2,9,6,4,8,7,3,10,1,5,12,13,11,16,14,15,19,23,24,21,25,18,22,17,20,28,29,31,30,27,26
BOUND 3 1 2 2,8,7,12,9,6,3,10,5,1,4,13,11,18,29,28,21,30,17,19,20,16,26,24,25,15,14,31,23,27,22
BOUND 3 1 -2 8,2,3,12,9,6,7,1,5,10,13,4,11,28,29,18,20,16,19,17,21,30,26,25,24,23,31,14,15,22,27
