30_30 10 R=6 census_30_30.json 10 certificate OK: 250 leaves, 4242 product steps; Gamma^+ is not left-orderable
40_40 321 R=4 census_40_40.json 321 certificate OK: 12 leaves, 292 product steps; Gamma^+ is not left-orderable
40_40 325 R=4 census_40_40.json 325 certificate OK: 156 leaves, 2723 product steps; Gamma^+ is not left-orderable
40_40 327 R=4 census_40_40.json 327 certificate OK: 10 leaves, 241 product steps; Gamma^+ is not left-orderable
40_40 328 R=4 census_40_40.json 328 certificate OK: 12 leaves, 276 product steps; Gamma^+ is not left-orderable
40_40 355 R=4 census_40_40.json 355 certificate OK: 24 leaves, 713 product steps; Gamma^+ is not left-orderable
40_40 426 R=4 census_40_40.json 426 certificate OK: 8 leaves, 161 product steps; Gamma^+ is not left-orderable
40_40 427 R=4 census_40_40.json 427 certificate OK: 58 leaves, 1510 product steps; Gamma^+ is not left-orderable
40_40 428 R=4 census_40_40.json 428 certificate OK: 8 leaves, 161 product steps; Gamma^+ is not left-orderable
40_40 430 R=4 census_40_40.json 430 certificate OK: 8 leaves, 66 product steps; Gamma^+ is not left-orderable
40_40 431 R=4 census_40_40.json 431 certificate OK: 8 leaves, 120 product steps; Gamma^+ is not left-orderable
40_40 437 R=4 census_40_40.json 437 certificate OK: 8 leaves, 59 product steps; Gamma^+ is not left-orderable
40_40 444 R=4 census_40_40.json 444 certificate OK: 8 leaves, 130 product steps; Gamma^+ is not left-orderable
40_40 502 R=4 census_40_40.json 502 certificate OK: 150 leaves, 3052 product steps; Gamma^+ is not left-orderable
40_40 504 R=4 census_40_40.json 504 certificate OK: 8 leaves, 56 product steps; Gamma^+ is not left-orderable
40_40 505 R=4 census_40_40.json 505 certificate OK: 8 leaves, 56 product steps; Gamma^+ is not left-orderable
40_40 511 R=4 census_40_40.json 511 certificate OK: 160 leaves, 3256 product steps; Gamma^+ is not left-orderable
40_40 513 R=4 census_40_40.json 513 certificate OK: 152 leaves, 3129 product steps; Gamma^+ is not left-orderable
40_40 514 R=4 census_40_40.json 514 certificate OK: 24 leaves, 534 product steps; Gamma^+ is not left-orderable
40_40 515 R=4 census_40_40.json 515 certificate OK: 154 leaves, 3370 product steps; Gamma^+ is not left-orderable
40_40 516 R=4 census_40_40.json 516 certificate OK: 168 leaves, 3747 product steps; Gamma^+ is not left-orderable
40_40 518 R=4 census_40_40.json 518 certificate OK: 18 leaves, 561 product steps; Gamma^+ is not left-orderable
40_40 520 R=4 census_40_40.json 520 certificate OK: 98 leaves, 1364 product steps; Gamma^+ is not left-orderable
40_40 521 R=4 census_40_40.json 521 certificate OK: 10 leaves, 308 product steps; Gamma^+ is not left-orderable
40_40 522 R=4 census_40_40.json 522 certificate OK: 146 leaves, 3612 product steps; Gamma^+ is not left-orderable
40_40 523 R=4 census_40_40.json 523 certificate OK: 152 leaves, 3461 product steps; Gamma^+ is not left-orderable
40_40 524 R=4 census_40_40.json 524 certificate OK: 20 leaves, 526 product steps; Gamma^+ is not left-orderable
40_40 525 R=4 census_40_40.json 525 certificate OK: 312 leaves, 3649 product steps; Gamma^+ is not left-orderable
40_40 535 R=4 census_40_40.json 535 certificate OK: 152 leaves, 3323 product steps; Gamma^+ is not left-orderable
40_40 536 R=4 census_40_40.json 536 certificate OK: 8 leaves, 161 product steps; Gamma^+ is not left-orderable
40_40 537 R=4 census_40_40.json 537 certificate OK: 166 leaves, 3033 product steps; Gamma^+ is not left-orderable
40_40 538 R=4 census_40_40.json 538 certificate OK: 8 leaves, 161 product steps; Gamma^+ is not left-orderable
40_40 539 R=4 census_40_40.json 539 certificate OK: 22 leaves, 353 product steps; Gamma^+ is not left-orderable
40_40 540 R=4 census_40_40.json 540 certificate OK: 22 leaves, 353 product steps; Gamma^+ is not left-orderable
40_40 541 R=4 census_40_40.json 541 certificate OK: 22 leaves, 353 product steps; Gamma^+ is not left-orderable
40_40 542 R=4 census_40_40.json 542 certificate OK: 22 leaves, 353 product steps; Gamma^+ is not left-orderable
40_40 543 R=4 census_40_40.json 543 certificate OK: 22 leaves, 353 product steps; Gamma^+ is not left-orderable
40_40 544 R=4 census_40_40.json 544 certificate OK: 158 leaves, 3531 product steps; Gamma^+ is not left-orderable
40_40 545 R=4 census_40_40.json 545 certificate OK: 14 leaves, 361 product steps; Gamma^+ is not left-orderable
40_40 550 R=4 census_40_40.json 550 certificate OK: 14 leaves, 402 product steps; Gamma^+ is not left-orderable
40_40 553 R=4 census_40_40.json 553 certificate OK: 166 leaves, 2947 product steps; Gamma^+ is not left-orderable
40_40 554 R=4 census_40_40.json 554 certificate OK: 10 leaves, 302 product steps; Gamma^+ is not left-orderable
40_40 590 R=4 census_40_40.json 590 certificate OK: 448 leaves, 7429 product steps; Gamma^+ is not left-orderable
40_40 594 R=4 census_40_40.json 594 certificate OK: 10 leaves, 231 product steps; Gamma^+ is not left-orderable
40_40 604 R=4 census_40_40.json 604 certificate OK: 16 leaves, 291 product steps; Gamma^+ is not left-orderable
40_40 624 R=4 census_40_40.json 624 certificate OK: 10 leaves, 170 product steps; Gamma^+ is not left-orderable
40_40 626 R=4 census_40_40.json 626 certificate OK: 10 leaves, 265 product steps; Gamma^+ is not left-orderable
40_40 627 R=4 census_40_40.json 627 certificate OK: 10 leaves, 221 product steps; Gamma^+ is not left-orderable
40_40 631 R=4 census_40_40.json 631 certificate OK: 8 leaves, 156 product steps; Gamma^+ is not left-orderable
40_40 637 R=4 census_40_40.json 637 certificate OK: 10 leaves, 186 product steps; Gamma^+ is not left-orderable
40_40 688 R=4 census_40_40.json 688 certificate OK: 10 leaves, 321 product steps; Gamma^+ is not left-orderable
40_40 694 R=4 census_40_40.json 694 certificate OK: 10 leaves, 294 product steps; Gamma^+ is not left-orderable
40_40 695 R=4 census_40_40.json 695 certificate OK: 20 leaves, 694 product steps; Gamma^+ is not left-orderable
40_40 696 R=4 census_40_40.json 696 certificate OK: 12 leaves, 373 product steps; Gamma^+ is not left-orderable
40_40 701 R=4 census_40_40.json 701 certificate OK: 8 leaves, 130 product steps; Gamma^+ is not left-orderable
40_40 735 R=4 census_40_40.json 735 certificate OK: 8 leaves, 146 product steps; Gamma^+ is not left-orderable
40_40 736 R=4 census_40_40.json 736 certificate OK: 6 leaves, 168 product steps; Gamma^+ is not left-orderable
40_40 739 R=4 census_40_40.json 739 certificate OK: 8 leaves, 114 product steps; Gamma^+ is not left-orderable
40_40 740 R=4 census_40_40.json 740 certificate OK: 12 leaves, 342 product steps; Gamma^+ is not left-orderable
40_40 743 R=4 census_40_40.json 743 certificate OK: 8 leaves, 95 product steps; Gamma^+ is not left-orderable
40_40 744 R=4 census_40_40.json 744 certificate OK: 8 leaves, 95 product steps; Gamma^+ is not left-orderable
40_40 745 R=4 census_40_40.json 745 certificate OK: 8 leaves, 95 product steps; Gamma^+ is not left-orderable
40_40 746 R=4 census_40_40.json 746 certificate OK: 12 leaves, 258 product steps; Gamma^+ is not left-orderable
40_40 747 R=4 census_40_40.json 747 certificate OK: 8 leaves, 190 product steps; Gamma^+ is not left-orderable
40_40 748 R=4 census_40_40.json 748 certificate OK: 10 leaves, 299 product steps; Gamma^+ is not left-orderable
40_40 749 R=4 census_40_40.json 749 certificate OK: 6 leaves, 146 product steps; Gamma^+ is not left-orderable
40_40 750 R=4 census_40_40.json 750 certificate OK: 6 leaves, 169 product steps; Gamma^+ is not left-orderable
40_40 751 R=4 census_40_40.json 751 certificate OK: 6 leaves, 213 product steps; Gamma^+ is not left-orderable
40_40 752 R=4 census_40_40.json 752 certificate OK: 14 leaves, 402 product steps; Gamma^+ is not left-orderable
40_40 753 R=4 census_40_40.json 753 certificate OK: 8 leaves, 196 product steps; Gamma^+ is not left-orderable
40_40 755 R=4 census_40_40.json 755 certificate OK: 14 leaves, 352 product steps; Gamma^+ is not left-orderable
40_40 756 R=4 census_40_40.json 756 certificate OK: 18 leaves, 451 product steps; Gamma^+ is not left-orderable
40_40 763 R=4 census_40_40.json 763 certificate OK: 10 leaves, 382 product steps; Gamma^+ is not left-orderable
40_40 768 R=4 census_40_40.json 768 certificate OK: 14 leaves, 549 product steps; Gamma^+ is not left-orderable
40_40 770 R=4 census_40_40.json 770 certificate OK: 14 leaves, 491 product steps; Gamma^+ is not left-orderable
40_40 772 R=4 census_40_40.json 772 certificate OK: 20 leaves, 500 product steps; Gamma^+ is not left-orderable
40_40 775 R=4 census_40_40.json 775 certificate OK: 10 leaves, 300 product steps; Gamma^+ is not left-orderable
40_40 776 R=4 census_40_40.json 776 certificate OK: 8 leaves, 254 product steps; Gamma^+ is not left-orderable
40_40 797 R=4 census_40_40.json 797 certificate OK: 26 leaves, 645 product steps; Gamma^+ is not left-orderable
40_40 817 R=4 census_40_40.json 817 certificate OK: 10 leaves, 223 product steps; Gamma^+ is not left-orderable
40_40 818 R=4 census_40_40.json 818 certificate OK: 10 leaves, 238 product steps; Gamma^+ is not left-orderable
41_30 167 R=4 census_41_30.json 167 certificate OK: 10 leaves, 116 product steps; Gamma^+ is not left-orderable
41_30 168 R=4 census_41_30.json 168 certificate OK: 10 leaves, 116 product steps; Gamma^+ is not left-orderable
41_30 169 R=4 census_41_30.json 169 certificate OK: 10 leaves, 116 product steps; Gamma^+ is not left-orderable
41_30 170 R=4 census_41_30.json 170 certificate OK: 10 leaves, 199 product steps; Gamma^+ is not left-orderable
41_30 171 R=4 census_41_30.json 171 certificate OK: 10 leaves, 203 product steps; Gamma^+ is not left-orderable
41_31 90 R=6 census_41_31.json 90 certificate OK: 12 leaves, 300 product steps; Gamma^+ is not left-orderable
41_31 94 R=6 census_41_31.json 94 certificate OK: 12 leaves, 301 product steps; Gamma^+ is not left-orderable
41_31 112 R=4 census_41_31.json 112 certificate OK: 8 leaves, 98 product steps; Gamma^+ is not left-orderable
41_31 113 R=4 census_41_31.json 113 certificate OK: 8 leaves, 98 product steps; Gamma^+ is not left-orderable
41_31 114 R=4 census_41_31.json 114 certificate OK: 10 leaves, 139 product steps; Gamma^+ is not left-orderable
41_31 115 R=4 census_41_31.json 115 certificate OK: 8 leaves, 221 product steps; Gamma^+ is not left-orderable
41_40 633 R=4 census_41_40.json 633 certificate OK: 342 leaves, 4976 product steps; Gamma^+ is not left-orderable
41_40 634 R=4 census_41_40.json 634 certificate OK: 342 leaves, 4763 product steps; Gamma^+ is not left-orderable
41_40 635 R=4 census_41_40.json 635 certificate OK: 342 leaves, 5004 product steps; Gamma^+ is not left-orderable
41_40 636 R=4 census_41_40.json 636 certificate OK: 142 leaves, 2091 product steps; Gamma^+ is not left-orderable
41_40 637 R=4 census_41_40.json 637 certificate OK: 142 leaves, 2091 product steps; Gamma^+ is not left-orderable
41_40 638 R=4 census_41_40.json 638 certificate OK: 142 leaves, 2091 product steps; Gamma^+ is not left-orderable
41_40 639 R=4 census_41_40.json 639 certificate OK: 142 leaves, 2091 product steps; Gamma^+ is not left-orderable
41_40 640 R=4 census_41_40.json 640 certificate OK: 154 leaves, 3060 product steps; Gamma^+ is not left-orderable
41_40 641 R=4 census_41_40.json 641 certificate OK: 158 leaves, 3273 product steps; Gamma^+ is not left-orderable
41_40 643 R=4 census_41_40.json 643 certificate OK: 158 leaves, 2975 product steps; Gamma^+ is not left-orderable
41_40 644 R=4 census_41_40.json 644 certificate OK: 160 leaves, 3329 product steps; Gamma^+ is not left-orderable
41_40 645 R=4 census_41_40.json 645 certificate OK: 158 leaves, 3218 product steps; Gamma^+ is not left-orderable
41_40 646 R=4 census_41_40.json 646 certificate OK: 154 leaves, 3172 product steps; Gamma^+ is not left-orderable
41_40 647 R=4 census_41_40.json 647 certificate OK: 158 leaves, 3388 product steps; Gamma^+ is not left-orderable
41_40 648 R=4 census_41_40.json 648 certificate OK: 10 leaves, 231 product steps; Gamma^+ is not left-orderable
41_40 649 R=4 census_41_40.json 649 certificate OK: 10 leaves, 231 product steps; Gamma^+ is not left-orderable
41_40 650 R=4 census_41_40.json 650 certificate OK: 10 leaves, 231 product steps; Gamma^+ is not left-orderable
41_40 651 R=4 census_41_40.json 651 certificate OK: 10 leaves, 231 product steps; Gamma^+ is not left-orderable
41_40 652 R=4 census_41_40.json 652 certificate OK: 10 leaves, 231 product steps; Gamma^+ is not left-orderable
41_40 653 R=4 census_41_40.json 653 certificate OK: 10 leaves, 231 product steps; Gamma^+ is not left-orderable
41_40 654 R=4 census_41_40.json 654 certificate OK: 10 leaves, 231 product steps; Gamma^+ is not left-orderable
41_40 655 R=4 census_41_40.json 655 certificate OK: 24 leaves, 700 product steps; Gamma^+ is not left-orderable
41_40 656 R=4 census_41_40.json 656 certificate OK: 14 leaves, 490 product steps; Gamma^+ is not left-orderable
41_40 658 R=4 census_41_40.json 658 certificate OK: 8 leaves, 206 product steps; Gamma^+ is not left-orderable
41_40 659 R=4 census_41_40.json 659 certificate OK: 154 leaves, 2876 product steps; Gamma^+ is not left-orderable
41_40 660 R=4 census_41_40.json 660 certificate OK: 10 leaves, 251 product steps; Gamma^+ is not left-orderable
41_40 870 R=4 census_41_40.json 870 certificate OK: 12 leaves, 192 product steps; Gamma^+ is not left-orderable
41_40 888 R=4 census_41_40.json 888 certificate OK: 12 leaves, 191 product steps; Gamma^+ is not left-orderable
41_40 899 R=4 census_41_40.json 899 certificate OK: 344 leaves, 4881 product steps; Gamma^+ is not left-orderable
41_40 900 R=4 census_41_40.json 900 certificate OK: 344 leaves, 4680 product steps; Gamma^+ is not left-orderable
41_40 901 R=4 census_41_40.json 901 certificate OK: 344 leaves, 4940 product steps; Gamma^+ is not left-orderable
41_40 902 R=4 census_41_40.json 902 certificate OK: 144 leaves, 2017 product steps; Gamma^+ is not left-orderable
41_40 903 R=4 census_41_40.json 903 certificate OK: 144 leaves, 2017 product steps; Gamma^+ is not left-orderable
41_40 904 R=4 census_41_40.json 904 certificate OK: 144 leaves, 2017 product steps; Gamma^+ is not left-orderable
41_40 905 R=4 census_41_40.json 905 certificate OK: 144 leaves, 2017 product steps; Gamma^+ is not left-orderable
41_40 906 R=4 census_41_40.json 906 certificate OK: 156 leaves, 3132 product steps; Gamma^+ is not left-orderable
41_40 907 R=4 census_41_40.json 907 certificate OK: 160 leaves, 3482 product steps; Gamma^+ is not left-orderable
41_40 908 R=4 census_41_40.json 908 certificate OK: 14 leaves, 344 product steps; Gamma^+ is not left-orderable
41_40 909 R=4 census_41_40.json 909 certificate OK: 160 leaves, 3120 product steps; Gamma^+ is not left-orderable
41_40 910 R=4 census_41_40.json 910 certificate OK: 160 leaves, 3088 product steps; Gamma^+ is not left-orderable
41_40 911 R=4 census_41_40.json 911 certificate OK: 160 leaves, 3263 product steps; Gamma^+ is not left-orderable
41_40 912 R=4 census_41_40.json 912 certificate OK: 156 leaves, 2931 product steps; Gamma^+ is not left-orderable
41_40 913 R=4 census_41_40.json 913 certificate OK: 160 leaves, 3114 product steps; Gamma^+ is not left-orderable
41_40 914 R=4 census_41_40.json 914 certificate OK: 10 leaves, 189 product steps; Gamma^+ is not left-orderable
41_40 915 R=4 census_41_40.json 915 certificate OK: 10 leaves, 189 product steps; Gamma^+ is not left-orderable
41_40 916 R=4 census_41_40.json 916 certificate OK: 10 leaves, 189 product steps; Gamma^+ is not left-orderable
41_40 917 R=4 census_41_40.json 917 certificate OK: 10 leaves, 189 product steps; Gamma^+ is not left-orderable
41_40 918 R=4 census_41_40.json 918 certificate OK: 10 leaves, 189 product steps; Gamma^+ is not left-orderable
41_40 919 R=4 census_41_40.json 919 certificate OK: 10 leaves, 189 product steps; Gamma^+ is not left-orderable
41_40 920 R=4 census_41_40.json 920 certificate OK: 10 leaves, 189 product steps; Gamma^+ is not left-orderable
41_40 921 R=4 census_41_40.json 921 certificate OK: 10 leaves, 232 product steps; Gamma^+ is not left-orderable
41_40 922 R=4 census_41_40.json 922 certificate OK: 20 leaves, 537 product steps; Gamma^+ is not left-orderable
41_40 923 R=4 census_41_40.json 923 certificate OK: 154 leaves, 2769 product steps; Gamma^+ is not left-orderable
41_40 924 R=4 census_41_40.json 924 certificate OK: 12 leaves, 367 product steps; Gamma^+ is not left-orderable
41_40 926 R=4 census_41_40.json 926 certificate OK: 8 leaves, 237 product steps; Gamma^+ is not left-orderable
41_40 982 R=4 census_41_40.json 982 certificate OK: 10 leaves, 250 product steps; Gamma^+ is not left-orderable
41_40 1076 R=4 census_41_40.json 1076 certificate OK: 8 leaves, 136 product steps; Gamma^+ is not left-orderable
41_40 1086 R=4 census_41_40.json 1086 certificate OK: 18 leaves, 426 product steps; Gamma^+ is not left-orderable
41_40 1147 R=4 census_41_40.json 1147 certificate OK: 10 leaves, 170 product steps; Gamma^+ is not left-orderable
41_40 1148 R=4 census_41_40.json 1148 certificate OK: 10 leaves, 170 product steps; Gamma^+ is not left-orderable
41_40 1149 R=4 census_41_40.json 1149 certificate OK: 10 leaves, 170 product steps; Gamma^+ is not left-orderable
41_40 1150 R=4 census_41_40.json 1150 certificate OK: 10 leaves, 170 product steps; Gamma^+ is not left-orderable
41_40 1151 R=4 census_41_40.json 1151 certificate OK: 10 leaves, 170 product steps; Gamma^+ is not left-orderable
41_40 1152 R=4 census_41_40.json 1152 certificate OK: 10 leaves, 170 product steps; Gamma^+ is not left-orderable
41_40 1153 R=4 census_41_40.json 1153 certificate OK: 10 leaves, 170 product steps; Gamma^+ is not left-orderable
41_40 1154 R=4 census_41_40.json 1154 certificate OK: 10 leaves, 170 product steps; Gamma^+ is not left-orderable
41_40 1155 R=4 census_41_40.json 1155 certificate OK: 12 leaves, 292 product steps; Gamma^+ is not left-orderable
41_40 1156 R=4 census_41_40.json 1156 certificate OK: 10 leaves, 263 product steps; Gamma^+ is not left-orderable
41_40 1157 R=4 census_41_40.json 1157 certificate OK: 10 leaves, 269 product steps; Gamma^+ is not left-orderable
41_40 1158 R=4 census_41_40.json 1158 certificate OK: 14 leaves, 401 product steps; Gamma^+ is not left-orderable
41_40 1159 R=4 census_41_40.json 1159 certificate OK: 10 leaves, 221 product steps; Gamma^+ is not left-orderable
41_40 1160 R=4 census_41_40.json 1160 certificate OK: 24 leaves, 689 product steps; Gamma^+ is not left-orderable
41_40 1169 R=4 census_41_40.json 1169 certificate OK: 10 leaves, 401 product steps; Gamma^+ is not left-orderable
41_40 1170 R=4 census_41_40.json 1170 certificate OK: 168 leaves, 3368 product steps; Gamma^+ is not left-orderable
41_40 1171 R=4 census_41_40.json 1171 certificate OK: 10 leaves, 244 product steps; Gamma^+ is not left-orderable
41_40 1172 R=4 census_41_40.json 1172 certificate OK: 10 leaves, 251 product steps; Gamma^+ is not left-orderable
41_40 1173 R=4 census_41_40.json 1173 certificate OK: 8 leaves, 212 product steps; Gamma^+ is not left-orderable
41_40 1182 R=4 census_41_40.json 1182 certificate OK: 14 leaves, 341 product steps; Gamma^+ is not left-orderable
41_40 1183 R=4 census_41_40.json 1183 certificate OK: 10 leaves, 269 product steps; Gamma^+ is not left-orderable
41_40 1184 R=4 census_41_40.json 1184 certificate OK: 166 leaves, 2916 product steps; Gamma^+ is not left-orderable
41_40 1185 R=4 census_41_40.json 1185 certificate OK: 10 leaves, 200 product steps; Gamma^+ is not left-orderable
41_41 460 R=4 census_41_41.json 460 certificate OK: 8 leaves, 136 product steps; Gamma^+ is not left-orderable
41_41 481 R=4 census_41_41.json 481 certificate OK: 10 leaves, 177 product steps; Gamma^+ is not left-orderable
41_41 482 R=4 census_41_41.json 482 certificate OK: 10 leaves, 205 product steps; Gamma^+ is not left-orderable
41_41 483 R=4 census_41_41.json 483 certificate OK: 10 leaves, 177 product steps; Gamma^+ is not left-orderable
41_41 485 R=4 census_41_41.json 485 certificate OK: 10 leaves, 228 product steps; Gamma^+ is not left-orderable
41_41 521 R=4 census_41_41.json 521 certificate OK: 8 leaves, 116 product steps; Gamma^+ is not left-orderable
41_41 522 R=4 census_41_41.json 522 certificate OK: 8 leaves, 116 product steps; Gamma^+ is not left-orderable
41_41 523 R=4 census_41_41.json 523 certificate OK: 8 leaves, 116 product steps; Gamma^+ is not left-orderable
41_41 524 R=4 census_41_41.json 524 certificate OK: 8 leaves, 116 product steps; Gamma^+ is not left-orderable
41_41 525 R=4 census_41_41.json 525 certificate OK: 8 leaves, 116 product steps; Gamma^+ is not left-orderable
41_41 526 R=4 census_41_41.json 526 certificate OK: 10 leaves, 163 product steps; Gamma^+ is not left-orderable
41_41 527 R=4 census_41_41.json 527 certificate OK: 8 leaves, 234 product steps; Gamma^+ is not left-orderable
41_41 528 R=4 census_41_41.json 528 certificate OK: 10 leaves, 163 product steps; Gamma^+ is not left-orderable
41_41 529 R=4 census_41_41.json 529 certificate OK: 8 leaves, 234 product steps; Gamma^+ is not left-orderable
41_41 530 R=4 census_41_41.json 530 certificate OK: 8 leaves, 163 product steps; Gamma^+ is not left-orderable
41_41 531 R=4 census_41_41.json 531 certificate OK: 8 leaves, 163 product steps; Gamma^+ is not left-orderable
41_41 532 R=4 census_41_41.json 532 certificate OK: 10 leaves, 300 product steps; Gamma^+ is not left-orderable
41_41 533 R=4 census_41_41.json 533 certificate OK: 12 leaves, 333 product steps; Gamma^+ is not left-orderable
41_41 534 R=4 census_41_41.json 534 certificate OK: 8 leaves, 116 product steps; Gamma^+ is not left-orderable
41_41 535 R=4 census_41_41.json 535 certificate OK: 8 leaves, 116 product steps; Gamma^+ is not left-orderable
41_41 536 R=4 census_41_41.json 536 certificate OK: 8 leaves, 234 product steps; Gamma^+ is not left-orderable
41_41 537 R=4 census_41_41.json 537 certificate OK: 8 leaves, 234 product steps; Gamma^+ is not left-orderable
41_41 538 R=4 census_41_41.json 538 certificate OK: 10 leaves, 313 product steps; Gamma^+ is not left-orderable
41_41 539 R=4 census_41_41.json 539 certificate OK: 10 leaves, 232 product steps; Gamma^+ is not left-orderable
41_41 540 R=4 census_41_41.json 540 certificate OK: 12 leaves, 231 product steps; Gamma^+ is not left-orderable
42_30 87 R=4 census_42_30.json 87 certificate OK: 8 leaves, 149 product steps; Gamma^+ is not left-orderable
42_31 67 R=4 census_42_31.json 67 certificate OK: 8 leaves, 132 product steps; Gamma^+ is not left-orderable
42_40 161 R=4 census_42_40.json 161 certificate OK: 20 leaves, 308 product steps; Gamma^+ is not left-orderable
42_40 284 R=4 census_42_40.json 284 certificate OK: 30 leaves, 561 product steps; Gamma^+ is not left-orderable
42_40 287 R=4 census_42_40.json 287 certificate OK: 34 leaves, 699 product steps; Gamma^+ is not left-orderable
42_40 289 R=4 census_42_40.json 289 certificate OK: 16 leaves, 486 product steps; Gamma^+ is not left-orderable
42_40 377 R=4 census_42_40.json 377 certificate OK: 154 leaves, 3493 product steps; Gamma^+ is not left-orderable
42_40 379 R=4 census_42_40.json 379 certificate OK: 10 leaves, 154 product steps; Gamma^+ is not left-orderable
42_40 380 R=4 census_42_40.json 380 certificate OK: 14 leaves, 479 product steps; Gamma^+ is not left-orderable
42_40 381 R=4 census_42_40.json 381 certificate OK: 12 leaves, 169 product steps; Gamma^+ is not left-orderable
42_40 382 R=4 census_42_40.json 382 certificate OK: 8 leaves, 196 product steps; Gamma^+ is not left-orderable
42_40 424 R=4 census_42_40.json 424 certificate OK: 30 leaves, 662 product steps; Gamma^+ is not left-orderable
