OVERFLOW active=3001 total=3672
  abtadtabad -> tabactada
  Tadattabad -> acacadtada
  Tacattabad -> acabadtada
  adactadac -> dadtabab
  adactadab -> dadtabac
  Tababtadtab -> abadacadtad
  Tadabtadtab -> acacabadtad
  Tacabtadtab -> acababadtad
  tabactadac -> abtadtabab
  tabactadab -> abtadtabac
  aTababtad -> badacada
  aTabababtad -> badTababta
  TabadtaT -> abadabTa
  aTadabtad -> cacabada
  dabTadactad -> adabacabada
  tadabacabada -> btabTadactad
  Tadabacabada -> cTabTadactad
  abtabTadactad -> tababacabada
  acacababTadactad -> Tadabtabacabada
  aTacabtad -> cababada
  dadTacabtad -> adabababada
  tadabababada -> btadTacabtad
  Tadabababada -> cTadTacabtad
  abtadTacabtad -> tababababada
  TacadtaT -> acabacTa
  acababadTacabtad -> Tacabtabababada
  acacabadTacabtad -> Tadabtabababada
  acabababTadactad -> Tacabtabacabada
  dTTTadab -> TTTadac
  badacTTadab -> cadaTTadac
  tadacTTadab -> btadaTTadac
  TadacTTadab -> cTadaTTadac
  adabTadab -> dabacTac
  badabTada -> cabacTad
  dTTTadac -> TTTadab
  badacTTadac -> cadaTTadab
  tadacTTadac -> btadaTTadab
  TadacTTadac -> cTadaTTadab
  adabTadac -> dabacTab
  TadabTada -> cTabacTad
  dtttadab -> tttadac
  atattadab -> tattadac
  badabttadab -> cadattadac
  tadabttadab -> btadattadac
  Tadabttadab -> cTadattadac
  dtttadac -> tttadab
  atattadac -> tattadab
  badabttadac -> cadattadab
  tadabttadac -> btadattadab
  Tadabttadac -> cTadattadab
  cTTTadac -> bTTTadab
  ctttadac -> btttadab
  cTTTadab -> bTTTadac
  ctttadab -> btttadac
  dacTada -> bacTad
  tabadTa -> abtabaT
  dacTadTa -> bacTabaT
  daTTacabtad -> babTababada
  daTTadabtad -> babTacabada
  daTTababtad -> babTadabada
  bacTada -> dacTad
  dacTabaT -> bacTadTa
  dabTababada -> baTTacabtad
  dabTacabada -> baTTadabtad
  dabTadabada -> baTTababtad
  babTaT -> daTTa
  dabTaT -> baTTa
  TabTaT -> bTaTTa
  TacTada -> bTacTad
  bTacTabaT -> TacTadTa
  bTabTababada -> TaTTacabtad
  bTabTacabada -> TaTTadabtad
  bTabTadabada -> TaTTababtad
  cabaca -> aTacat
  cababadab -> aTacabata
  cacaca -> aTadat
  cacabadab -> aTadabata
  tabTaT -> dtaTTa
  dadtadTaT -> adataTTa
  dtabTababada -> taTTacabtad
  dtabTacabada -> taTTadabtad
  dtabTadabada -> taTTababtad
  badaba -> aTabat
  dabaTTa -> adacTaT
  bTacTadTa -> TacTabaT
  dabacTad -> adabTada
  TadabtabaT -> acacabadTa
  TacabtabaT -> acababadTa
  dababTababada -> adadTTacabtad
  dababTacabada -> adacTTadactad
  dababTadabada -> adadTTababtad
  tabababT -> abtadTac
  adababaca -> dadTacat
  dacTababT -> bacTadTac
  dadtadTabT -> adataTTac
  bTacTababT -> TacTadTac
  adabababadab -> dadTacabata
  TacadtabT -> acabacTac
  TabadtabT -> abadabTac
  tababacT -> abtadTad
  adabacaca -> dadTadat
  dacTabacT -> bacTadTad
  dadtadTacT -> adataTTad
  bTacTabacT -> TacTadTad
  TacadataT -> acabacTad
  TabadataT -> abadabTad
  tababadT -> abtadTab
  adabadaca -> dadTabat
  dacTabadT -> bacTadTab
  dadtadTadT -> adataTTab
  bTacTabadT -> TacTadTab
  dadTababata -> adTababtab
  TacadtadT -> acabacTab
  TabadtadT -> abadabTab
  aTacattab -> cabactad
  dabTabactad -> baTTacattab
  daTTacattab -> babTabactad
  dtabTabactad -> taTTacattab
  bTabTabactad -> TaTTacattab
  dadTacattab -> adababactad
  tadababactad -> btadTacattab
  Tadababactad -> cTadTacattab
  dababTabactad -> adadTTacattab
  abtadTacattab -> tabababactad
  acababadTacattab -> Tacabtababactad
  acacabadTacattab -> Tadabtababactad
  aTacattad -> cabactab
  dabTabactab -> baTTacattad
  daTTacattad -> babTabactab
  dtabTabactab -> taTTacattad
  bTabTabactab -> TaTTacattad
  dadTacattad -> adababactab
  tadababactab -> btadTacattad
  Tadababactab -> cTadTacattad
  dababTabactab -> adadTTacattad
  abtadTacattad -> tabababactab
  acababadTacattad -> Tacabtababactab
  acacabadTacattad -> Tadabtababactab
  acabababaTTa -> TacabadtaTT
  TacabtabTadab -> acabababacTac
  TacabtabTadac -> acabababacTab
  acabababacTad -> TacabtabTada
  acababababTabactab -> TacabtadTTacattad
  acababababTabactad -> TacabtadTTacattab
  acababababTababada -> TacabtadTTacabtad
  acababababTacabada -> TacabataTTadactad
  acababababTadabada -> TacabtadTTababtad
  aTadattab -> cacactad
  dabTacactad -> baTTadattab
  daTTadattab -> babTacactad
  dtabTacactad -> taTTadattab
  bTabTacactad -> TaTTadattab
  dadTadattab -> adabacactad
  tadabacactad -> btadTadattab
  Tadabacactad -> cTadTadattab
  dababTacactad -> adadTTadattab
  abtadTadattab -> tababacactad
  acababadTadattab -> Tacabtabacactad
  acacabadTadattab -> Tadabtabacactad
  acababababTacactad -> TacabtadTTadattab
  aTadattad -> cacactab
  dabTacactab -> baTTadattad
  daTTadattad -> babTacactab
  dtabTacactab -> taTTadattad
  bTabTacactab -> TaTTadattad
  dadTadattad -> adabacactab
  tadabacactab -> btadTadattad
  Tadabacactab -> cTadTadattad
  dababTacactab -> adadTTadattad
  abtadTadattad -> tababacactab
  acababadTadattad -> Tacabtabacactab
  acacabadTadattad -> Tadabtabacactab
  acababababTacactab -> TacabtadTTadattad
  aTadactabaT -> TadactadTa
  dacacababaT -> bTadactadTa
  bTacacababaT -> TTadactadTa
  acacababaTTa -> TadabadtaTT
  dTacacababaT -> cTTadactadTa
  TadabtabTadab -> acacababacTac
  TadabtabTadac -> acacababacTab
  acacababacTad -> TadabtabTada
  acacababacTabadT -> TadactaTTabab
  acacababacTabacT -> TadactaTTabad
  acacababacTababT -> TadactaTTabac
  acacabababTacactab -> TadabtadTTadattad
  acacabababTacactad -> TadabtadTTadattab
  acacabababTabactab -> TadabtadTTacattad
  acacabababTabactad -> TadabtadTTacattab
  acacabababTababada -> TadabtadTTacabtad
  acacabababTacabada -> TadabataTTadactad
  acacabababTadabada -> TadabtadTTababtad
  aTabattab -> badabtad
  Tabattaba -> abadtabad
  baTTabattab -> adabacabada
  daTTabattab -> babTadactad
  dtabTadactad -> taTTabattab
  bTabTadactad -> TaTTabattab
  dadTabattab -> adabadactad
  tadabadactad -> btadTabattab
  Tadabadactad -> cTadTabattab
  dababTadactad -> adadTTabattab
  abtadTabattab -> tababadactad
  cTabacTabacabada -> TabaTTTabattab
  abadTababattab -> Tabababtabtad
  TadabtadTTabattab -> acTacabtabacabada
  acababababTadactad -> TacabtadTTabattab
  aTabattad -> badabtab
  dabTadactab -> baTTabattad
  daTTabattad -> babTadactab
  dtabTadactab -> taTTabattad
  bTabTadactab -> TaTTabattad
  dadTabattad -> adabadactab
  tadabadactab -> btadTabattad
  Tadabadactab -> cTadTabattad
  dababTadactab -> adadTTabattad
  abtadTabattad -> tababadactab
  abadTababattad -> Tabababtabtab
  acacabababTadactab -> TadabtadTTabattad
  acababababTadactab -> TacabtadTTabattad
  abadacabaTTa -> TababadtaTT
  TababtabTadab -> abadacabacTac
  TababtabTadac -> abadacabacTab
  abadacabacTad -> TababtabTada
  dadTabababtadTa -> adTababactaT
  abadacabacTabadT -> TabactaTTabab
  abadacabacTabacT -> TabactaTTabad
  abadacabacTababT -> TabactaTTabac
  abadacababTadactab -> TababtadTTabattad
  abadacababTadactad -> TababtadTTabattab
  abadacababTacactab -> TababtadTTadattad
  abadacababTacactad -> TababtadTTadattab
  abadacababTabactab -> TababtadTTacattad
  abadacababTabactad -> TababtadTTacattab
  abadacababTababada -> TababtadTTacabtad
  abadacababTacabada -> TababataTTadactad
  abadacababTadabada -> TababtadTTababtad
  dabactadabTaba -> tadacT
  abactadabTabat -> ctadab
  babtadtabacTabat -> ttadac
  dabactadababada -> tadacab
  adacactadabTabat -> dtabac
  cacactadabTabat -> badtabac
  bacactadabTabat -> cadtabac
  babttadacTabat -> tadtabac
  cTacactadabTabat -> acacabac
  adacTabactadab -> cTabat
  adacabadabTab -> cabadabTa
  Tacattababa -> tabababadab
  badacTTabattad -> dTTabatta
  adacTabactadTabattad -> cabadacabtab
  adacTabactadTabattab -> cabadacabtad
  acTadattab -> cTadattad
  acTadattad -> cTadattab
  cTabactadabTaba -> adacT
  abadacadtabab -> Tababattabac
  abadacadtabac -> Tababattabab
  dadTabababtadtad -> adTabababttab
  aTadactadtab -> Tadactadtad
  dacacabadtab -> bTadactadtad
  bTacacabadtab -> TTadactadtad
  dTacacabadtab -> cTTadactadtad
  acacabadtabab -> Tadabattabac
  acacabadtabac -> Tadabattabab
  acababadtabab -> Tacabattabac
  acababadtabac -> Tacabattabab
  tadtadtabad -> attabactada
  Tacabattabad -> acababadtaba
  Tadabattabad -> acacabadtaba
  Tababattabad -> abadacadtaba
  tadtadTabattad -> attababadactab
  tadtadTabattab -> attababadactad
  tadtadTadattad -> attababacactab
  tadtadTadattab -> attababacactad
  tadtadTacattad -> attabababactab
  tadtadTacattab -> attabababactad
  tadtadTacabtad -> attababababada
  attababacabada -> tataTTabattab
  badactadtabad -> cadtabactada
  badactadTabattad -> cadtababadactab
  badactadTabattab -> cadtababadactad
  badactadTadattad -> cadtababacactab
  badactadTadattab -> cadtababacactad
  badactadTacattad -> cadtabababactab
  badactadTacattab -> cadtabababactad
  badactadTacabtad -> cadtababababada
  badactabTadactad -> cadtababacabada
  dadtababttadab -> adactadattadac
  dadtabacTTadac -> adactadaTTadab
  dadtababttadac -> adactadattadab
  dadtabacTTadab -> adactadaTTadac
  dadtabactada -> adactadtabad
  tadactadtabad -> btadtabactada
  abtadtabactada -> tabactadtabad
  Tadattabactada -> acacadtadtabad
  Tacattabactada -> acabadtadtabad
  tadactadTabattad -> btadtababadactab
  tadactadTabattab -> btadtababadactad
  tadactadTadattad -> btadtababacactab
  tadactadTadattab -> btadtababacactad
  tadactadTacattad -> btadtabababactab
  tadactadTacattab -> btadtabababactad
  tadactadTacabtad -> btadtababababada
  tadactabTadactad -> btadtababacabada
  aTadactadTa -> TadactabaT
  aTadactadtad -> Tadactadtab
  Tadactadtabad -> aTadacattaba
  TadactadTabattad -> aTadacabtabtab
  TadactadTabattab -> aTadacabtabtad
  TadactadTadattad -> aTadactabacactab
  TadactadTadattab -> aTadactabacactad
  TadactadTacattad -> aTadactababactab
  TadactadTacattab -> aTadactababactad
  TadactadTacabtad -> aTadactabababada
  TadactabTadactad -> aTadactabacabada
  Tabattabtabad -> abadtabactada
  tadtadtabactada -> attabactadtabad
  abtadtababttadab -> tabactadattadac
  abtadtabacTTadac -> tabactadaTTadab
  abtadtababttadac -> tabactadattadab
  abtadtabacTTadab -> tabactadaTTadac
  badactadtabactada -> cadtabactadtabad
  Tadactadtabactada -> aTadacattabtabad
  tadactadtabactada -> btadtabactadtabad
  Tadattababttadab -> acacadtadattadac
  TadattabacTTadac -> acacadtadaTTadab
  Tadattababttadac -> acacadtadattadab
  TadattabacTTadab -> acacadtadaTTadac
  tabababadabT -> acabadtadTa
  aTadacattabad -> Tadactadtaba
  Tacattababttadab -> acabadtadattadac
  TacattabacTTadac -> acabadtadaTTadab
  Tacattababttadac -> acabadtadattadab
  TacattabacTTadab -> acabadtadaTTadac
  dadtababacactab -> adactadTadattad
  dadtababacactad -> adactadTadattab
  dadtabababactab -> adactadTacattad
  dadtabababactad -> adactadTacattab
  dadtababababada -> adactadTacabtad
  dadtababacabada -> adactabTadactad
  Tadabtabacacabab -> acacababTadabtab
  Tacabtabacacabab -> acabababTadabtab
  dadtababadactab -> adactadTabattad
  dadtababadactad -> adactadTabattab
  dadtabactadtabad -> adactadtabactada
  Tadabtabacacabac -> acacababTadabata
  Tacabtabacacabac -> acabababTadabata
  dadTabababtadtab -> adTabababttad
  dacacabadtad -> bTadactadtab
  bTacacabadtad -> TTadactadtab
  dTacacabadtad -> cTTadactadtab
  abtadtababacactab -> tabactadTadattad
  abtadtababacactad -> tabactadTadattab
  abtadtabababactab -> tabactadTacattad
  abtadtabababactad -> tabactadTacattab
  abtadtababababada -> tabactadTacabtad
  abtadtababacabada -> tabactabTadactad
  abtadtababadactab -> tabactadTabattad
  abtadtababadactad -> tabactadTabattab
  abtadtabactadtabad -> tabactadtabactada
  dtaTTababtad -> tabTadabada
  bTaTTababtad -> TabTadabada
  abadabTababtad -> Tabactadacada
  acabacTababtad -> Tacactadacada
  aTababattabac -> badacadtabab
  aTababattabab -> badacadtabac
  adtabacTabactadacada -> dactabad
  aTababtabttadab -> badacadattadac
  aTababataTTadac -> badacadaTTadab
  aTababtabttadac -> badacadattadab
  aTababataTTadab -> badacadaTTadac
  tabtabacTabactadacada -> abacttada
  abttabacTabactadacada -> tabactabad
  abadTababta -> Tabababtad
  badTababtad -> aTabababta
  badTababtab -> aTabababata
  badTababata -> aTabababtab
  dadTababta -> adTababtad
  daTTabababtad -> badTadTababta
  dadTadTababta -> baTTabababtad
  dtaTTabababtad -> tadTadTababta
  bTaTTabababtad -> TadTadTababta
  aTabababattabad -> badTababttaba
  aTababtabtab -> badTabattad
  aTababtabtad -> badTabattab
  abtadTabababtad -> tabTabababta
  abadabTabababtad -> TabactadTababta
  TadactadTababta -> aTadacababtad
  acabacTabababtad -> TacactadTababta
  aTabababattabac -> badTababttabab
  aTabababtabTadab -> badTabacadtabT
  aTabababattabab -> badTababttabac
  aTabababtabTadac -> badTabacadtadT
  aTabababtabttadab -> badTababtattadac
  aTabababataTTadac -> badTababtaTTadab
  aTabababtabttadac -> badTababtattadab
  aTabababataTTadab -> badTababtaTTadac
  tadTababtad -> btadTababta
  btadTababata -> tadTababtab
  btadTababtab -> tadTababata
  TabattabTababtad -> abadtabTababta
  tadabadabTababta -> ababtadTabat
  TadTababtad -> cTadTababta
  cTadTababata -> TadTababtab
  cTadTababtab -> TadTababata
  badacadtabad -> aTababattaba
  dabTadabadtabad -> baTTababattaba
  babTadabadtabad -> daTTababattaba
  dtabTadabadtabad -> taTTababattaba
  bTabTadabadtabad -> TaTTababattaba
  badTababttabad -> aTabababattaba
  btadTababattaba -> tadTababttabad
  cTadTababattaba -> TadTababttabad
  dtadTababattaba -> ctadTababttabad
  dTadTababattaba -> bTadTababttabad
  cttadTababattaba -> ttadTababttabad
  bTTadTababattaba -> TTadTababttabad
  dTTadTababattaba -> cTTadTababttabad
  dttadTababattaba -> bttadTababttabad
  adactadTababattaba -> dadtabTababttabad
  abadTabababattaba -> Tababababttabad
  tabactadTababattaba -> abtadtabTababttabad
  dadTababadtaT -> adTababtabTa
  badTabababtad -> aTababababta
  abadTabababta -> Tababababtad
  dadTadTabababtad -> baTTababababta
  badTadTabababtad -> daTTababababta
  dtadTadTabababtad -> taTTababababta
  bTadTadTabababtad -> TaTTababababta
  badTababababtad -> aTabababababta
  dadTababababta -> adTababababtad
  tadTababababtad -> btadTababababta
  TadTababababtad -> cTadTababababta
  abtadTababababta -> tabTababababtad
  tadtadTababababta -> attabTababababtad
  dadtabTababababtad -> adactadTababababta
  badactadTababababta -> cadtabTababababtad
  acababadTababababta -> Tacabababababtad
  acacabadTababababta -> Tadabababababtad
  abadTabababababta -> Tababababababtad
  abtadtabTababababtad -> tabactadTababababta
  TadactadTababababta -> aTadacababababtad
  tadactadTababababta -> btadtabTababababtad
  cacabadac -> aTadabtab
  dtaTTadabtad -> tabTacabada
  bTaTTadabtad -> TabTacabada
  aTadabattabac -> cacabadtabab
  aTadabattabab -> cacabadtabac
  aTadabtabttadab -> cacabadattadac
  aTadabataTTadac -> cacabadaTTadab
  aTadabtabttadac -> cacabadattadab
  aTadabataTTadab -> cacabadaTTadac
  adabacabadac -> baTTabattad
  baTTabattadaT -> adabacabadTa
  btabTadactadTa -> tadabacababaT
  btabTadactadtad -> tadabacabadtab
  btabTadactadtab -> tadabacabadtad
  tadabTada -> btabacTad
  acabataTTabattab -> abtabTadacta
  tadabacabadTadattad -> btabTadactabacactab
  tadabacabadTadattab -> btabTadactabacactad
  tadabacabadTacattad -> btabTadactababactab
  tadabacabadTacattab -> btabTadactababactad
  tadabacabadTacabtad -> btabTadactabababada
  tadabacababTadactad -> btabTadactabacabada
  bacTabTadactad -> dacTabacabada
  cTabTadactadTa -> TadabacababaT
  dadtadTacabada -> adataTTadabtad
  TacTabTadactad -> bTacTabacabada
  cTabTadactadtad -> Tadabacabadtab
  cTabTadactadtab -> Tadabacabadtad
  TadabacabadTadattad -> cTabTadactabacactab
  TadabacabadTadattab -> cTabTadactabacactad
  TadabacabadTacattad -> cTabTadactababactab
  TadabacabadTacattab -> cTabTadactababactad
  TadabacabadTacabtad -> cTabTadactabababada
  TadabacababTadactad -> cTabTadactabacabada
  acacababacTabacabada -> TadactaTTTabattab
  tababacabadab -> abtabTadacata
  tababacabadac -> abtabTadactab
  abtabTadactabaT -> tababacabadTa
  TabattabTadabtad -> abadtababacabada
  abtabTadacattabad -> tababacabadtaba
  adadttababacabada -> dadtataTTabattab
  abtabTadacattabac -> tababacabadtabab
  abtabTadactabTadab -> tababacababacTac
  abtabTadacattabab -> tababacabadtabac
  abtabTadactabTadac -> tababacababacTab
  tadtadtababacabada -> attabactabTadactad
  abtabTadactabttadab -> tababacabadattadac
  abtabTadacataTTadac -> tababacabadaTTadab
  abtabTadactabttadac -> tababacabadattadab
  abtabTadacataTTadab -> tababacabadaTTadac
  tabadttababacabada -> abtadtataTTabattab
  dadtabactabTadactad -> adactadtababacabada
  abadabttababacabada -> TabattataTTabattab
  acacacttababacabada -> TadattataTTabattab
  acabacttababacabada -> TacattataTTabattab
  badactadtababacabada -> cadtabactabTadactad
  abtadtabactabTadactad -> tabactadtababacabada
  Tadactadtababacabada -> aTadacattabTadabtad
  tadactadtababacabada -> btadtabactabTadactad
  Tacabtadttababacabada -> acababadtataTTabattab
  Tadabtadttababacabada -> acacabadtataTTabattab
  Tababtadttababacabada -> abadacadtataTTabattab
  tababTabactada -> acabact
  cacabadtabad -> aTadabattaba
  dabTacabadtabad -> baTTadabattaba
  babTacabadtabad -> daTTadabattaba
  dtabTacabadtabad -> taTTadabattaba
  bTabTacabadtabad -> TaTTadabattaba
  adabacabadtabad -> baTTabatttaba
  tababacabadtabad -> abtabTadacattaba
  Tacabtabacabadtabad -> acabadaTTabatttaba
  Tadabtabacabadtabad -> acacadaTTabatttaba
  aTadactabacabadtabad -> TadactabTadacattaba
  cTabTadactabacabadtabad -> TadabacadaTTabatttaba
  btabTadactabacabadtabad -> tadabacadaTTabatttaba
  aTadabtabacabada -> cacababTadactad
  Tadabtabacacada -> acacababTadacta
  Tadabtabacabadab -> acacadaTTabatta
  Tadabtabacabadac -> acacababTadactab
  dabTacababTadactad -> baTTadabtabacabada
  daTTadabtabacabada -> babTacababTadactad
  acacababTadactabaT -> TadabtabacabadTa
  dtabTacababTadactad -> taTTadabtabacabada
  bTabTacababTadactad -> TaTTadabtabacabada
  baTTabattadacabada -> adabacababTadactad
  dababTacababTadactad -> adacTTadactabacabada
  abtabTadactabacabada -> tababacababTadactad
  acacababTadactabTadab -> TadabtabacababacTac
  acacababTadactabTadac -> TadabtabacababacTab
  attababacababTadactad -> tataTTabattadacabada
  acacababTadactabttadab -> Tadabtabacabadattadac
  acacababTadactabttadac -> Tadabtabacabadattadab
  dadtababacababTadactad -> adactabTadactabacabada
  badactabTadactabacabada -> cadtababacababTadactad
  acabababTadactabacabada -> TacabtabacababTadactad
  acacababTadactabacabada -> TadabtabacababTadactad
  abtadtababacababTadactad -> tabactabTadactabacabada
  TadactabTadactabacabada -> aTadactabacababTadactad
  tadactabTadactabacabada -> btadtababacababTadactad
  abadacababTacababTadactad -> TababataTTadactabacabada
  acacabababTacababTadactad -> TadabataTTadactabacabada
  acababababTacababTadactad -> TacabataTTadactabacabada
  TadabacababTadactabacabada -> cTabTadactabacababTadactad
  tadabacababTadactabacabada -> btabTadactabacababTadactad
  tabadTTabattab -> ababtabacabada
  aTadababtabacabada -> cacabadTTabattab
  aTacababtabacabada -> cababadTTabattab
  dadTabababtabacabada -> adTababTabattab
  dadTacababtabacabada -> adabababadTTabattab
  TababtabTadattaba -> abadTacadattada
  abadTTabattabTabababtad -> TababtabTacabababta
  cababadac -> aTacabtab
  dtaTTacabtad -> tabTababada
  bTaTTacabtad -> TabTababada
  abadabTacabtad -> Tabadtababada
  acabacTacabtad -> Tacadtababada
  aTacabattabac -> cababadtabab
  aTacabattabab -> cababadtabac
  aTacabtabttadab -> cababadattadac
  aTacabataTTadac -> cababadaTTadab
  aTacabtabttadac -> cababadattadab
  aTacabataTTadab -> cababadaTTadac
  adabababadac -> dadTacabtab
  dadTacabattabac -> adabababadtabab
  dadTacabattabab -> adabababadtabac
  dadTacabtabttadab -> adabababadattadac
  dadTacabataTTadac -> adabababadaTTadab
  dadTacabtabttadac -> adabababadattadab
  dadTacabataTTadab -> adabababadaTTadac
  Tadattababababada -> acacadtadTacabtad
  acabadtadTacabtad -> abtadTacabta
  aTababtabTacabtad -> badTabadtababada
  tadabababadTadattad -> btadTacabtabacactab
  tadabababadTadattab -> btadTacabtabacactad
  tadabababadTacattad -> btadTacabtababactab
  tadabababadTacattab -> btadTacabtababactad
  tadabababadTacabtad -> btadTacabtabababada
  tadababababTadactad -> btadTacabtabacabada
  tadababababTadactabacabada -> btadTacabtabacababTadactad
  bacTadTacabtad -> dacTabababada
  dadtadTababada -> adataTTacabtad
  TacTadTacabtad -> bTacTabababada
  TadabababadTadattad -> cTadTacabtabacactab
  TadabababadTadattab -> cTadTacabtabacactad
  TadabababadTacattad -> cTadTacabtababactab
  TadabababadTacattab -> cTadTacabtababactad
  TadabababadTacabtad -> cTadTacabtabababada
  TadababababTadactad -> cTadTacabtabacabada
  acacababacTabababada -> TadactaTTabacabtad
  TadababababTadactabacabada -> cTadTacabtabacababTadactad
  tababababadab -> abtadTacabata
  tababababadac -> abtadTacabtab
  TabattabTacabtad -> abadtababababada
  abtadTacabattabac -> tababababadtabab
  abtadTacabattabab -> tababababadtabac
  tadtadtababababada -> attabactadTacabtad
  abtadTacabtabttadab -> tababababadattadac
  abtadTacabataTTadac -> tababababadaTTadab
  abtadTacabtabttadac -> tababababadattadab
  abtadTacabataTTadab -> tababababadaTTadac
  dadtabactadTacabtad -> adactadtababababada
  badactadtababababada -> cadtabactadTacabtad
  abtadtabactadTacabtad -> tabactadtababababada
  Tadactadtababababada -> aTadacattabTacabtad
  tadactadtababababada -> btadtabactadTacabtad
  cababadtabad -> aTacabattaba
  dabTababadtabad -> baTTacabattaba
  babTababadtabad -> daTTacabattaba
  dtabTababadtabad -> taTTacabattaba
  bTabTababadtabad -> TaTTacabattaba
  adabababadtabad -> dadTacabattaba
  tababababadtabad -> abtadTacabattaba
  Tacabtabababadtabad -> acababadTacabattaba
  Tadabtabababadtabad -> acacabadTacabattaba
  aTadactabababadtabad -> TadactadTacabattaba
  cTabTadactabababadtabad -> TadabacabadTacabattaba
  btabTadactabababadtabad -> tadabacabadTacabattaba
  aTacabtabababada -> cababadTacabtad
  Tacabtababacada -> acababadTacabta
  Tacabtabababadab -> acababadTacabata
  Tacabtabababadac -> acababadTacabtab
  dabTababadTacabtad -> baTTacabtabababada
  daTTacabtabababada -> babTababadTacabtad
  dtabTababadTacabtad -> taTTacabtabababada
  bTabTababadTacabtad -> TaTTacabtabababada
  dadTacabtabababada -> adabababadTacabtad
  dababTababadTacabtad -> adadTTacabtabababada
  abtadTacabtabababada -> tababababadTacabtad
  acababadTacabattabac -> Tacabtabababadtabab
  acababadTacabattabab -> Tacabtabababadtabac
  tadtadTacabtabababada -> attababababadTacabtad
  acababadTacabtabttadab -> Tacabtabababadattadac
  acababadTacabataTTadac -> TacabtabababadaTTadab
  acababadTacabtabttadac -> Tacabtabababadattadab
  acababadTacabataTTadab -> TacabtabababadaTTadac
  dadtababababadTacabtad -> adactadTacabtabababada
  badactadTacabtabababada -> cadtababababadTacabtad
  acababadTacabtabababada -> TacabtabababadTacabtad
  acacabadTacabtabababada -> TadabtabababadTacabtad
  abtadtababababadTacabtad -> tabactadTacabtabababada
  TadactadTacabtabababada -> aTadactabababadTacabtad
  tadactadTacabtabababada -> btadtababababadTacabtad
  abadacababTababadTacabtad -> TababtadTTacabtabababada
  acacabababTababadTacabtad -> TadabtadTTacabtabababada
  acababababTababadTacabtad -> TacabtadTTacabtabababada
  TadabababadTacabtabababada -> cTadTacabtabababadTacabtad
  tadabababadTacabtabababada -> btadTacabtabababadTacabtad
  TadabacabadTacabtabababada -> cTabTadactabababadTacabtad
  tadabacabadTacabtabababada -> btabTadactabababadTacabtad
  aTadabtabababada -> cacabadTacabtad
  Tadabtababacada -> acacabadTacabta
  Tadabtabababadab -> acacabadTacabata
  Tadabtabababadac -> acacabadTacabtab
  dabTacabadTacabtad -> baTTadabtabababada
  daTTadabtabababada -> babTacabadTacabtad
  dtabTacabadTacabtad -> taTTadabtabababada
  bTabTacabadTacabtad -> TaTTadabtabababada
  baTTabattadababada -> adabacabadTacabtad
  dababTacabadTacabtad -> adacTTadactabababada
  abtabTadactabababada -> tababacabadTacabtad
  acacabadTacabattabac -> Tadabtabababadtabab
  acacabadTacabattabab -> Tadabtabababadtabac
  attababacabadTacabtad -> tataTTabattadababada
  acacabadTacabtabttadab -> Tadabtabababadattadac
  acacabadTacabataTTadac -> TadabtabababadaTTadab
  acacabadTacabtabttadac -> Tadabtabababadattadab
  acacabadTacabataTTadab -> TadabtabababadaTTadac
  dadtababacabadTacabtad -> adactabTadactabababada
  badactabTadactabababada -> cadtababacabadTacabtad
  acabababTadactabababada -> TacabtabacabadTacabtad
