OVERFLOW active=3001 total=3198
  taaaaaaaTAtaTAt -> TaaaatAtATAta
  aTAtATATaaaat -> TAtaTAtaaaaaaaT
  taTAtaTATaaat -> TatAtATAtaaaaaaaT
  taTAtaTATaaaat -> TatAtATAtaaaaaaaaaT
  taTAtaTATaTaat -> TatAtATAtaaaTaaaaT
  taTAtaTATaTaaat -> TatAtATAtaaaTaaaaaaT
  taTAtaTATaTaaaat -> TatAtATAtaaaTaaaaaaaaT
  taTAtaTATaaTat -> TatAtATAtaaaaaTaaT
  taTAtaTATaaTaat -> TatAtATAtaaaaaTaaaaT
  taTAtaTATaaTaaat -> TatAtATAtaaaaaTaaaaaaT
  taTAtaTATaaTaaaat -> TatAtATAtaaaaaTaaaaaaaaT
  taTAtaTATaTaTat -> TatAtATAtaaaTaaTaaT
  taTAtaTATaTaTaat -> TatAtATAtaaaTaaTaaaaT
  taTAtaTATaTaTaaat -> TatAtATAtaaaTaaTaaaaaaT
  taTAtaTATaTaTaaaat -> TatAtATAtaaaTaaTaaaaaaaaT
  TTaaaaTat -> aaaaaaaaTaaT
  TTaTaaaTat -> aaTaaaaaaTaaT
  TTaaaTaTat -> aaaaaaTaaTaaT
  TTaaaTaTaat -> aaaaaaTaaTaaaaT
  TTaaaTaTaaat -> aaaaaaTaaTaaaaaaT
  TTaaaTaTaaaat -> aaaaaaTaaTaaaaaaaaT
  TTaTaaTaTat -> aaTaaaaTaaTaaT
  TTaTaaTaTaat -> aaTaaaaTaaTaaaaT
  TTaTaaTaTaaat -> aaTaaaaTaaTaaaaaaT
  TTaTaaTaTaaaat -> aaTaaaaTaaTaaaaaaaaT
  TTaaTaTaTat -> aaaaTaaTaaTaaT
  TTaaTaTaTaat -> aaaaTaaTaaTaaaaT
  TTaaTaTaTaaat -> aaaaTaaTaaTaaaaaaT
  TTaaTaTaTaaaat -> aaaaTaaTaaTaaaaaaaaT
  TTaaTaTaaTat -> aaaaTaaTaaaaTaaT
  TTaaTaTaaTaat -> aaaaTaaTaaaaTaaaaT
  TTaaTaTaaTaaat -> aaaaTaaTaaaaTaaaaaaT
  TTaaTaTaaTaaaat -> aaaaTaaTaaaaTaaaaaaaaT
  TTaTaTaTaTat -> aaTaaTaaTaaTaaT
  TTaTaTaTaTaat -> aaTaaTaaTaaTaaaaT
  TTaTaTaTaTaaat -> aaTaaTaaTaaTaaaaaaT
  TTaTaTaTaTaaaat -> aaTaaTaaTaaTaaaaaaaaT
  TTaTaTaTaaTat -> aaTaaTaaTaaaaTaaT
  TTaTaTaTaaTaat -> aaTaaTaaTaaaaTaaaaT
  TTaTaTaTaaTaaat -> aaTaaTaaTaaaaTaaaaaaT
  TTaTaTaTaaTaaaat -> aaTaaTaaTaaaaTaaaaaaaaT
  TTaTaaTaaTat -> aaTaaaaTaaaaTaaT
  TTaTaaTaaTaat -> aaTaaaaTaaaaTaaaaT
  TTaTaaTaaTaaat -> aaTaaaaTaaaaTaaaaaaT
  TTaTaaTaaTaaaat -> aaTaaaaTaaaaTaaaaaaaaT
  TTaTaaaTaat -> aaTaaaaaaTaaaaT
  TTaTaaaTaaat -> aaTaaaaaaTaaaaaaT
  TTaTaaaTaaaat -> aaTaaaaaaTaaaaaaaaT
  TTaaTaaaTat -> aaaaTaaaaaaTaaT
  TTaaTaaaTaat -> aaaaTaaaaaaTaaaaT
  TTaaTaaaTaaat -> aaaaTaaaaaaTaaaaaaT
  TTaaTaaaTaaaat -> aaaaTaaaaaaTaaaaaaaaT
  TTaaaaat -> aaaaaaaaaaT
  TTaTaaaaat -> aaTaaaaaaaaaaT
  TTaaTaaaaat -> aaaaTaaaaaaaaaaT
  TTaTaTaaaaat -> aaTaaTaaaaaaaaaaT
  TTaaaTaaaaat -> aaaaaaTaaaaaaaaaaT
  taaaaaaaaaaaaaaaaT -> Taaaaaaaat
  TTaTaaTaaaaat -> aaTaaaaTaaaaaaaaaaT
  TTaaTaTaaaaat -> aaaaTaaTaaaaaaaaaaT
  TTaTaTaTaaaaat -> aaTaaTaaTaaaaaaaaaaT
  TTaTaaaTaaaaat -> aaTaaaaaaTaaaaaaaaaaT
  TTaaaTaTaaaaat -> aaaaaaTaaTaaaaaaaaaaT
  TTaaTaaTaaaaat -> aaaaTaaaaTaaaaaaaaaaT
  taTAtaTATaaaaat -> TatAtATAtaaaaaaaaaaaT
  TTaaTaTaTaaaaat -> aaaaTaaTaaTaaaaaaaaaaT
  TTaTaaTaTaaaaat -> aaTaaaaTaaTaaaaaaaaaaT
  TTaTaTaaTaaaaat -> aaTaaTaaaaTaaaaaaaaaaT
  TTaaTaaaTaaaaat -> aaaaTaaaaaaTaaaaaaaaaaT
  TTaTaTaTaTaaaaat -> aaTaaTaaTaaTaaaaaaaaaaT
  TTaTaaTaaTaaaaat -> aaTaaaaTaaaaTaaaaaaaaaaT
  TTaaTaTaaTaaaaat -> aaaaTaaTaaaaTaaaaaaaaaaT
  taTAtaTATaTaaaaat -> TatAtATAtaaaTaaaaaaaaaaT
  TTaTaTaTaaTaaaaat -> aaTaaTaaTaaaaTaaaaaaaaaaT
  taTAtaTATaaTaaaaat -> TatAtATAtaaaaaTaaaaaaaaaaT
  taTAtaTATaTaTaaaaat -> TatAtATAtaaaTaaTaaaaaaaaaaT
  TTaTaTaaaTat -> aaTaaTaaaaaaTaaT
  TTaTaTaaaTaat -> aaTaaTaaaaaaTaaaaT
  TTaTaTaaaTaaat -> aaTaaTaaaaaaTaaaaaaT
  TTaTaTaaaTaaaat -> aaTaaTaaaaaaTaaaaaaaaT
  TTaTaTaaaTaaaaat -> aaTaaTaaaaaaTaaaaaaaaaaT
  TTaTaaTaaaTat -> aaTaaaaTaaaaaaTaaT
  TTaTaaTaaaTaat -> aaTaaaaTaaaaaaTaaaaT
  TTaTaaTaaaTaaat -> aaTaaaaTaaaaaaTaaaaaaT
  TTaTaaTaaaTaaaat -> aaTaaaaTaaaaaaTaaaaaaaaT
  TTaTaaTaaaTaaaaat -> aaTaaaaTaaaaaaTaaaaaaaaaaT
  TTaaTaTaaaTat -> aaaaTaaTaaaaaaTaaT
  TTaaTaTaaaTaat -> aaaaTaaTaaaaaaTaaaaT
  TTaaTaTaaaTaaat -> aaaaTaaTaaaaaaTaaaaaaT
  TTaaTaTaaaTaaaat -> aaaaTaaTaaaaaaTaaaaaaaaT
  TTaaTaTaaaTaaaaat -> aaaaTaaTaaaaaaTaaaaaaaaaaT
  TTaTaTaTaaaTat -> aaTaaTaaTaaaaaaTaaT
  TTaTaTaTaaaTaat -> aaTaaTaaTaaaaaaTaaaaT
  TTaTaTaTaaaTaaat -> aaTaaTaaTaaaaaaTaaaaaaT
  TTaTaTaTaaaTaaaat -> aaTaaTaaTaaaaaaTaaaaaaaaT
  TTaTaTaTaaaTaaaaat -> aaTaaTaaTaaaaaaTaaaaaaaaaaT
  TTaTaTaaTaTat -> aaTaaTaaaaTaaTaaT
  TTaTaTaaTaTaat -> aaTaaTaaaaTaaTaaaaT
  TTaTaTaaTaTaaat -> aaTaaTaaaaTaaTaaaaaaT
  TTaTaTaaTaTaaaat -> aaTaaTaaaaTaaTaaaaaaaaT
  TTaTaTaaTaTaaaaat -> aaTaaTaaaaTaaTaaaaaaaaaaT
  TTaTaTaaTaaTat -> aaTaaTaaaaTaaaaTaaT
  TTaTaTaaTaaTaat -> aaTaaTaaaaTaaaaTaaaaT
  TTaTaTaaTaaTaaat -> aaTaaTaaaaTaaaaTaaaaaaT
  TTaTaTaaTaaTaaaat -> aaTaaTaaaaTaaaaTaaaaaaaaT
  TTaTaTaaTaaTaaaaat -> aaTaaTaaaaTaaaaTaaaaaaaaaaT
  TTaTaTaaTaaaTat -> aaTaaTaaaaTaaaaaaTaaT
  TTaTaTaaTaaaTaat -> aaTaaTaaaaTaaaaaaTaaaaT
  TTaTaTaaTaaaTaaat -> aaTaaTaaaaTaaaaaaTaaaaaaT
  TTaTaTaaTaaaTaaaat -> aaTaaTaaaaTaaaaaaTaaaaaaaaT
  TTaTaTaaTaaaTaaaaat -> aaTaaTaaaaTaaaaaaTaaaaaaaaaaT
  TTAt -> AAT
  TTATat -> AATaaT
  TTATaat -> AATaaaaT
  TTATaTat -> AATaaTaaT
  TTATaTaat -> AATaaTaaaaT
  TTATaaTat -> AATaaaaTaaT
  TTATaTaTat -> AATaaTaaTaaT
  TTATaTaTaat -> AATaaTaaTaaaaT
  TTaaaaTaat -> aaaaaaaaTaaaaT
  TTaaaaTaaat -> aaaaaaaaTaaaaaaT
  TTaaaaTaaaat -> aaaaaaaaTaaaaaaaaT
  taaaaaaaaaaaaaaaaaaT -> Taaaaaaaaat
  TTaaaaTaaaaat -> aaaaaaaaTaaaaaaaaaaT
  TTATaaat -> AATaaaaaaT
  TTaaaTaaTat -> aaaaaaTaaaaTaaT
  TTaaaTaaTaat -> aaaaaaTaaaaTaaaaT
  TTaaaTaaTaaat -> aaaaaaTaaaaTaaaaaaT
  TTaaaTaaTaaaat -> aaaaaaTaaaaTaaaaaaaaT
  TTaaaTaaTaaaaat -> aaaaaaTaaaaTaaaaaaaaaaT
  TTaaaaaat -> aaaaaaaaaaaaT
  TTaTaaaaaat -> aaTaaaaaaaaaaaaT
  TTaaTaaaaaat -> aaaaTaaaaaaaaaaaaT
  TTaTaTaaaaaat -> aaTaaTaaaaaaaaaaaaT
  TTaaaTaaaaaat -> aaaaaaTaaaaaaaaaaaaT
  TTaTaaTaaaaaat -> aaTaaaaTaaaaaaaaaaaaT
  TTaaTaTaaaaaat -> aaaaTaaTaaaaaaaaaaaaT
  TTaaaaTaaaaaat -> aaaaaaaaTaaaaaaaaaaaaT
  taaaaaaaaaaaaaaaaaaaaT -> Taaaaaaaaaat
  TTaTaTaTaaaaaat -> aaTaaTaaTaaaaaaaaaaaaT
  TTaTaaaTaaaaaat -> aaTaaaaaaTaaaaaaaaaaaaT
  TTaaaTaTaaaaaat -> aaaaaaTaaTaaaaaaaaaaaaT
  TTaaTaaTaaaaaat -> aaaaTaaaaTaaaaaaaaaaaaT
  taTAtaTATaaaaaat -> TatAtATAtaaaaaaaaaaaaaT
  TTaaTaTaTaaaaaat -> aaaaTaaTaaTaaaaaaaaaaaaT
  TTaTaaTaTaaaaaat -> aaTaaaaTaaTaaaaaaaaaaaaT
  TTaTaTaaTaaaaaat -> aaTaaTaaaaTaaaaaaaaaaaaT
  TTaaaTaaTaaaaaat -> aaaaaaTaaaaTaaaaaaaaaaaaT
  TTaaTaaaTaaaaaat -> aaaaTaaaaaaTaaaaaaaaaaaaT
  TTaTaTaTaTaaaaaat -> aaTaaTaaTaaTaaaaaaaaaaaaT
  TTaTaTaaaTaaaaaat -> aaTaaTaaaaaaTaaaaaaaaaaaaT
  TTaTaaTaaTaaaaaat -> aaTaaaaTaaaaTaaaaaaaaaaaaT
  TTaaTaTaaTaaaaaat -> aaaaTaaTaaaaTaaaaaaaaaaaaT
  taTAtaTATaTaaaaaat -> TatAtATAtaaaTaaaaaaaaaaaaT
  TTaTaTaaTaTaaaaaat -> aaTaaTaaaaTaaTaaaaaaaaaaaaT
  TTaTaTaTaaTaaaaaat -> aaTaaTaaTaaaaTaaaaaaaaaaaaT
  TTaaTaTaaaTaaaaaat -> aaaaTaaTaaaaaaTaaaaaaaaaaaaT
  TTaTaaTaaaTaaaaaat -> aaTaaaaTaaaaaaTaaaaaaaaaaaaT
  taTAtaTATaaTaaaaaat -> TatAtATAtaaaaaTaaaaaaaaaaaaT
  TTaTaTaaTaaTaaaaaat -> aaTaaTaaaaTaaaaTaaaaaaaaaaaaT
  TTaTaTaTaaaTaaaaaat -> aaTaaTaaTaaaaaaTaaaaaaaaaaaaT
  taTAtaTATaTaTaaaaaat -> TatAtATAtaaaTaaTaaaaaaaaaaaaT
  TTaaaTaaaTat -> aaaaaaTaaaaaaTaaT
  TTaaaTaaaTaat -> aaaaaaTaaaaaaTaaaaT
  TTaaaTaaaTaaat -> aaaaaaTaaaaaaTaaaaaaT
  TTaaaTaaaTaaaat -> aaaaaaTaaaaaaTaaaaaaaaT
  TTaaaTaaaTaaaaat -> aaaaaaTaaaaaaTaaaaaaaaaaT
  TTaaaTaaaTaaaaaat -> aaaaaaTaaaaaaTaaaaaaaaaaaaT
  TTaTaaaaTat -> aaTaaaaaaaaTaaT
  TTaTaaaaTaat -> aaTaaaaaaaaTaaaaT
  TTaTaaaaTaaat -> aaTaaaaaaaaTaaaaaaT
  TTaTaaaaTaaaat -> aaTaaaaaaaaTaaaaaaaaT
  TTaTaaaaTaaaaat -> aaTaaaaaaaaTaaaaaaaaaaT
  TTaTaaaaTaaaaaat -> aaTaaaaaaaaTaaaaaaaaaaaaT
  TTaaTaaaaTat -> aaaaTaaaaaaaaTaaT
  TTaaTaaaaTaat -> aaaaTaaaaaaaaTaaaaT
  TTaaTaaaaTaaat -> aaaaTaaaaaaaaTaaaaaaT
  TTaaTaaaaTaaaat -> aaaaTaaaaaaaaTaaaaaaaaT
  TTaaTaaaaTaaaaat -> aaaaTaaaaaaaaTaaaaaaaaaaT
  TTaaTaaaaTaaaaaat -> aaaaTaaaaaaaaTaaaaaaaaaaaaT
  TTaTaTaaaaTat -> aaTaaTaaaaaaaaTaaT
  TTaTaTaaaaTaat -> aaTaaTaaaaaaaaTaaaaT
  TTaTaTaaaaTaaat -> aaTaaTaaaaaaaaTaaaaaaT
  TTaTaTaaaaTaaaat -> aaTaaTaaaaaaaaTaaaaaaaaT
  TTaTaTaaaaTaaaaat -> aaTaaTaaaaaaaaTaaaaaaaaaaT
  TTaTaTaaaaTaaaaaat -> aaTaaTaaaaaaaaTaaaaaaaaaaaaT
  TTaaaTaaaaTat -> aaaaaaTaaaaaaaaTaaT
  TTaaaTaaaaTaat -> aaaaaaTaaaaaaaaTaaaaT
  TTaaaTaaaaTaaat -> aaaaaaTaaaaaaaaTaaaaaaT
  TTaaaTaaaaTaaaat -> aaaaaaTaaaaaaaaTaaaaaaaaT
  TTaaaTaaaaTaaaaat -> aaaaaaTaaaaaaaaTaaaaaaaaaaT
  TTaaaTaaaaTaaaaaat -> aaaaaaTaaaaaaaaTaaaaaaaaaaaaT
  TTaaaaaaat -> aaaaaaaaaaaaaaT
  TTaTaaaaaaat -> aaTaaaaaaaaaaaaaaT
  TTaaTaaaaaaat -> aaaaTaaaaaaaaaaaaaaT
  TTaTaTaaaaaaat -> aaTaaTaaaaaaaaaaaaaaT
  TTaaaTaaaaaaat -> aaaaaaTaaaaaaaaaaaaaaT
  TTaTaaTaaaaaaat -> aaTaaaaTaaaaaaaaaaaaaaT
  TTaaTaTaaaaaaat -> aaaaTaaTaaaaaaaaaaaaaaT
  TTaaaaTaaaaaaat -> aaaaaaaaTaaaaaaaaaaaaaaT
  taaaaaaaaaaaaaaaaaaaaaaT -> Taaaaaaaaaaat
  TTaTaTaTaaaaaaat -> aaTaaTaaTaaaaaaaaaaaaaaT
  TTaTaaaTaaaaaaat -> aaTaaaaaaTaaaaaaaaaaaaaaT
  TTaaaTaTaaaaaaat -> aaaaaaTaaTaaaaaaaaaaaaaaT
  TTaaTaaTaaaaaaat -> aaaaTaaaaTaaaaaaaaaaaaaaT
  taTAtaTATaaaaaaat -> TatAtATAtaaaaaaaaaaaaaaaT
  TTaaTaTaTaaaaaaat -> aaaaTaaTaaTaaaaaaaaaaaaaaT
  TTaTaaTaTaaaaaaat -> aaTaaaaTaaTaaaaaaaaaaaaaaT
  TTaTaTaaTaaaaaaat -> aaTaaTaaaaTaaaaaaaaaaaaaaT
  TTaTaaaaTaaaaaaat -> aaTaaaaaaaaTaaaaaaaaaaaaaaT
  TTaaaTaaTaaaaaaat -> aaaaaaTaaaaTaaaaaaaaaaaaaaT
  TTaaTaaaTaaaaaaat -> aaaaTaaaaaaTaaaaaaaaaaaaaaT
  TTaTaTaTaTaaaaaaat -> aaTaaTaaTaaTaaaaaaaaaaaaaaT
  TTaTaTaaaTaaaaaaat -> aaTaaTaaaaaaTaaaaaaaaaaaaaaT
  TTaTaaTaaTaaaaaaat -> aaTaaaaTaaaaTaaaaaaaaaaaaaaT
  TTaaTaTaaTaaaaaaat -> aaaaTaaTaaaaTaaaaaaaaaaaaaaT
  TTaaTaaaaTaaaaaaat -> aaaaTaaaaaaaaTaaaaaaaaaaaaaaT
  TTaaaTaaaTaaaaaaat -> aaaaaaTaaaaaaTaaaaaaaaaaaaaaT
  taTAtaTATaTaaaaaaat -> TatAtATAtaaaTaaaaaaaaaaaaaaT
  TTaTaTaaTaTaaaaaaat -> aaTaaTaaaaTaaTaaaaaaaaaaaaaaT
  TTaTaTaTaaTaaaaaaat -> aaTaaTaaTaaaaTaaaaaaaaaaaaaaT
  TTaTaTaaaaTaaaaaaat -> aaTaaTaaaaaaaaTaaaaaaaaaaaaaaT
  TTaaTaTaaaTaaaaaaat -> aaaaTaaTaaaaaaTaaaaaaaaaaaaaaT
  TTaTaaTaaaTaaaaaaat -> aaTaaaaTaaaaaaTaaaaaaaaaaaaaaT
  taTAtaTATaaTaaaaaaat -> TatAtATAtaaaaaTaaaaaaaaaaaaaaT
  TTaTaaTaaaaTat -> aaTaaaaTaaaaaaaaTaaT
  TTaTaaTaaaaTaat -> aaTaaaaTaaaaaaaaTaaaaT
  TTaTaaTaaaaTaaat -> aaTaaaaTaaaaaaaaTaaaaaaT
  TTaTaaTaaaaTaaaat -> aaTaaaaTaaaaaaaaTaaaaaaaaT
  TTaTaaTaaaaTaaaaat -> aaTaaaaTaaaaaaaaTaaaaaaaaaaT
  TTaTaaTaaaaTaaaaaat -> aaTaaaaTaaaaaaaaTaaaaaaaaaaaaT
  TTaaTaTaaaaTat -> aaaaTaaTaaaaaaaaTaaT
  TTaaTaTaaaaTaat -> aaaaTaaTaaaaaaaaTaaaaT
  TTaaTaTaaaaTaaat -> aaaaTaaTaaaaaaaaTaaaaaaT
  TTaaTaTaaaaTaaaat -> aaaaTaaTaaaaaaaaTaaaaaaaaT
  TTaaTaTaaaaTaaaaat -> aaaaTaaTaaaaaaaaTaaaaaaaaaaT
  TTaaTaTaaaaTaaaaaat -> aaaaTaaTaaaaaaaaTaaaaaaaaaaaaT
  TTaTaTaTaaaaTat -> aaTaaTaaTaaaaaaaaTaaT
  TTaTaTaTaaaaTaat -> aaTaaTaaTaaaaaaaaTaaaaT
  TTaTaTaTaaaaTaaat -> aaTaaTaaTaaaaaaaaTaaaaaaT
  TTaTaTaTaaaaTaaaat -> aaTaaTaaTaaaaaaaaTaaaaaaaaT
  TTaTaTaTaaaaTaaaaat -> aaTaaTaaTaaaaaaaaTaaaaaaaaaaT
  TTaTaTaaTaaaaTat -> aaTaaTaaaaTaaaaaaaaTaaT
  TTaTaTaaTaaaaTaat -> aaTaaTaaaaTaaaaaaaaTaaaaT
  TTaTaTaaTaaaaTaaat -> aaTaaTaaaaTaaaaaaaaTaaaaaaT
  TTaTaTaaTaaaaTaaaat -> aaTaaTaaaaTaaaaaaaaTaaaaaaaaT
  TTATaaTaat -> AATaaaaTaaaaT
  TTaaTaaTaTat -> aaaaTaaaaTaaTaaT
  TTaaTaaTaTaat -> aaaaTaaaaTaaTaaaaT
  TTaaTaaTaTaaat -> aaaaTaaaaTaaTaaaaaaT
  TTaaTaaTaTaaaat -> aaaaTaaaaTaaTaaaaaaaaT
  TTaaTaaTaTaaaaat -> aaaaTaaaaTaaTaaaaaaaaaaT
  TTaaTaaTaTaaaaaat -> aaaaTaaaaTaaTaaaaaaaaaaaaT
  TTaaTaaTaTaaaaaaat -> aaaaTaaaaTaaTaaaaaaaaaaaaaaT
  TTaaTaaTaaTat -> aaaaTaaaaTaaaaTaaT
  TTaaTaaTaaTaat -> aaaaTaaaaTaaaaTaaaaT
  TTaaTaaTaaTaaat -> aaaaTaaaaTaaaaTaaaaaaT
  TTaaTaaTaaTaaaat -> aaaaTaaaaTaaaaTaaaaaaaaT
  TTaaTaaTaaTaaaaat -> aaaaTaaaaTaaaaTaaaaaaaaaaT
  TTaaTaaTaaTaaaaaat -> aaaaTaaaaTaaaaTaaaaaaaaaaaaT
  TTaaTaaTaaTaaaaaaat -> aaaaTaaaaTaaaaTaaaaaaaaaaaaaaT
  TTaaTaaTaaaTat -> aaaaTaaaaTaaaaaaTaaT
  TTaaTaaTaaaTaat -> aaaaTaaaaTaaaaaaTaaaaT
  TTaaTaaTaaaTaaat -> aaaaTaaaaTaaaaaaTaaaaaaT
  TTaaTaaTaaaTaaaat -> aaaaTaaaaTaaaaaaTaaaaaaaaT
  TTaaTaaTaaaTaaaaat -> aaaaTaaaaTaaaaaaTaaaaaaaaaaT
  TTaaTaaTaaaTaaaaaat -> aaaaTaaaaTaaaaaaTaaaaaaaaaaaaT
  TTaaTaaTaaaaTat -> aaaaTaaaaTaaaaaaaaTaaT
  TTaaTaaTaaaaTaat -> aaaaTaaaaTaaaaaaaaTaaaaT
  TTaaTaaTaaaaTaaat -> aaaaTaaaaTaaaaaaaaTaaaaaaT
  TTaaTaaTaaaaTaaaat -> aaaaTaaaaTaaaaaaaaTaaaaaaaaT
  TTaaTaaTaaaaTaaaaat -> aaaaTaaaaTaaaaaaaaTaaaaaaaaaaT
  AtaTAtAT -> taTAtATA
  ataTAtAT -> taTAtATa
  atATAtATATaat -> aTAtAtaTAtaaaT
  ttAtATAtATATaat -> ttATAtAtaTAtaaaT
  tatATAtATATaaTat -> taTAtAtaTAtaaaTaaT
  tatATAtATATaaTaat -> taTAtAtaTAtaaaTaaaaT
  tatATAtATATaaTaaat -> taTAtAtaTAtaaaTaaaaaaT
  tatATAtATATaaTaaaat -> taTAtAtaTAtaaaTaaaaaaaaT
  tatATAtATATaaTaaaaat -> taTAtAtaTAtaaaTaaaaaaaaaaT
  tatATAtATATaaTaaaaaat -> taTAtAtaTAtaaaTaaaaaaaaaaaaT
  tatATAtATATaaTaaaaaaat -> taTAtAtaTAtaaaTaaaaaaaaaaaaaaT
  atATAtATATaaat -> aTAtAtaTAtaaaaaT
  ttAtATAtATATaaat -> ttATAtAtaTAtaaaaaT
  tatATAtATATaaaTat -> taTAtAtaTAtaaaaaTaaT
  tatATAtATATaaaTaat -> taTAtAtaTAtaaaaaTaaaaT
  tatATAtATATaaaTaaat -> taTAtAtaTAtaaaaaTaaaaaaT
  tatATAtATATaaaTaaaat -> taTAtAtaTAtaaaaaTaaaaaaaaT
  tatATAtATATaaaTaaaaat -> taTAtAtaTAtaaaaaTaaaaaaaaaaT
  tatATAtATATaaaTaaaaaat -> taTAtAtaTAtaaaaaTaaaaaaaaaaaaT
  atATAtATATaaaat -> aTAtAtaTAtaaaaaaaT
  ttAtATAtATATaaaat -> ttATAtAtaTAtaaaaaaaT
  tatATAtATATaaaaTat -> taTAtAtaTAtaaaaaaaTaaT
  tatATAtATATaaaaTaat -> taTAtAtaTAtaaaaaaaTaaaaT
  tatATAtATATaaaaTaaat -> taTAtAtaTAtaaaaaaaTaaaaaaT
  tatATAtATATaaaaTaaaat -> taTAtAtaTAtaaaaaaaTaaaaaaaaT
  tatATAtATATaaaaTaaaaat -> taTAtAtaTAtaaaaaaaTaaaaaaaaaaT
  ATaTAtAT -> aTaTAtATA
  aaTaTAtAT -> TaTAtATa
  atATAtaTA -> tATAtaT
  TatAtATAAtaT -> taTAAtaTA
  TAtATAtat -> ATAtatAA
  tATAtaTAAt -> AAtATAta
  ATATatAtATAta -> TAtATATatAt
  TAtATAAtaT -> ATAAtaTA
  ATAtaTATaaaat -> TAtATAtaaaaaaaaaT
  ATAtaTATaaaaat -> TAtATAtaaaaaaaaaaaT
  ATAtaTATaaaaaat -> TAtATAtaaaaaaaaaaaaaT
  ATAtaTATaaaaaaat -> TAtATAtaaaaaaaaaaaaaaaT
  ATATAtaT -> aTATAtaTA
  aaTATAtaT -> TATAtaTa
  tATAtaTAATat -> AAtATAtaaaT
  ATAtaTATaTaaat -> TAtATAtaaaTaaaaaaT
  ATAtaTATaTaaaat -> TAtATAtaaaTaaaaaaaaT
  ATAtaTATaTaaaaat -> TAtATAtaaaTaaaaaaaaaaT
  ATAtaTATaTaaaaaat -> TAtATAtaaaTaaaaaaaaaaaaT
  ATAtaTATaTaaaaaaat -> TAtATAtaaaTaaaaaaaaaaaaaaT
  tATAtaTAATaat -> AAtATAtaaaaaT
