(0, 1, 2, 3, 4) 7 [0, 0] [0, 0] pi1 trivial
(1, 3, 4, 0, 2) 3 [0, 0] [0, 0] pi1 trivial
(1, 3, 4, 2, 0) 32 [0, 0] [0, 0] pi1 trivial
(1, 4, 0, 2, 3) 7 [0, 0] [0, 0] pi1 trivial
(1, 4, 0, 3, 2) 26 [0, 0] [0, 0] pi1 trivial
(1, 4, 2, 0, 3) 55 [0, 0] [0, 0] pi1 trivial
(1, 4, 2, 3, 0) 7 [0, 0] [0, 0] pi1 trivial
(1, 4, 3, 0, 2) 21 [0, 0] [0, 0] pi1 trivial
(1, 4, 3, 2, 0) 3 [0, 0] [0, 0] pi1 trivial
(2, 0, 1, 3, 4) 7 [0, 0] [0, 0] pi1 trivial
(2, 0, 1, 4, 3) 27 [0, 0] [0, 0] pi1 trivial
(2, 0, 3, 1, 4) 17 [0, 0] [0, 0] pi1 trivial
(2, 0, 3, 4, 1) 39 [0, 0] [0, 0] pi1 trivial
(2, 0, 4, 1, 3) 5 [0, 0] [0, 0] pi1 trivial
(2, 0, 4, 3, 1) 3 [0, 0] [0, 0] pi1 trivial
(2, 1, 0, 3, 4) 56 [0, 0] [0, 0] pi1 trivial
(2, 1, 0, 4, 3) 28 [0, 0] [0, 0] pi1 trivial
(2, 1, 3, 0, 4) 20 [0, 0] [0, 0] pi1 trivial
(2, 1, 3, 4, 0) 5 [0, 0] [0, 0] pi1 trivial
(2, 1, 4, 0, 3) 16 [0, 0] [0, 0] pi1 trivial
(2, 1, 4, 3, 0) 37 [0, 0] [0, 0] pi1 trivial
(2, 3, 0, 1, 4) 7 [0, 0] [0, 0] pi1 trivial
(2, 3, 0, 4, 1) 7 [0, 0] [0, 0] pi1 trivial
(2, 3, 1, 0, 4) 21 [0, 0] [0, 0] pi1 trivial
(2, 3, 1, 4, 0) 28 [0, 0] [0, 0] pi1 trivial
(2, 3, 4, 0, 1) 11 [0, 0] [0, 0] pi1 trivial
(2, 3, 4, 1, 0) 3 [0, 0] [0, 0] pi1 trivial
(2, 4, 0, 1, 3) 3 [0, 0] [0, 0] pi1 trivial
(2, 4, 0, 3, 1) 62 [0, 0] [0, 0] pi1 trivial
(2, 4, 1, 0, 3) 7 [0, 0] [0, 0] pi1 trivial
(2, 4, 1, 3, 0) 7 [0, 0] [0, 0] pi1 trivial
(2, 4, 3, 0, 1) 3 [0, 0] [0, 0] pi1 trivial
(2, 4, 3, 1, 0) 18 [0, 0] [0, 0] pi1 trivial
(3, 0, 1, 2, 4) 13 [0, 0] [0, 0] pi1 trivial
(3, 0, 1, 4, 2) 5 [0, 0] [0, 0] pi1 trivial
(3, 0, 2, 1, 4) 9 [0, 0] [0, 0] pi1 trivial
(3, 0, 2, 4, 1) 1 [0] [0] pi1 trivial
(3, 0, 4, 1, 2) 7 [0, 0] [0, 0] pi1 trivial
(3, 0, 4, 2, 1) 1 [0] [0] pi1 trivial
(3, 1, 0, 2, 4) 1 [0] [0] pi1 trivial
(3, 1, 0, 4, 2) 25 [0, 0] [0, 0] pi1 trivial
(3, 1, 2, 0, 4) 7 [0, 0] [0, 0] pi1 trivial
(3, 1, 2, 4, 0) 11 [0, 0] [0, 0] pi1 trivial
(3, 1, 4, 0, 2) 35 [0, 0] [0, 0] pi1 trivial
(3, 1, 4, 2, 0) 1 [0] [0] pi1 trivial
(3, 2, 0, 1, 4) 19 [0, 0] [0, 0] pi1 trivial
(3, 2, 0, 4, 1) 15 [0, 0] [0, 0] pi1 trivial
(3, 2, 1, 0, 4) 25 [0, 0] [0, 0] pi1 trivial
(3, 2, 1, 4, 0) 7 [0, 0] [0, 0] pi1 trivial
(3, 2, 4, 0, 1) 7 [0, 0] [0, 0] pi1 trivial
(3, 2, 4, 1, 0) 39 [0, 0] [0, 0] pi1 trivial
(3, 4, 0, 1, 2) 7 [0, 0] [0, 0] pi1 trivial
(3, 4, 0, 2, 1) 52 [0, 0] [0, 0] pi1 trivial
(3, 4, 1, 0, 2) 1 [0] [0] pi1 trivial
(3, 4, 1, 2, 0) 15 [0, 0] [0, 0] pi1 trivial
(3, 4, 2, 0, 1) 1 [0] [0] pi1 trivial
(3, 4, 2, 1, 0) 5 [0, 0] [0, 0] pi1 trivial
(4, 0, 1, 2, 3) 15 [0, 0] [0, 0] pi1 trivial
(4, 0, 1, 3, 2) 15 [0, 0] [0, 0] pi1 trivial
(4, 0, 2, 1, 3) 19 [0, 0] [0, 0] pi1 trivial
(4, 0, 2, 3, 1) 7 [0, 0] [0, 0] pi1 trivial
(4, 0, 3, 1, 2) 8 [0, 0] [0, 0] pi1 trivial
(4, 0, 3, 2, 1) 24 [0, 0] [0, 0] pi1 trivial
(4, 1, 0, 2, 3) 3 [0, 0] [0, 0] pi1 trivial
(4, 1, 0, 3, 2) 1 [0] [0] pi1 trivial
(4, 1, 2, 0, 3) 21 [0, 0] [0, 0] pi1 trivial
(4, 1, 2, 3, 0) 1 [0] [0] pi1 trivial
(4, 1, 3, 0, 2) 19 [0, 0] [0, 0] pi1 trivial
(4, 1, 3, 2, 0) 9 [0, 0] [0, 0] pi1 trivial
(4, 2, 0, 1, 3) 3 [0, 0] [0, 0] pi1 trivial
(4, 2, 0, 3, 1) 5 [0, 0] [0, 0] pi1 trivial
(4, 2, 1, 0, 3) 11 [0, 0] [0, 0] pi1 trivial
(4, 2, 1, 3, 0) 19 [0, 0] [0, 0] pi1 trivial
(4, 2, 3, 0, 1) 23 [0, 0] [0, 0] pi1 trivial
(4, 2, 3, 1, 0) 5 [0, 0] [0, 0] pi1 trivial
(4, 3, 0, 1, 2) 29 [0, 0] [0, 0] pi1 trivial
(4, 3, 0, 2, 1) 20 [0, 0] [0, 0] pi1 trivial
(4, 3, 1, 0, 2) 9 [0, 0] [0, 0] pi1 trivial
(4, 3, 1, 2, 0) 14 [0, 0] [0, 0] pi1 trivial
(4, 3, 2, 0, 1) 21 [0, 0] [0, 0] pi1 trivial
(4, 3, 2, 1, 0) 7 [0, 0] [0, 0] pi1 trivial
VERIFIED
