TRACE carrier=4 rotations=39 syllables=39
TRACE carrier=4 rotation=14 target=3 states=14
TRACE carrier=4 rotation=15 target=0 states=10
TRACE carrier=4 rotation=15 target=1 states=10
TRACE carrier=4 rotation=15 target=2 states=16
TRACE carrier=4 rotation=15 target=3 states=13
TRACE carrier=4 rotation=16 target=0 states=9
TRACE carrier=4 rotation=16 target=1 states=8
TRACE carrier=4 rotation=16 target=2 states=13
TRACE carrier=4 rotation=16 target=3 states=13
TRACE carrier=4 rotation=17 target=0 states=12
TRACE carrier=4 rotation=17 target=1 states=12
TRACE carrier=4 rotation=17 target=2 states=25
TRACE carrier=4 rotation=17 target=3 states=14
TRACE carrier=4 rotation=18 target=0 states=12
TRACE carrier=4 rotation=18 target=1 states=13
TRACE carrier=4 rotation=18 target=2 states=20
TRACE carrier=4 rotation=18 target=3 states=15
TRACE carrier=4 rotation=19 target=0 states=10
TRACE carrier=4 rotation=19 target=1 states=10
TRACE carrier=4 rotation=19 target=2 states=13
TRACE carrier=4 rotation=19 target=3 states=13
TRACE carrier=4 rotation=20 target=0 states=10
TRACE carrier=4 rotation=20 target=1 states=8
TRACE carrier=4 rotation=20 target=2 states=10
TRACE carrier=4 rotation=20 target=3 states=10
TRACE carrier=4 rotation=21 target=0 states=11
TRACE carrier=4 rotation=21 target=1 states=12
TRACE carrier=4 rotation=21 target=2 states=16
TRACE carrier=4 rotation=21 target=3 states=15
TRACE carrier=4 rotation=22 target=0 states=14
TRACE carrier=4 rotation=22 target=1 states=14
TRACE carrier=4 rotation=22 target=2 states=16
TRACE carrier=4 rotation=22 target=3 states=14
TRACE carrier=4 rotation=23 target=0 states=12
TRACE carrier=4 rotation=23 target=1 states=13
TRACE carrier=4 rotation=23 target=2 states=9
TRACE carrier=4 rotation=23 target=3 states=9
TRACE carrier=4 rotation=24 target=0 states=22
TRACE carrier=4 rotation=24 target=1 states=15
TRACE carrier=4 rotation=24 target=2 states=16
TRACE carrier=4 rotation=24 target=3 states=21
TRACE carrier=4 rotation=25 target=0 states=14
TRACE carrier=4 rotation=25 target=1 states=15
TRACE carrier=4 rotation=25 target=2 states=9
TRACE carrier=4 rotation=25 target=3 states=9
TRACE carrier=4 rotation=26 target=0 states=13
TRACE carrier=4 rotation=26 target=1 states=13
TRACE carrier=4 rotation=26 target=2 states=10
TRACE carrier=4 rotation=26 target=3 states=10
TRACE carrier=4 rotation=27 target=0 states=14
TRACE carrier=4 rotation=27 target=1 states=16
TRACE carrier=4 rotation=27 target=2 states=10
TRACE carrier=4 rotation=27 target=3 states=10
TRACE carrier=4 rotation=28 target=0 states=20
TRACE carrier=4 rotation=28 target=1 states=23
TRACE carrier=4 rotation=28 target=2 states=14
TRACE carrier=4 rotation=28 target=3 states=12
TRACE carrier=4 rotation=29 target=0 states=16
TRACE carrier=4 rotation=29 target=1 states=10
TRACE carrier=4 rotation=29 target=2 states=9
TRACE carrier=4 rotation=29 target=3 states=14
TRACE carrier=4 rotation=30 target=0 states=15
TRACE carrier=4 rotation=30 target=1 states=8
TRACE carrier=4 rotation=30 target=2 states=8
TRACE carrier=4 rotation=30 target=3 states=13
TRACE carrier=4 rotation=31 target=0 states=18
TRACE carrier=4 rotation=31 target=1 states=12
TRACE carrier=4 rotation=31 target=2 states=15
TRACE carrier=4 rotation=31 target=3 states=20
TRACE carrier=4 rotation=32 target=0 states=21
TRACE carrier=4 rotation=32 target=1 states=13
TRACE carrier=4 rotation=32 target=2 states=11
TRACE carrier=4 rotation=32 target=3 states=16
TRACE carrier=4 rotation=33 target=0 states=10
TRACE carrier=4 rotation=33 target=1 states=12
TRACE carrier=4 rotation=33 target=2 states=9
TRACE carrier=4 rotation=33 target=3 states=9
TRACE carrier=4 rotation=34 target=0 states=16
TRACE carrier=4 rotation=34 target=1 states=16
TRACE carrier=4 rotation=34 target=2 states=21
TRACE carrier=4 rotation=34 target=3 states=12
TRACE carrier=4 rotation=35 target=0 states=14
TRACE carrier=4 rotation=35 target=1 states=16
TRACE carrier=4 rotation=35 target=2 states=9
TRACE carrier=4 rotation=35 target=3 states=10
TRACE carrier=4 rotation=36 target=0 states=12
TRACE carrier=4 rotation=36 target=1 states=12
TRACE carrier=4 rotation=36 target=2 states=8
TRACE carrier=4 rotation=36 target=3 states=10
TRACE carrier=4 rotation=37 target=0 states=17
TRACE carrier=4 rotation=37 target=1 states=18
TRACE carrier=4 rotation=37 target=2 states=15
TRACE carrier=4 rotation=37 target=3 states=12
TRACE carrier=4 rotation=38 target=0 states=20
TRACE carrier=4 rotation=38 target=1 states=24
TRACE carrier=4 rotation=38 target=2 states=11
TRACE carrier=4 rotation=38 target=3 states=9
carrier=4 words=156 states=206
carrier_states=16
distinct_augmented_words=156
boundary_states=206
nonempty_q=76
free_nonempty_q=0
direct_killed_q=13
power_killed_q=61
saturation_killed_q=2
involution_killed_q=0
difference_killed_q=0
unresolved_q=0
