RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0, 1, 2), (4, -1)), ((3,), (3, -1))), (((4,), (4, 1)), ((0, 1, 2), (0, 1)), ((3,), (5, -1))))
profile ---+++--++++++ valences (5, 5, 3, 1) rank_counts {12: 12546, 13: 20061, 11: 3222, 14: 11862, 9: 27, 10: 882} balanced_rank_counts {12: 12546, 13: 20061, 11: 3222, 14: 11862, 9: 27, 10: 882} best 9
LOCAL_WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((1, 2, 3), (5, 1)), ((4,), (0, -1)), ((0,), (4, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((4,), (0, -1)), ((0,), (4, -1)), ((1, 2, 3), (5, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((1, 2, 3), (3, 1)), ((4,), (4, 1)), ((0,), (2, -1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((1, 2, 3), (3, 1)), ((4,), (4, 1)), ((0,), (2, -1))), (((1, 2, 3), (5, 1)), ((4,), (0, -1)), ((0,), (4, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((1, 2, 3), (3, 1)), ((4,), (4, 1)), ((0,), (2, -1))), (((4,), (0, -1)), ((0,), (4, -1)), ((1, 2, 3), (5, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((4,), (4, 1)), ((0,), (2, -1)), ((1, 2, 3), (3, 1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((4,), (4, 1)), ((0,), (2, -1)), ((1, 2, 3), (3, 1))), (((1, 2, 3), (5, 1)), ((4,), (0, -1)), ((0,), (4, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((4,), (4, 1)), ((0,), (2, -1)), ((1, 2, 3), (3, 1))), (((4,), (0, -1)), ((0,), (4, -1)), ((1, 2, 3), (5, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0,), (4, -1)), ((1, 2, 3), (3, -1)), ((4,), (2, 1))), (((0,), (0, 1)), ((1, 2, 3), (5, -1)), ((4,), (4, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0,), (4, -1)), ((1, 2, 3), (3, -1)), ((4,), (2, 1))), (((1, 2, 3), (5, -1)), ((4,), (4, 1)), ((0,), (0, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0,), (4, -1)), ((1, 2, 3), (3, -1)), ((4,), (2, 1))), (((4,), (4, 1)), ((0,), (0, 1)), ((1, 2, 3), (5, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0, 1, 2), (4, -1)), ((3,), (3, -1)), ((4,), (2, 1))), (((0, 1, 2), (0, 1)), ((3,), (5, -1)), ((4,), (4, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0, 1, 2), (4, -1)), ((3,), (3, -1)), ((4,), (2, 1))), (((3,), (5, -1)), ((4,), (4, 1)), ((0, 1, 2), (0, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0, 1, 2), (4, -1)), ((3,), (3, -1)), ((4,), (2, 1))), (((4,), (4, 1)), ((0, 1, 2), (0, 1)), ((3,), (5, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((1, 2, 3), (3, -1)), ((4,), (2, 1)), ((0,), (4, -1))), (((0,), (0, 1)), ((1, 2, 3), (5, -1)), ((4,), (4, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((1, 2, 3), (3, -1)), ((4,), (2, 1)), ((0,), (4, -1))), (((1, 2, 3), (5, -1)), ((4,), (4, 1)), ((0,), (0, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((1, 2, 3), (3, -1)), ((4,), (2, 1)), ((0,), (4, -1))), (((4,), (4, 1)), ((0,), (0, 1)), ((1, 2, 3), (5, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((3,), (3, -1)), ((4,), (2, 1)), ((0, 1, 2), (4, -1))), (((0, 1, 2), (0, 1)), ((3,), (5, -1)), ((4,), (4, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((3,), (3, -1)), ((4,), (2, 1)), ((0, 1, 2), (4, -1))), (((3,), (5, -1)), ((4,), (4, 1)), ((0, 1, 2), (0, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((3,), (3, -1)), ((4,), (2, 1)), ((0, 1, 2), (4, -1))), (((4,), (4, 1)), ((0, 1, 2), (0, 1)), ((3,), (5, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0,), (4, -1)), ((1, 2, 3), (3, -1))), (((0,), (0, 1)), ((1, 2, 3), (5, -1)), ((4,), (4, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0,), (4, -1)), ((1, 2, 3), (3, -1))), (((1, 2, 3), (5, -1)), ((4,), (4, 1)), ((0,), (0, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0,), (4, -1)), ((1, 2, 3), (3, -1))), (((4,), (4, 1)), ((0,), (0, 1)), ((1, 2, 3), (5, -1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0, 1, 2), (4, -1)), ((3,), (3, -1))), (((0, 1, 2), (0, 1)), ((3,), (5, -1)), ((4,), (4, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0, 1, 2), (4, -1)), ((3,), (3, -1))), (((3,), (5, -1)), ((4,), (4, 1)), ((0, 1, 2), (0, 1))))
LOCAL_WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0, 1, 2), (4, -1)), ((3,), (3, -1))), (((4,), (4, 1)), ((0, 1, 2), (0, 1)), ((3,), (5, -1))))
CYCLIC_CLASSES ---+++--++++++ 9 3 [(('I', (0, (1, 3, 1))), 9), (('I', (0, (3, 1, 1))), 9), (('N', (0, (1, 3, 1))), 9)]
global_best 9 winner_count 27
WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((1, 2, 3), (5, 1)), ((4,), (0, -1)), ((0,), (4, -1))))
WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((4,), (0, -1)), ((0,), (4, -1)), ((1, 2, 3), (5, 1))))
WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((1, 2, 3), (3, 1)), ((4,), (4, 1)), ((0,), (2, -1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((1, 2, 3), (3, 1)), ((4,), (4, 1)), ((0,), (2, -1))), (((1, 2, 3), (5, 1)), ((4,), (0, -1)), ((0,), (4, -1))))
WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((1, 2, 3), (3, 1)), ((4,), (4, 1)), ((0,), (2, -1))), (((4,), (0, -1)), ((0,), (4, -1)), ((1, 2, 3), (5, 1))))
WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((4,), (4, 1)), ((0,), (2, -1)), ((1, 2, 3), (3, 1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((4,), (4, 1)), ((0,), (2, -1)), ((1, 2, 3), (3, 1))), (((1, 2, 3), (5, 1)), ((4,), (0, -1)), ((0,), (4, -1))))
WIN ---+++--++++++ ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((4,), (4, 1)), ((0,), (2, -1)), ((1, 2, 3), (3, 1))), (((4,), (0, -1)), ((0,), (4, -1)), ((1, 2, 3), (5, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0,), (4, -1)), ((1, 2, 3), (3, -1)), ((4,), (2, 1))), (((0,), (0, 1)), ((1, 2, 3), (5, -1)), ((4,), (4, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0,), (4, -1)), ((1, 2, 3), (3, -1)), ((4,), (2, 1))), (((1, 2, 3), (5, -1)), ((4,), (4, 1)), ((0,), (0, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0,), (4, -1)), ((1, 2, 3), (3, -1)), ((4,), (2, 1))), (((4,), (4, 1)), ((0,), (0, 1)), ((1, 2, 3), (5, -1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0, 1, 2), (4, -1)), ((3,), (3, -1)), ((4,), (2, 1))), (((0, 1, 2), (0, 1)), ((3,), (5, -1)), ((4,), (4, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0, 1, 2), (4, -1)), ((3,), (3, -1)), ((4,), (2, 1))), (((3,), (5, -1)), ((4,), (4, 1)), ((0, 1, 2), (0, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0, 1, 2), (4, -1)), ((3,), (3, -1)), ((4,), (2, 1))), (((4,), (4, 1)), ((0, 1, 2), (0, 1)), ((3,), (5, -1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((1, 2, 3), (3, -1)), ((4,), (2, 1)), ((0,), (4, -1))), (((0,), (0, 1)), ((1, 2, 3), (5, -1)), ((4,), (4, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((1, 2, 3), (3, -1)), ((4,), (2, 1)), ((0,), (4, -1))), (((1, 2, 3), (5, -1)), ((4,), (4, 1)), ((0,), (0, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((1, 2, 3), (3, -1)), ((4,), (2, 1)), ((0,), (4, -1))), (((4,), (4, 1)), ((0,), (0, 1)), ((1, 2, 3), (5, -1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((3,), (3, -1)), ((4,), (2, 1)), ((0, 1, 2), (4, -1))), (((0, 1, 2), (0, 1)), ((3,), (5, -1)), ((4,), (4, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((3,), (3, -1)), ((4,), (2, 1)), ((0, 1, 2), (4, -1))), (((3,), (5, -1)), ((4,), (4, 1)), ((0, 1, 2), (0, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((3,), (3, -1)), ((4,), (2, 1)), ((0, 1, 2), (4, -1))), (((4,), (4, 1)), ((0, 1, 2), (0, 1)), ((3,), (5, -1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0,), (4, -1)), ((1, 2, 3), (3, -1))), (((0,), (0, 1)), ((1, 2, 3), (5, -1)), ((4,), (4, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0,), (4, -1)), ((1, 2, 3), (3, -1))), (((1, 2, 3), (5, -1)), ((4,), (4, 1)), ((0,), (0, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0,), (4, -1)), ((1, 2, 3), (3, -1))), (((4,), (4, 1)), ((0,), (0, 1)), ((1, 2, 3), (5, -1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0, 1, 2), (4, -1)), ((3,), (3, -1))), (((0, 1, 2), (0, 1)), ((3,), (5, -1)), ((4,), (4, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0, 1, 2), (4, -1)), ((3,), (3, -1))), (((3,), (5, -1)), ((4,), (4, 1)), ((0, 1, 2), (0, 1))))
WIN ---+++--++++++ ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0, 1, 2), (4, -1)), ((3,), (3, -1))), (((4,), (4, 1)), ((0, 1, 2), (0, 1)), ((3,), (5, -1))))
