TRACE carrier=12 rotations=39 syllables=39
TRACE carrier=12 rotation=33 target=1 states=56
TRACE carrier=12 rotation=33 target=2 states=38
TRACE carrier=12 rotation=33 target=3 states=40
TRACE carrier=12 rotation=34 target=0 states=148
TRACE carrier=12 rotation=34 target=1 states=99
TRACE carrier=12 rotation=34 target=2 states=84
TRACE carrier=12 rotation=34 target=3 states=54
TRACE carrier=12 rotation=35 target=0 states=50
TRACE carrier=12 rotation=35 target=1 states=50
TRACE carrier=12 rotation=35 target=2 states=29
TRACE carrier=12 rotation=35 target=3 states=37
TRACE carrier=12 rotation=36 target=0 states=46
TRACE carrier=12 rotation=36 target=1 states=47
TRACE carrier=12 rotation=36 target=2 states=28
TRACE carrier=12 rotation=36 target=3 states=33
TRACE carrier=12 rotation=37 target=0 states=126
TRACE carrier=12 rotation=37 target=1 states=72
TRACE carrier=12 rotation=37 target=2 states=50
TRACE carrier=12 rotation=37 target=3 states=54
TRACE carrier=12 rotation=38 target=0 states=83
TRACE carrier=12 rotation=38 target=1 states=97
TRACE carrier=12 rotation=38 target=2 states=32
TRACE carrier=12 rotation=38 target=3 states=41
carrier=12 words=156 states=1500
carrier_states=16
distinct_augmented_words=156
boundary_states=1500
nonempty_q=666
free_nonempty_q=0
direct_killed_q=275
power_killed_q=340
saturation_killed_q=41
involution_killed_q=10
difference_killed_q=0
unresolved_q=0
