260 130
96 18 -1
96 44 -1
96 45 1
96 57 -1
96 57 1
97 18 1
97 13 -1
97 45 -1
97 39 1
97 58 -1
97 52 1
98 23 1
98 22 -1
98 46 -1
98 48 1
98 59 -1
98 61 1
99 21 1
99 25 -1
99 47 -1
99 43 1
99 60 -1
99 64 1
100 22 1
100 20 -1
100 48 -1
100 49 1
100 61 -1
100 59 1
101 20 1
101 23 -1
101 49 -1
101 46 1
101 62 -1
101 62 1
102 24 1
102 24 -1
102 50 -1
102 50 1
102 63 -1
102 63 1
103 17 1
103 21 -1
103 51 -1
103 47 1
103 64 -1
103 60 1
104 0 1
104 5 1
104 6 -1
104 18 -1
104 19 1
104 19 1
104 44 -1
104 55 1
104 52 1
104 52 1
104 65 -1
104 65 -1
105 1 1
105 3 1
105 2 -1
105 16 -1
105 15 1
105 15 1
105 42 -1
105 57 1
105 53 1
105 53 1
105 66 -1
105 66 -1
106 3 1
106 1 1
106 5 -1
106 14 -1
106 18 1
106 14 1
106 40 -1
106 53 1
106 57 1
106 54 1
106 70 -1
106 67 -1
107 2 1
107 2 1
107 0 -1
107 15 -1
107 13 1
107 16 1
107 41 -1
107 58 1
107 58 1
107 55 1
107 71 -1
107 68 -1
108 12 1
108 12 1
108 8 -1
108 25 -1
108 21 1
108 17 1
108 51 -1
108 64 1
108 64 1
108 56 1
108 77 -1
108 69 -1
109 6 1
109 6 1
109 1 -1
109 19 -1
109 14 1
109 18 1
109 45 -1
109 54 1
109 54 1
109 57 1
109 67 -1
109 70 -1
110 5 1
110 0 1
110 3 -1
110 13 -1
110 16 1
110 13 1
110 39 -1
110 52 1
110 55 1
110 58 1
110 68 -1
110 71 -1
111 10 1
111 9 1
111 9 -1
111 22 -1
111 22 1
111 22 1
111 48 -1
111 63 1
111 59 1
111 59 1
111 72 -1
111 72 -1
112 8 1
112 4 1
112 12 -1
112 17 -1
112 25 1
112 25 1
112 43 -1
112 56 1
112 60 1
112 60 1
112 73 -1
112 73 -1
113 9 1
113 10 1
113 11 -1
113 23 -1
113 24 1
113 20 1
113 49 -1
113 59 1
113 63 1
113 61 1
113 76 -1
113 74 -1
114 7 1
114 7 1
114 10 -1
114 20 -1
114 23 1
114 23 1
114 46 -1
114 62 1
114 62 1
114 62 1
114 75 -1
114 75 -1
115 11 1
115 11 1
115 7 -1
115 24 -1
115 20 1
115 24 1
115 50 -1
115 61 1
115 61 1
115 63 1
115 74 -1
115 76 -1
116 4 1
116 8 1
116 4 -1
116 21 -1
116 17 1
116 21 1
116 47 -1
116 60 1
116 56 1
116 64 1
116 69 -1
116 77 -1
117 14 1
117 13 1
117 18 -1
117 19 1
117 27 1
117 27 1
117 26 1
117 26 1
117 66 -1
117 65 -1
117 65 -1
117 70 -1
118 13 1
118 14 1
118 16 -1
118 15 1
118 26 1
118 26 1
118 27 1
118 27 1
118 65 -1
118 66 -1
118 66 -1
118 68 -1
119 15 1
119 15 1
119 14 -1
119 16 1
119 32 1
119 28 1
119 32 1
119 28 1
119 67 -1
119 71 -1
119 67 -1
119 65 -1
120 18 1
120 16 1
120 15 -1
120 14 1
120 29 1
120 31 1
120 31 1
120 29 1
120 70 -1
120 70 -1
120 68 -1
120 71 -1
121 17 1
121 17 1
121 25 -1
121 21 1
121 30 1
121 30 1
121 30 1
121 30 1
121 69 -1
121 69 -1
121 69 -1
121 77 -1
122 16 1
122 18 1
122 19 -1
122 13 1
122 31 1
122 29 1
122 29 1
122 31 1
122 68 -1
122 68 -1
122 70 -1
122 67 -1
123 19 1
123 19 1
123 13 -1
123 18 1
123 28 1
123 32 1
123 28 1
123 32 1
123 71 -1
123 67 -1
123 71 -1
123 66 -1
124 24 1
124 20 1
124 22 -1
124 23 1
124 35 1
124 37 1
124 36 1
124 33 1
124 76 -1
124 75 -1
124 72 -1
124 72 -1
125 21 1
125 21 1
125 17 -1
125 25 1
125 34 1
125 34 1
125 34 1
125 34 1
125 73 -1
125 73 -1
125 73 -1
125 69 -1
126 23 1
126 22 1
126 23 -1
126 20 1
126 33 1
126 36 1
126 37 1
126 35 1
126 75 -1
126 76 -1
126 74 -1
126 76 -1
127 22 1
127 23 1
127 20 -1
127 22 1
127 37 1
127 35 1
127 33 1
127 36 1
127 74 -1
127 72 -1
127 75 -1
127 74 -1
128 20 1
128 24 1
128 24 -1
128 24 1
128 36 1
128 33 1
128 35 1
128 37 1
128 72 -1
128 74 -1
128 76 -1
128 75 -1
129 25 1
129 25 1
129 21 -1
129 17 1
129 38 1
129 38 1
129 38 1
129 38 1
129 77 -1
129 77 -1
129 77 -1
129 73 -1
130 78 -1
130 78 1
131 86 -1
131 79 1
132 83 -1
132 80 1
133 81 -1
133 81 1
134 87 -1
134 82 1
135 80 -1
135 83 1
136 84 -1
136 84 1
137 85 -1
137 85 1
138 79 -1
138 86 1
139 82 -1
139 87 1
140 88 -1
140 88 1
141 90 -1
141 89 1
142 89 -1
142 90 1
143 13 -1
143 13 -1
143 39 1
143 91 1
143 91 1
144 14 -1
144 21 -1
144 40 1
144 92 1
144 92 1
145 18 -1
145 18 -1
145 45 1
145 93 1
145 94 1
146 19 -1
146 16 -1
146 44 1
146 94 1
146 93 1
147 25 -1
147 22 -1
147 43 1
147 95 1
147 103 1
148 15 -1
148 15 -1
148 42 1
148 96 1
148 97 1
149 16 -1
149 19 -1
149 41 1
149 97 1
149 96 1
150 20 -1
150 20 -1
150 49 1
150 98 1
150 101 1
151 21 -1
151 14 -1
151 47 1
151 99 1
151 99 1
152 24 -1
152 17 -1
152 50 1
152 100 1
152 100 1
153 23 -1
153 23 -1
153 46 1
153 101 1
153 98 1
154 22 -1
154 25 -1
154 48 1
154 102 1
154 102 1
155 17 -1
155 24 -1
155 51 1
155 103 1
155 95 1
156 0 1
156 0 -1
156 13 1
156 13 -1
156 39 1
156 39 -1
156 78 1
156 78 -1
156 78 -1
156 78 1
156 91 -1
156 91 1
156 91 1
156 91 -1
157 8 1
157 1 -1
157 21 1
157 21 -1
157 40 1
157 47 -1
157 79 1
157 86 -1
157 79 -1
157 79 1
157 92 -1
157 99 1
157 92 1
157 99 -1
158 6 1
158 5 -1
158 19 1
158 18 -1
158 45 1
158 44 -1
158 84 1
158 80 -1
158 80 -1
158 81 1
158 97 -1
158 96 1
158 93 1
158 94 -1
159 2 1
159 6 -1
159 15 1
159 16 -1
159 44 1
159 42 -1
159 83 1
159 84 -1
159 81 -1
159 80 1
159 96 -1
159 94 1
159 94 1
159 96 -1
160 9 1
160 12 -1
160 22 1
160 22 -1
160 43 1
160 48 -1
160 82 1
160 89 -1
160 82 -1
160 90 1
160 95 -1
160 100 1
160 95 1
160 102 -1
161 3 1
161 2 -1
161 16 1
161 15 -1
161 42 1
161 41 -1
161 81 1
161 83 -1
161 83 -1
161 84 1
161 94 -1
161 93 1
161 96 1
161 97 -1
162 5 1
162 3 -1
162 18 1
162 19 -1
162 41 1
162 45 -1
162 80 1
162 81 -1
162 84 -1
162 83 1
162 93 -1
162 97 1
162 97 1
162 93 -1
163 10 1
163 7 -1
163 23 1
163 20 -1
163 49 1
163 46 -1
163 88 1
163 85 -1
163 85 -1
163 88 1
163 101 -1
163 98 1
163 98 1
163 101 -1
164 1 1
164 8 -1
164 14 1
164 14 -1
164 47 1
164 40 -1
164 86 1
164 79 -1
164 86 -1
164 86 1
164 99 -1
164 92 1
164 99 1
164 92 -1
165 12 1
165 11 -1
165 25 1
165 17 -1
165 50 1
165 43 -1
165 89 1
165 90 -1
165 87 -1
165 87 1
165 102 -1
165 95 1
165 100 1
165 95 -1
166 7 1
166 10 -1
166 20 1
166 23 -1
166 46 1
166 49 -1
166 85 1
166 88 -1
166 88 -1
166 85 1
166 98 -1
166 101 1
166 101 1
166 98 -1
167 4 1
167 9 -1
167 17 1
167 25 -1
167 48 1
167 51 -1
167 87 1
167 82 -1
167 89 -1
167 89 1
167 100 -1
167 103 1
167 102 1
167 103 -1
168 11 1
168 4 -1
168 24 1
168 24 -1
168 51 1
168 50 -1
168 90 1
168 87 -1
168 90 -1
168 82 1
168 103 -1
168 102 1
168 103 1
168 100 -1
169 1 1
169 5 -1
169 8 -1
169 6 -1
169 14 -1
169 14 1
169 19 1
169 40 -1
169 40 1
169 45 1
169 53 1
169 54 -1
169 66 -1
169 71 -1
169 79 1
169 92 1
169 91 -1
169 99 -1
169 99 -1
169 104 -1
169 112 -1
170 0 1
170 4 -1
170 0 -1
170 12 -1
170 13 -1
170 13 1
170 25 1
170 39 -1
170 47 1
170 51 1
170 60 1
170 64 -1
170 73 -1
170 77 -1
170 78 1
170 91 1
170 92 -1
170 92 -1
170 91 -1
170 105 -1
170 105 -1
171 5 1
171 0 -1
171 3 -1
171 0 -1
171 19 -1
171 18 1
171 13 1
171 45 -1
171 45 1
171 39 1
171 58 1
171 52 -1
171 70 -1
171 65 -1
171 83 1
171 97 1
171 93 -1
171 94 -1
171 93 -1
171 106 -1
171 107 -1
172 2 1
172 1 -1
172 6 -1
172 1 -1
172 16 -1
172 15 1
172 14 1
172 42 -1
172 41 1
172 40 1
172 54 1
172 53 -1
172 68 -1
172 66 -1
172 80 1
172 94 1
172 94 -1
172 93 -1
172 96 -1
172 107 -1
172 106 -1
173 12 1
173 10 -1
173 11 -1
173 7 -1
173 17 -1
173 25 1
173 20 1
173 43 -1
173 49 1
173 46 1
173 62 1
173 62 -1
173 72 -1
173 72 -1
173 90 1
173 95 1
173 95 -1
173 101 -1
173 102 -1
173 108 -1
173 114 -1
174 6 1
174 2 -1
174 5 -1
174 3 -1
174 18 -1
174 19 1
174 16 1
174 44 -1
174 44 1
174 42 1
174 57 1
174 57 -1
174 71 -1
174 68 -1
174 84 1
174 96 1
174 96 -1
174 96 -1
174 97 -1
174 109 -1
174 109 -1
175 3 1
175 6 -1
175 2 -1
175 5 -1
175 15 -1
175 16 1
175 18 1
175 41 -1
175 42 1
175 44 1
175 55 1
175 55 -1
175 67 -1
175 70 -1
175 81 1
175 93 1
175 97 -1
175 97 -1
175 94 -1
175 110 -1
175 110 -1
176 9 1
176 7 -1
176 12 -1
176 10 -1
176 22 -1
176 22 1
176 23 1
176 48 -1
176 48 1
176 49 1
176 61 1
176 59 -1
176 74 -1
176 75 -1
176 87 1
176 100 1
176 98 -1
176 103 -1
176 95 -1
176 111 -1
176 116 -1
177 8 1
177 3 -1
177 1 -1
177 2 -1
177 21 -1
177 21 1
177 15 1
177 47 -1
177 39 1
177 41 1
177 52 1
177 58 -1
177 65 -1
177 67 -1
177 86 1
177 99 1
177 99 -1
177 91 -1
177 92 -1
177 112 -1
177 104 -1
178 10 1
178 8 -1
178 7 -1
178 8 -1
178 20 -1
178 23 1
178 21 1
178 46 -1
178 51 1
178 47 1
178 64 1
178 60 -1
178 69 -1
178 73 -1
178 88 1
178 98 1
178 100 -1
178 100 -1
178 101 -1
178 113 -1
178 113 -1
179 11 1
179 9 -1
179 4 -1
179 9 -1
179 24 -1
179 24 1
179 22 1
179 50 -1
179 50 1
179 48 1
179 63 1
179 63 -1
179 76 -1
179 74 -1
179 89 1
179 102 1
179 101 -1
179 95 -1
179 103 -1
179 114 -1
179 108 -1
180 7 1
180 12 -1
180 10 -1
180 4 -1
180 23 -1
180 20 1
180 17 1
180 49 -1
180 43 1
180 43 1
180 56 1
180 56 -1
180 77 -1
180 69 -1
180 85 1
180 101 1
180 102 -1
180 102 -1
180 98 -1
180 115 -1
180 115 -1
181 4 1
181 11 -1
181 9 -1
181 11 -1
181 25 -1
181 17 1
181 24 1
181 51 -1
181 46 1
181 50 1
181 59 1
181 61 -1
181 75 -1
181 76 -1
181 82 1
181 103 1
181 103 -1
181 98 -1
181 100 -1
181 116 -1
181 111 -1
182 3 -1
182 0 -1
182 0 -1
182 5 -1
182 5 -1
182 8 1
182 6 -1
182 14 -1
182 14 -1
182 14 1
182 13 1
182 21 -1
182 21 -1
182 19 1
182 25 -1
182 17 1
182 27 1
182 34 -1
182 34 -1
182 28 -1
182 40 1
182 41 1
182 39 1
182 39 1
182 47 -1
182 45 1
182 42 1
182 53 1
182 53 -1
182 52 1
182 58 -1
182 55 1
182 55 -1
182 68 -1
182 73 1
182 73 1
182 68 1
182 78 1
182 78 -1
182 86 -1
182 86 1
182 92 1
182 92 1
182 91 -1
182 91 -1
182 99 1
182 99 -1
182 104 1
182 104 -1
183 5 -1
183 1 -1
183 8 -1
183 4 -1
183 4 -1
183 0 1
183 12 -1
183 13 -1
183 21 -1
183 13 1
183 14 1
183 14 -1
183 13 -1
183 25 1
183 19 -1
183 18 1
183 26 1
183 27 -1
183 26 -1
183 38 -1
183 47 1
183 45 1
183 40 1
183 47 1
183 39 -1
183 51 1
183 43 1
183 60 1
183 52 -1
183 53 1
183 64 -1
183 56 1
183 56 -1
183 70 -1
183 66 1
183 65 1
183 69 1
183 79 1
183 79 -1
183 79 -1
183 79 1
183 91 1
183 99 1
183 92 -1
183 99 -1
183 92 1
183 92 -1
183 105 1
183 105 -1
184 2 -1
184 5 -1
184 5 -1
184 0 -1
184 0 -1
184 2 1
184 0 -1
184 19 -1
184 19 -1
184 18 1
184 19 1
184 18 -1
184 16 -1
184 13 1
184 14 -1
184 15 1
184 29 1
184 31 -1
184 29 -1
184 26 -1
184 45 1
184 42 1
184 45 1
184 44 1
184 42 -1
184 39 1
184 45 1
184 58 1
184 55 -1
184 57 1
184 52 -1
184 58 1
184 52 -1
184 67 -1
184 70 1
184 68 1
184 65 1
184 84 1
184 80 -1
184 83 -1
184 81 1
184 97 1
184 93 1
184 97 -1
184 97 -1
184 96 1
184 94 -1
184 109 1
184 106 -1
185 0 -1
185 6 -1
185 3 -1
185 1 -1
185 1 -1
185 5 1
185 1 -1
185 16 -1
185 15 -1
185 15 1
185 18 1
185 19 -1
185 19 -1
185 14 1
185 18 -1
185 13 1
185 32 1
185 32 -1
185 32 -1
185 27 -1
185 41 1
185 39 1
185 44 1
185 42 1
185 45 -1
185 40 1
185 41 1
185 54 1
185 58 -1
185 58 1
185 53 -1
185 54 1
185 53 -1
185 65 -1
185 71 1
185 71 1
185 66 1
185 83 1
185 81 -1
185 84 -1
185 80 1
185 94 1
185 97 1
185 96 -1
185 93 -1
185 97 1
185 93 -1
185 110 1
185 107 -1
186 8 -1
186 12 -1
186 9 -1
186 10 -1
186 10 -1
186 11 1
186 7 -1
186 17 -1
186 23 -1
186 25 1
186 17 1
186 20 -1
186 24 -1
186 20 1
186 24 -1
186 24 1
186 38 1
186 33 -1
186 37 -1
186 36 -1
186 49 1
186 47 1
186 43 1
186 48 1
186 50 -1
186 46 1
186 48 1
186 62 1
186 64 -1
186 64 1
186 59 -1
186 61 1
186 59 -1
186 73 -1
186 72 1
186 76 1
186 72 1
186 82 1
186 82 -1
186 85 -1
186 88 1
186 95 1
186 98 1
186 95 -1
186 100 -1
186 98 1
186 101 -1
186 116 1
186 108 -1
187 1 -1
187 2 -1
187 2 -1
187 2 -1
187 2 -1
187 6 1
187 3 -1
187 18 -1
187 18 -1
187 19 1
187 16 1
187 16 -1
187 18 -1
187 16 1
187 13 -1
187 19 1
187 28 1
187 29 -1
187 31 -1
187 31 -1
187 44 1
187 40 1
187 42 1
187 41 1
187 44 -1
187 42 1
187 39 1
187 57 1
187 54 -1
187 54 1
187 55 -1
187 52 1
187 58 -1
187 66 -1
187 68 1
187 70 1
187 71 1
187 81 1
187 83 -1
187 81 -1
187 83 1
187 96 1
187 94 1
187 94 -1
187 94 -1
187 94 1
187 96 -1
187 106 1
187 109 -1
188 6 -1
188 3 -1
188 6 -1
188 6 -1
188 6 -1
188 3 1
188 5 -1
188 15 -1
188 16 -1
188 16 1
188 15 1
188 15 -1
188 15 -1
188 18 1
188 16 -1
188 14 1
188 31 1
188 28 -1
188 28 -1
188 29 -1
188 42 1
188 44 1
188 41 1
188 45 1
188 41 -1
188 44 1
188 40 1
188 55 1
188 57 -1
188 55 1
188 57 -1
188 53 1
188 54 -1
188 71 -1
188 67 1
188 67 1
188 67 1
188 80 1
188 84 -1
188 80 -1
188 84 1
188 93 1
188 96 1
188 93 -1
188 96 -1
188 93 1
188 97 -1
188 107 1
188 110 -1
189 11 -1
189 7 -1
189 7 -1
189 7 -1
189 7 -1
189 4 1
189 10 -1
189 22 -1
189 22 -1
189 22 1
189 23 1
189 25 -1
189 25 -1
189 23 1
189 17 -1
189 21 1
189 37 1
189 38 -1
189 38 -1
189 33 -1
189 48 1
189 50 1
189 49 1
189 46 1
189 51 -1
189 49 1
189 49 1
189 61 1
189 63 -1
189 59 1
189 62 -1
189 62 1
189 62 -1
189 76 -1
189 77 1
189 77 1
189 75 1
189 88 1
189 85 -1
189 90 -1
189 90 1
189 100 1
189 102 1
189 101 -1
189 101 -1
189 103 1
189 103 -1
189 111 1
189 111 -1
190 4 -1
190 8 -1
190 1 -1
190 3 -1
190 3 -1
190 1 1
190 2 -1
190 21 -1
190 13 -1
190 21 1
190 21 1
190 13 -1
190 14 -1
190 15 1
190 15 -1
190 16 1
190 34 1
190 26 -1
190 27 -1
190 32 -1
190 39 1
190 51 1
190 47 1
190 40 1
190 40 -1
190 41 1
190 44 1
190 52 1
190 60 -1
190 60 1
190 54 -1
190 57 1
190 57 -1
190 69 -1
190 65 1
190 66 1
190 70 1
190 86 1
190 86 -1
190 78 -1
190 78 1
190 99 1
190 91 1
190 99 -1
190 92 -1
190 91 1
190 91 -1
190 112 1
190 112 -1
191 9 -1
191 11 -1
191 4 -1
191 8 -1
191 8 -1
191 10 1
191 8 -1
191 20 -1
191 25 -1
191 23 1
191 24 1
191 24 -1
191 20 -1
191 21 1
191 23 -1
191 22 1
191 33 1
191 37 -1
191 33 -1
191 34 -1
191 51 1
191 48 1
191 50 1
191 43 1
191 46 -1
191 47 1
191 51 1
191 64 1
191 59 -1
191 63 1
191 60 -1
191 64 1
191 60 -1
191 74 -1
191 76 1
191 72 1
191 73 1
191 89 1
191 87 -1
191 89 -1
191 87 1
191 98 1
191 103 1
191 102 -1
191 103 -1
191 102 1
191 100 -1
191 115 1
191 113 -1
192 10 -1
192 10 -1
192 10 -1
192 9 -1
192 9 -1
192 12 1
192 9 -1
192 24 -1
192 24 -1
192 24 1
192 20 1
192 17 -1
192 17 -1
192 22 1
192 21 -1
192 25 1
192 35 1
192 30 -1
192 30 -1
192 37 -1
192 50 1
192 46 1
192 46 1
192 49 1
192 43 -1
192 48 1
192 50 1
192 63 1
192 61 -1
192 62 1
192 61 -1
192 63 1
192 63 -1
192 75 -1
192 69 1
192 69 1
192 76 1
192 85 1
192 88 -1
192 82 -1
192 82 1
192 102 1
192 100 1
192 98 -1
192 98 -1
192 95 1
192 95 -1
192 114 1
192 114 -1
193 7 -1
193 9 -1
193 12 -1
193 12 -1
193 12 -1
193 7 1
193 4 -1
193 23 -1
193 17 -1
193 20 1
193 22 1
193 22 -1
193 23 -1
193 17 1
193 22 -1
193 20 1
193 36 1
193 35 -1
193 36 -1
193 30 -1
193 43 1
193 49 1
193 48 1
193 51 1
193 49 -1
193 43 1
193 47 1
193 56 1
193 62 -1
193 61 1
193 56 -1
193 60 1
193 64 -1
193 72 -1
193 74 1
193 75 1
193 77 1
193 87 1
193 89 -1
193 87 -1
193 89 1
193 101 1
193 95 1
193 100 -1
193 95 -1
193 100 1
193 102 -1
193 113 1
193 115 -1
194 12 -1
194 4 -1
194 11 -1
194 11 -1
194 11 -1
194 9 1
194 11 -1
194 25 -1
194 20 -1
194 17 1
194 25 1
194 23 -1
194 22 -1
194 24 1
194 20 -1
194 23 1
194 30 1
194 36 -1
194 35 -1
194 35 -1
194 46 1
194 43 1
194 51 1
194 50 1
194 48 -1
194 50 1
194 46 1
194 59 1
194 56 -1
194 56 1
194 63 -1
194 59 1
194 61 -1
194 77 -1
194 75 1
194 74 1
194 74 1
194 90 1
194 90 -1
194 88 -1
194 85 1
194 103 1
194 101 1
194 103 -1
194 102 -1
194 101 1
194 98 -1
194 108 1
194 116 -1
195 0 -1
195 0 -1
195 16 -1
195 13 1
195 21 1
195 27 1
195 26 1
195 34 -1
195 28 -1
195 40 1
195 39 1
195 47 -1
195 66 -1
195 65 -1
195 79 1
195 79 -1
195 78 1
195 78 -1
195 86 1
195 92 1
195 91 -1
195 99 -1
195 99 -1
195 105 -1
195 104 -1
196 8 -1
196 8 -1
196 18 -1
196 21 1
196 13 1
196 26 1
196 27 1
196 27 -1
196 38 -1
196 47 1
196 47 1
196 39 -1
196 65 -1
196 66 -1
196 78 1
196 78 -1
196 79 1
196 79 -1
196 79 1
196 99 1
196 99 -1
196 91 -1
196 92 -1
196 104 -1
196 105 -1
197 6 -1
197 5 -1
197 13 -1
197 18 1
197 15 1
197 32 1
197 32 1
197 31 -1
197 26 -1
197 45 1
197 44 1
197 42 -1
197 71 -1
197 71 -1
197 84 1
197 80 -1
197 84 1
197 80 -1
197 81 1
197 93 1
197 97 -1
197 97 -1
197 94 -1
197 106 -1
197 106 -1
198 2 -1
198 3 -1
198 15 -1
198 16 1
198 18 1
198 29 1
198 31 1
198 32 -1
198 27 -1
198 41 1
198 42 1
198 45 -1
198 68 -1
198 70 -1
198 81 1
198 83 -1
198 83 1
198 81 -1
198 80 1
198 97 1
198 93 -1
198 94 -1
198 93 -1
198 109 -1
198 107 -1
199 9 -1
199 9 -1
199 25 -1
199 22 1
199 24 1
199 30 1
199 30 1
199 33 -1
199 36 -1
199 49 1
199 48 1
199 50 -1
199 69 -1
199 69 -1
199 82 1
199 82 -1
199 82 1
199 82 -1
199 88 1
199 98 1
199 100 -1
199 100 -1
199 101 -1
199 108 -1
199 108 -1
200 3 -1
200 2 -1
200 19 -1
200 15 1
200 19 1
200 31 1
200 29 1
200 29 -1
200 31 -1
200 44 1
200 41 1
200 44 -1
200 70 -1
200 68 -1
200 83 1
200 81 -1
200 81 1
200 83 -1
200 83 1
200 94 1
200 94 -1
200 93 -1
200 96 -1
200 107 -1
200 109 -1
201 5 -1
201 6 -1
201 14 -1
201 19 1
201 16 1
201 28 1
201 28 1
201 28 -1
201 29 -1
201 42 1
201 45 1
201 41 -1
201 67 -1
201 67 -1
201 80 1
201 84 -1
201 80 1
201 84 -1
201 84 1
201 96 1
201 96 -1
201 96 -1
201 97 -1
201 110 -1
201 110 -1
202 10 -1
202 7 -1
202 23 -1
202 20 1
202 17 1
202 35 1
202 36 1
202 38 -1
202 33 -1
202 48 1
202 46 1
202 51 -1
202 74 -1
202 75 -1
202 87 1
202 89 -1
202 88 1
202 85 -1
202 90 1
202 102 1
202 101 -1
202 95 -1
202 103 -1
202 115 -1
202 111 -1
203 1 -1
203 1 -1
203 17 -1
203 14 1
203 14 1
203 34 1
203 34 1
203 26 -1
203 32 -1
203 39 1
203 40 1
203 40 -1
203 73 -1
203 73 -1
203 86 1
203 86 -1
203 86 1
203 86 -1
203 78 1
203 91 1
203 92 -1
203 92 -1
203 91 -1
203 112 -1
203 112 -1
204 12 -1
204 4 -1
204 22 -1
204 17 1
204 23 1
204 33 1
204 37 1
204 37 -1
204 34 -1
204 51 1
204 43 1
204 46 -1
204 72 -1
204 76 -1
204 85 1
204 88 -1
204 89 1
204 87 -1
204 87 1
204 103 1
204 103 -1
204 98 -1
204 100 -1
204 114 -1
204 113 -1
205 7 -1
205 10 -1
205 24 -1
205 23 1
205 25 1
205 37 1
205 33 1
205 30 -1
205 37 -1
205 50 1
205 49 1
205 43 -1
205 76 -1
205 72 -1
205 89 1
205 87 -1
205 85 1
205 88 -1
205 82 1
205 100 1
205 98 -1
205 103 -1
205 95 -1
205 113 -1
205 114 -1
206 4 -1
