n 13 classes 34
   1.52853 c<=10.6997 edges 17 free 11  W=(0, 1, 2, 3, 4, 5, 7)(C_13)
   1.42790 c<=9.9953 edges 14 free 8  W=(0, 1, 2, 3, 6, 7, 10)(C_13)
   1.41745 c<=9.9221 edges 13 free 7  W=(0, 1, 2, 5, 6, 7, 10)(C_13)
   1.38929 c<=9.7250 edges 13 free 7  W=(0, 1, 2, 4, 7, 8, 10)(C_13)
   1.37846 c<=9.6492 edges 14 free 8  W=(0, 1, 2, 4, 7, 8, 11)(C_13)
n 14 classes 35
   1.52853 c<=10.6997 edges 17 free 11  W=(0, 1, 2, 3, 4, 5, 7)(C_13)
   1.52685 c<=10.6880 edges 18 free 12  W=(0, 1, 2, 3, 4, 5, 6)(C_13)
   1.49917 c<=10.4942 edges 16 free 10  W=(0, 1, 2, 3, 4, 5, 8)(C_13)
   1.49316 c<=10.4521 edges 15 free 9  W=(0, 1, 2, 3, 4, 6, 9)(C_13)
   1.49166 c<=10.4416 edges 16 free 10  W=(0, 1, 2, 3, 4, 6, 7)(C_13)
   1.48918 c<=10.4243 edges 15 free 9  W=(0, 1, 2, 3, 4, 6, 8)(C_13)
   1.48001 c<=10.3601 edges 16 free 10  W=(0, 1, 2, 3, 4, 6, 11)(C_13)
   1.47518 c<=10.3263 edges 14 free 8  W=(0, 1, 2, 3, 5, 7, 10)(C_13)
   1.47494 c<=10.3246 edges 14 free 8  W=(0, 1, 3, 4, 6, 7, 9)(C_13)
   1.47065 c<=10.2946 edges 14 free 8  W=(0, 1, 2, 5, 6, 9, 10)(C_13)
   1.47014 c<=10.2910 edges 15 free 9  W=(0, 1, 2, 3, 4, 6, 11)(C_14)
   1.47002 c<=10.2901 edges 14 free 8  W=(0, 1, 2, 3, 5, 8, 11)(C_13)
   1.46691 c<=10.2683 edges 14 free 8  W=(0, 1, 2, 3, 5, 6, 8)(C_13)
   1.46144 c<=10.2301 edges 14 free 8  W=(0, 1, 2, 3, 4, 7, 8)(C_13)
   1.46143 c<=10.2300 edges 15 free 9  W=(0, 1, 2, 3, 5, 6, 9)(C_13)
   1.45852 c<=10.2096 edges 15 free 9  W=(0, 1, 2, 3, 4, 5, 9)(C_14)
   1.45849 c<=10.2095 edges 14 free 8  W=(0, 1, 2, 3, 4, 7, 9)(C_13)
   1.45420 c<=10.1794 edges 13 free 7  W=(0, 1, 2, 3, 5, 8, 10)(C_13)
   1.45334 c<=10.1733 edges 13 free 7  W=(0, 1, 2, 3, 5, 8, 9)(C_13)
   1.45257 c<=10.1680 edges 13 free 7  W=(0, 1, 2, 4, 6, 7, 8)(C_13)
   1.45002 c<=10.1502 edges 14 free 8  W=(0, 1, 2, 3, 5, 7, 9)(C_13)
   1.44688 c<=10.1282 edges 14 free 8  W=(0, 1, 2, 3, 4, 6, 9)(C_14)
   1.44537 c<=10.1176 edges 13 free 7  W=(0, 1, 2, 3, 5, 7, 8)(C_13)
   1.44296 c<=10.1007 edges 13 free 7  W=(0, 1, 2, 3, 6, 8, 10)(C_13)
   1.44238 c<=10.0966 edges 15 free 9  W=(0, 1, 2, 3, 5, 6, 7)(C_13)
   1.43946 c<=10.0762 edges 13 free 7  W=(0, 1, 2, 3, 4, 8, 9)(C_13)
   1.43756 c<=10.0630 edges 13 free 7  W=(0, 1, 3, 4, 6, 8, 11)(C_13)
   1.43695 c<=10.0587 edges 15 free 9  W=(0, 1, 2, 3, 4, 7, 10)(C_13)
   1.43305 c<=10.0313 edges 14 free 8  W=(0, 1, 2, 4, 5, 7, 8)(C_13)
   1.42857 c<=10.0000 edges 13 free 7  W=(0, 1, 2, 3, 6, 7, 9)(C_13)
   1.42790 c<=9.9953 edges 14 free 8  W=(0, 1, 2, 3, 6, 7, 10)(C_13)
   1.41936 c<=9.9355 edges 13 free 7  W=(0, 1, 3, 4, 6, 7, 9)(C_14)
   1.41745 c<=9.9221 edges 13 free 7  W=(0, 1, 2, 5, 6, 7, 10)(C_13)
   1.41356 c<=9.8949 edges 13 free 7  W=(0, 1, 2, 3, 4, 7, 9)(C_14)
   1.38929 c<=9.7250 edges 13 free 7  W=(0, 1, 2, 4, 7, 8, 10)(C_13)
n 19 classes 24
   1.52853 c<=10.6997 edges 17 free 11  W=(0, 1, 2, 3, 4, 5, 7)(C_13)
   1.52685 c<=10.6880 edges 18 free 12  W=(0, 1, 2, 3, 4, 5, 6)(C_13)
   1.49917 c<=10.4942 edges 16 free 10  W=(0, 1, 2, 3, 4, 5, 8)(C_13)
   1.49166 c<=10.4416 edges 16 free 10  W=(0, 1, 2, 3, 4, 6, 7)(C_13)
   1.48918 c<=10.4243 edges 15 free 9  W=(0, 1, 2, 3, 4, 6, 8)(C_13)
   1.48001 c<=10.3601 edges 16 free 10  W=(0, 1, 2, 3, 4, 6, 11)(C_13)
   1.47014 c<=10.2910 edges 15 free 9  W=(0, 1, 2, 3, 4, 6, 11)(C_14)
   1.46691 c<=10.2683 edges 14 free 8  W=(0, 1, 2, 3, 5, 6, 8)(C_13)
   1.46144 c<=10.2301 edges 14 free 8  W=(0, 1, 2, 3, 4, 7, 8)(C_13)
   1.45852 c<=10.2096 edges 15 free 9  W=(0, 1, 2, 3, 4, 5, 9)(C_14)
   1.45257 c<=10.1680 edges 13 free 7  W=(0, 1, 2, 4, 6, 7, 8)(C_13)
   1.44688 c<=10.1282 edges 14 free 8  W=(0, 1, 2, 3, 4, 6, 9)(C_14)
   1.44537 c<=10.1176 edges 13 free 7  W=(0, 1, 2, 3, 5, 7, 8)(C_13)
   1.44238 c<=10.0966 edges 15 free 9  W=(0, 1, 2, 3, 5, 6, 7)(C_13)
   1.43305 c<=10.0313 edges 14 free 8  W=(0, 1, 2, 4, 5, 7, 8)(C_13)
   1.41936 c<=9.9355 edges 13 free 7  W=(0, 1, 3, 4, 6, 7, 9)(C_14)
   1.41467 c<=9.9027 edges 14 free 8  W=(0, 1, 2, 3, 4, 6, 15)(C_19)
   1.41356 c<=9.8949 edges 13 free 7  W=(0, 1, 2, 3, 4, 7, 9)(C_14)
   1.41187 c<=9.8831 edges 13 free 7  W=(0, 1, 2, 3, 4, 7, 15)(C_19)
   1.38941 c<=9.7259 edges 13 free 7  W=(0, 1, 2, 3, 5, 6, 10)(C_19)
   1.38187 c<=9.6731 edges 13 free 7  W=(0, 1, 2, 3, 5, 7, 16)(C_19)
   1.37500 c<=9.6250 edges 14 free 8  W=(0, 1, 2, 3, 4, 7, 16)(C_19)
   1.25866 c<=8.8106 edges 13 free 7  W=(0, 1, 2, 3, 4, 6, 11)(C_19)
   1.21821 c<=8.5275 edges 14 free 8  W=(0, 1, 2, 3, 4, 5, 10)(C_19)
