coordinate qsharp_0 qsharp_1 lift_0 lift_1
10 -5474632690385547012661632256560431621273902870149539335 285211285366374792688503647546493249399666657826977065831725873931270608709649886923076902432244812882893352424838445317243031465332870612088646812056064562611460801822/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 1979263315126348344793725942503100575564536411256882182146438762670870073776096139892206288 -263035214530596131939442983579301225914603133136291896006331325806171809955653321176222625
11 -912275161461616479211480078662310297487262548283993960 95053380244204461494267418448129402846459930855510458593201931949382234697859187957609945008004037567678099937091813026193493288743457980216842155495230129084198193743/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
12 772754755866904456046738417843865006904300920751301991 -80516224433043224845330027691671628493873615958348918374380493256443742846662935997979216383756807600680966713534839539845779824367639618988585635272531681104846651167/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 9019671244602856933723113371307262689075978910618019761894016965369389554645799431033772511 -1198673841266093004170812961812765627922795084401640306076316570166360572267589849362973152
13 -2764363424443180824288848876651141751289286592922532986 288029422280642045144897393723660976961314418968092536642158008323799275973202083969998990811523564626344949491362018437878181609476833951989414375841579304571564893239/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
14 2580320489429261570333707782733221101603581111751126274 -268853296674953804351724885107916575372358641854449541574966246139059892814452351043782828476876345858146587123313021381795550297114238366431979136431849266606815312369/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 3056401288838624986706427132966025741681386903153391608474324211484593337564450992107242599 -406182018611271947219446275337440372334086735629299369323098571017595929385452232030921052
15 -458163240689048433204794606316431988984388386070867533 47737751251890719153742522772230093367351251994728339036578262564927811677966800572644884409088966491958356741945951844795918370450875517970602578161481659901754008975/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
16 -6800747327913781736278286364359646739018920599560194430 354297721243035580271357345777749123579227759332458298755682313483651259601978900745405936970585737606334486261903803382596029364245714952669956371382720570585036935183/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -2979004493687675174084113857633878842571420187909648482415395422239923138441530892543384267 395896331779749428503060129642861822630829816208556561693012106603436903374672730763309999
17 -1088406586338033670908028784759156811673197479088438071 113405175852569298744381134020531591000736913477575470398638601245383347113578974484876596692931318218699474157179577099669108187825069233683839092812992155329986811307/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
18 -2781648992347175502367002187868355985399680483935083033 144915235306781381161903607180958153770695721881839213546700107672460560336810734177924183746712982481952815493464265318770407517510367101212793067466413494951428126662/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -37649785858361414429308889560081695373284430476899685061809371534485492051230867640652676244 5003487623198289156975488904656167227833973923698320676562087240642756706855150756184180806
19 5395104476086503662976153273478098171173867112726165084 -562136226970196531422467427911429079275853850833223186547070868382067072520654487024981303566538923141953331700332879997066953087443675065723274441211746997294710090689/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 35982109522262639137773457820035966365606091449032081079373909391653894730685105421890922853 -4781860920232121297634337395498734532165835911987107405376191431697697408354342322742705182
20 -5037950516249681866689139138837731461342217155093850438 524923012597790180627922276282592685817979551323196049615291573586253844037980704507456735487857587711125353377951210668988864332876613605557351598320195867706636957055/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -10722753251187437928204974529767392711265657448827089847717267744960285044087876574457220427 1425005798990766301528863972262732184644293928700480329743274839829908069123595655677458629
21 598606911371067252512100753560734158528146793598204962 -31185552762502170581254383697789645069872144085098342947437200908927765032881141163417958212416086713277120808776131031270807214118131701823218347581400954345289856283/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -35090876433303576608728973138913290842486851857852272057699859509756746327937107067588042638 4663420041264914213208940127241962611756827850916306554039014371132042386206198283345269517
22 7750835366388676433016629887820891936264468473680498723 -403794344302428299031290656145302816191070433298163488958448561999423831107461844933015625045426644132394999541168888766135579244912861780980758636654094458154893187562/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -20273777122273261783658742013770383983438650830502852765484027617794925858952333869466845335 2694294020380112845551630220871998925069580259422324147395361813853859374820933267278564626
23 -7883388531262993310436275476461061333221590673647759589 821399901400768384608293310621590244712140969165511643125878649730654687738074709464672911003905787067616318028065116606372073620845737386608835189420054884560947745479/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -17336576312214631972741555336256221891035195077486324694966305237326922647703875706527556565 2303953210600645216613733738944183317803466627637338709884345323510836181063242397497365808
24 4986486508589373205601155193506962179294662243033074262 -259780392038813489064212347315196190813633742602658890216337952715762280666388008242516095078370464963924935394875901120645860296571524422617222962005903325468684260627/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 4203396580733926393449355588731694739186099081942163179633352272911659214992252802142716864 -558612546860619604839821122578838657566540990821881950053040915460839227706408384302374783
25 -1419274487257321677604307584976750686213452953005147430 147879546881475249656579075379938809539020967876257753284274237152662461836605489735015709197394937757077655136302085308741175316982200656415391826605264774314692491443/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 3014857734131036210057764649158192027472413609036004934940967144521464890707557421661931551 -400661066577572172627556332748051083413538455143031584951385747488537659767058940689843055
26 -1047914939043826104271941973596452279310361031185840083 54593099413628008470546085004804637424452178196650209014655391743047339508479149158763807182469085849029369835739827094369007451890375771596608480036123213953517326570/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -8912439903402692044626244284635624909658599863670535385527086137051977764505077540542422997 1184423277118599375658855870041180235525933116196524336762254507628747513471051383326669591
27 2389486681545848434338415355858757524583613705470749875 -124484802241870616223948175986221973612928220426445886597348499246507708465396097764896967925971280795131429147006086036932326225453728561262364868886767777057386947397/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -50765622342498032867384489433449015022129129422512383626969809944449129030728197983337816105 6746523447177508137474165897276186120926448030716726963377382663732343448032610523813225180
28 -628482608069999103601826443227294065426434027459863693 32741983364994013078183471673172936687160477840824876125631961519682026759640807251399670486151854530853196739232401958321696751289349930268844067333459210997109802815/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -14292098245169825204596328645439815140059793966205574221520293780549103197094574332127422583 1899355734671726097226712505792267626301629850271049611885794183627274088137472258395919985
29 -9641094614188387211180870246824895808502191859733913785 1004541909114948905573294660405701847047054354372947606479772125866539858790606384445174085823564777852079559703866369674258365782474667562558945490097286209036055190809/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
30 1118668237796445878904550020986609518925119614938812721 -116558251135563360873446026002538223367251262203597787834710502159722766720179991378390679980037250929319562464527462329129980515714156247647167123048856068734921873639/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
31 -8931848904761369167379579699947703987451494065105738696 465321465547642742115264851391507385840662280002654930504617818904992834111012010356230724961026250202937015011482039336714328271466033406212592646461479079216107361635/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -26336692106879264398796674772275759075796056698603759322704473176176311992577824201068637928 3500028220306312488251836528506761424163173889635827626369305163618919522092351228551570820
32 -8218853043179624424342801957788740371490698139265135946 856353210617868698200444791516865270954311068615252007473235896335445265787783594722950392839337084964664124913458050605012476705454837451371898710958589650975039434751/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -14241627643698565013103955091574194075777522190709908114642199582464152676003023978942960691 1892648418174712314652371238139026502932394037348647818127236711434857773899427193698477096
33 2646258813047385973722464498464781414500648566612897170 -275723658614324325395893496968026638681541498669690561403056209207694238139260044441292250268926133240770004706514252992509439703251924035870820084479534441708458759979/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -25186138329482784322705436945807423078916860765278654453190641826679269084960072997424881497 3347124785299155905041050855703051356717399575712296142685350914077315943569245647296940886
34 -6870884909627377624322400713525662721462845713966186385 715903340920300200282984044691982374153741374673789160862592714486062498033118174269211349144759153859489442246291320916548838800538000009193135715445799279589392937251/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -12413176927407369915111079060408651230085297936125364501740635509721272445179244290043332855 1649655521402119469360096781299874747747338535063622740118178854373024449047860044189797031
35 2543056483801236817352119636313949965947262847950527167 -264970619774370621334081357009225979229137364717137135331431020780750781137269569115532782991108988362940700039672188982223589913122152391125878195921019046749991558027/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
36 9483341849583892953294588384561616648961999602416993519 -494052527622282501024631204397610859307816093294212981930040621088211924087532414891518414327868145150114932255528020530730351887158165046236205937638457309994763348527/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -18895030766484082580363999240850273886273657277154536653233278878120189281891692725397666112 2511064815500349959037515668001341087605486844173648389759873406598966037285138393995645183
37 6493360623221378818702860785245602730153240626117406436 -676567665607516628981088545005679880429792111703883580878396603084014238840994099966007149490995428802323514880816248944588835791057322494478749721552018366010822302029/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 13360696031168729222634910380578766826814249617981626315541838388233622212465032795329375299 -1775576559206933937453535502679070373075729352887260501567794892877775207840102071875141211
38 -3083445701681105052584474688524435774885156641010827347 160637902425552123860729866039305258012748862038434595862421316260801106427816673994012446054802699618225964211349672332030934569206137197771496532526938416677128483497/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -4644223429759559629170583391643487587367974014256495439698687033093065972480191830262503369 617196457307574041761208129636742385328128007848970283469158042645974712567570121871973120
39 -9041031108378588973355717325347975802315991045190779793 471009517768477215060303963582759937614888644569712597818867223795280666758876498479795921745617684944100799031187832300661788280241047306735712745313493682373814576717/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -7478396715310822293923564196560713119474171147788605359177013452968316687859064758885383457 993845371317417092229515758128909108796513129729700217656862955533203971486780629782202444
40 7324957497898972390539568729589035184996210921291818693 -381607435855701744535945731742158458514108601403154084710598036478473449328619605621781055279986315007285606007772290897300433881989925702359982521069173018452200875452/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -8118259195465347865010631923827415374550177772279151210574481626273834222721850572148125406 1078880224159511490718456705539847990095558152773811446578833266180117164143434083015505123
41 -3675910811215493009597239545306965924135909031139572327 383006972942723811285659295302040736651764546868250548590837136652343432151108413778445525430887126347353856894633035345402262054788258254660152905595283339762255511453/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -12783052220797003050094014857854971983542861349977344414532913641666083863272877762639889203 1698810288432244874155595561681897294406621275062027054825678130016956446992768016654430598
42 2586515090540022059966010073784262644294181817416402928 -134749367731644613685774101995223045129792641298336150670773499199769520794585151555275865495912268273259787925534465382685982623510250116424149915291648994609335107959/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 9457660030437170638717290139063813695038707559045487541323452215639186761635160898777589745 -1256880585848013224168958741708210334711116262865992113663194281339375781442433950958425069
43 -13103842302590937871749363860919805558328016683579217466 682669307280418956241180995434610271520180983658584159173870295028196662385937828525849228423746573479184672521528705510661904385186483729607718284267173745567481503374/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0 0
44 11702627121170695480205710244068962555238450531294058730 -1219340734677648578044468885740300009910971332554771717031601634091174058251750012999959566443174751315904307236610578878035750451181902611903362589265489187964654609675/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -1937719760418759568145063458695266861355563117139495508613081695707741626919202569446895240 257514262496896357347553040989911936994054852650024111634618502277113540337260029835144628
45 -5573103808752595937106872486629755967973438272378637497 290341323458291529136305162775394332407539198985764632837631392512040920669904028918891723757012442678091240713788544391266598030656745909279019676112702599449752338875/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -29185200406195311003654216847381426964585976696423648987147453780301202232016876061311104531 3878582193330841662557497010003632803129324625759803978932457456519965315816236316092919253
46 -3763437842222957529494457832582747674780727603971785036 392126743502594357780363013709991899167661524707005048142224495983902297832826246566550371861813899732905452818214254839795915687947862177438160374494436268318665280065/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
47 -15181922605528721453265978407488186237039725318640032780 1581861617222297149884030693895481011825273929846137468911164451751068159220654827010695583837771607810578308634443303310882478798968006791206445379125772569387252202869/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -14508867717595072269351199183586340514637923743379677475998484444590129891362405440004864310 1928163425011512544630400601045227362174093549339298236703426288153076518272344813326195492
48 -13144275212432026738512379541539340294049644457455220685 684775735754996229341074884139184001301597681848909372737280780642045316627071437547658265818766090086251020315637824227702384515924985074050505534533682859588583672871/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -5181747387542240757030011825836418306839169199806236844181999911360784936502673027978697049 688630979672617216990565408826794961266891821477142428210078171661642708045734572489821325
49 -580288159309028305453724320512460818820317004780224260 30231202924366434378926481943917228902370998973122158415223080727025746148447922861077122548708777147002657268315441444378970501105748438594188627539446512386366314242/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 26960841232595155193606641140393399479291512039488230134818354317911816666625074027903559487 -3582974838842150496401584229367612203386010147379331213766000288335905413351318905337770934
50 -8997684331333006444303611610845185965313128732727569095 468751285902187458808483958394407529180856016677417273381866659213343057403739050083793429439362028766432270350901011861367158264596978796091542035899900740478199571801/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -2821951283770632112777751058162227611917160911226833750764546575348305180145781369270269299 375024664807732080223359202592635944754626397669326175982614741644717139939785846748419163
51 13553454427840611352994901150531004675263693396168911974 -1412185392933374189749165542117402720495583339616016352167143352172646953493337093059772109028287918566406934157777872798161013083352696287288327793337753490048989206371/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 18884315532438369573903729163250115616345928639741201798193814376866453473528013040776133452 -2509640808970031507040005433221250604768760625891968259310584815673462377972364540817195524
52 4856290078439559897506536951259203543904772396484781671 -505995128336610830725916264916405010658119615930898154826733773753737768390749609600240229994329887293555460498638551221839118527819881187562214015515625782712598455815/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -20879861759588472000336842363618039923465149383653669099359173074155117927266773937948191434 2774839949454601867831036581191007690556401355104487573794430552076325209196510908677836247
53 9449441520532159940708700496950713880641725960140164997 -492286426228819533391521227832515666116062061277517294012367366360895781493509133788337551217445565773442762117453704429476464481683795003947477749065592610209499047111/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0 0
54 1082747576640497287617498917147928449408654855126687281 -56407771173999215954524070971306776279735299417049290622676484603191282605117121673844635341706271922162029144644381200601313155168142328920313550577257844964777988146/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -3979057292747452491143054212613495202444467296682135675619541018385135442334817804090966026 528798861995048072377371497430089421941563546559412007803220925801377757268996805039570658
55 -4541877238393207749445940994507347622280727624114829449 473235271989427377062463873528614078117228828096151619721650372179478798903944914333427419366830628007948832482496837154791035750425351727847495655937150790192310308201/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -7881133222238162575470674779697282031944703176353513661845615090400592930286156702823452897 1047367246193460791282852121948152640692042724143435259914893056108586879659924254275292437
56 -2543247018219761180085931628654621440725501170726878577 132495236136029238362875703916275472466894676172577636480141026925488488181436314174466562008115967087670183803560598702767157379965241494997640337462208693561918300878/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 21847126208993242678593494652835507864341740687733532315709204373091143765083041462690952064 -2903385055107086182209562835620302252940639783203736004457816916926650771588563889118542091
57 2205451128391127566175957093055815931920502350869816524 -229794248021726890602076743670584030822626730736720122561831033196709208716424095060681076867985802715292884356514279476324966930964685447440878092116429369332733613221/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -21847126208993242678593494652835507864341740687733532315709204373091143765083041462690952064 2903385055107086182209562835620302252940639783203736004457816916926650771588563889118542091
58 -8921349855264576268706080003877294395345397171884993344 929548995640085251858790829343433571862579869454726517672594134897405515052273794064636593482214145178675826022997945963919852069781686715281615468744065934031173646583/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 6090488619632059931848493226473397297741438952443701634762539561703672584359296171272153698 -809398612310867295435496667448544290771306718527198160779639765984030373531265536578250428
59 3363098756634930485905485935012293104189132166909194860 -350413908453958722744597440648225553669362099102412734189690298402628472059196617174942535583944859658415414874240429450804796915956847951221290950250861322468857380289/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
60 -771545297131932406629927258308870034944096178987633919 40195103189266730980689395023535468168505217181548593668170053064938738595936289827314992632062489365147066540004177686608698797407941966620954211668671708172613696677/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0 0
61 -6466044175062896288192536730237370598780388879781178716 673721462133589660710071381088260918265485686097497215305651367661003855929059578240944956564806765920341585254174830299506411600034806394734432483395529713690729829469/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
62 -8723838960185993498190964198806209320893466773010763461 454484796310358582173507514543238108910943066820660505762083929616413284547952524037675512550616465847517981749548946797300318514196762697865131784567888123393545815396/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0 0
63 19410015940405800910930091644878687087948754529225655703 -2022402564127127524973022024846506706203630716769095480195680656148326580201270452694503439978513249104469248782985426451470286180689386200659732393982978198878988287889/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -16745914505861361954898819429138007313619868151284346644563069048145772343406677808579287146 2225456906565805905508111483817670840842942332537889526579693671840855063864912680985454736
64 -2675921550325239338413741124094943638302201999200984744 139407165388130517069195740332074082382259769453341981338012565122434445284153855461148428483515717742105064792305832399358827887491219068459296800129166584074963353898/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0 0
65 5486610785441008225290827683754100323310406771587146989 -285835306753783729749562691107419778015351146648089229812696085403847479781552228068270307837505983110123319861581883121584223613125655146021464354967863602205842077931/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 16417097320007354209341337513544792568495636521135017924016162599718215550029483787436617898 -2181758577818205884672981778016510745409816088516559870890893463895371137225554303906062263
66 -8268116452318259126263591469383027457550118649710184971 430743075250677623016849590915604402493816564594606942911334363017309538510665384736061067689453342436765250244900720051906102226728808877834050672924039736689545775514/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -3940924316390503947947840755652458869095701348994393553257644925386828030011964726170061958 523731160522442435513079949246725824336281626595080833253507410275676549230404173692798197
67 -9930988689432065260011691879698439573951562093765661536 517373531569727531029562836990495647671140173102754717691067922781574861871876122259228098275493335144165322002240856557586457571599469690987486661570569003853419998483/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0 0
68 -9070715928387897525238833009499717422638289418996402843 472556004290868570335346004111924125527326339334419365509178469996476123001228862611499894202360289864882708352615717202466508100268676044823079185761239328521155905958/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 4019577053045315333114001785292978400209033860078614066779163436702025453613740358020785746 -534183756344992769843575590254138271255948207770894189576274111296644656608530068121797825
69 -4732177097486440524991146174283830646438996486162053055 493063330047948414339807520795292327615088294965692045101763738893768248122786328426485879022927413773969070081674314225000166868448641981547329091831906787034827943855/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -8133842830051400855259507237821652284907252610385232506657925406331739419694021765271983001 1080951219279353440162612576445756126602044760507230042908021681989327442349160067612718233
70 785706902746996027486945974482002588703511826571582207 -40932878665494985273282598397417960497014431277508435491590762190214650829619162118456641327413688206341516003913615007755108572573361228268414236195336289698292680877/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 3940924316390503947947840755652458869095701348994393553257644925386828030011964726170061958 -523731160522442435513079949246725824336281626595080833253507410275676549230404173692798197
71 4235848279206340082071556554901962239118189911868630262 -220674481860865570299420689454431133364619018158207753654091619398777495494110005204915888354883178010224198612894861811783187619699774036371394869614571951370660625086/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -46066000089071256323042279309425463002382010148932323552549814900834387012226846935373072931 6121964734753757772872087436894059047273800930816783716479781466153641152765756555974777133
72 5438844524407488005562852668372849237187609902882632716 -283346833558049266599843132932281875938782791976408636514437877815461893598256010075713458948516196025900616709860614060348818118602638529740753600480026714861756314311/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 28081547732400038909887354365478768696834438121641018299872486646089296402539953717144251995 -3731911704568474107835563492634540000902669589528989440493192112711863335782701785510199563
73 -8548499679296001225449781333114826417456830356972108487 890700333473642329892337663419360485127034315937190401823831305908582073934961315941205710966500820384748260712150928681540991443273827357653062100515328269190021623997/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 8001924389900435949950680891946032766986331460598891275375875067191135770766696362505420499 -1063419850441026034081581469217003466391550525585915230668240722039223604742850498393882623
74 4766982097304478588732045792683838200722371698410372830 -248344896942293094565788656225090665931085204672222399448639635986784676061634274283254730676261752514648273593155120852280339501077381650533395546451884979992296777436/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -28138233771991944420934932357792657056984944175857650115666567321650223568151421734718167449 3739445024905892128213098023322012522052552514742383757383294424405000677872671142419837794
75 3581376731606125393749412719752029255253510653298533757 -373157111634707493109249520870877992036967468561571320235240386953531226359070537973340190314237014303383947571332225667268776385047733429251736815828088573689830110483/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 5021924466500062604060774404081081696703986361947597212942795494655365982387902317902486105 -667391230518497089197880169584086065358656999575397472010282265647979590541885333574448225
76 -6635011520033528445636457428372820990951394085954149062 345663402655822261003913473892540414234283330006649024072731782266101733523256119028147540449501706138203391713185910864709736040491823877355193630933241598417391710179/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 1078973004496321470972993278401237705938331709620665291104190642949008706290090104219993137 -143390671438931110077101353873441406038350810863209734603774030858283793666903161677498916
77 -508967603103508971007508106924601354945572911553535706 26515624426443787942204142304969729091573780987986352436617252417948985322877964941140277617960093950350648194523512341891433400418320028270304965013435160873038007917/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 20596477032042894211912162053564932618851988882436540454708774204886772475407313688048080226 -2737179390581520728881766189540416052901841423280584157457841222412632668860919078203814901
78 22644053374401581530192175123137353875671511680350631222 -1179684543980437833376801343899801429785176134693674514258320283309381155124624200526006095221901279995590446175810149036194878719166855590071580280416839116911943183336/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -25641020810695821744741373143648431719408885421803214732187479323613178631976449380200932351 3407576626202620117874197025623746351410740246176055057738268741410396396392167053546844291
79 9884913177177773482287240371827181630287128111157141218 -1029946282222394031771301917125205364852994870437328271459694579921060377789363836740799926403983239742403287338577014712798370993353857259767550900898464720317690610233/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 51582735803117923013811728692836817828325016358983417540615622191086745743850043107980600718 -6855114160079328561527966229355543557648635567087694996889468337217340384977786333240404005
80 21932992501468749247740399652463577362949253278528447743 -1142640490614251659201705127041348418222820064750369301653316166765572521006380730500971891190865634826140218277571308602741936502474413285728020927019719564271467777072/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0 0
81 9173672219739914577966931511044372343592812400317289939 -955839411808124480902202941077778762416223440084485561345001323231006670526639020592237240039645715768463203334837941133753251597082666784518321969894182189959435900185/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
