coordinate basis_0 basis_1
59 -575348352717163550175278356252234699422 -11325206537739818462121813331809167998315
60 -251888971049560165403123454280747570345 -97194812883007629968959700633881226596542
61 -66117482029935043225060153617294223239 57693733609760094603025809246093597240925
62 -46656938902499089519884915846809521220 -9003155429369421552985146777384774794052
63 -60761946351075494828558727941484101734 50056880798457217683751294506692623081329
64 164513763564574350920734518841219633965 -23345689150680436147517626204246443031884
65 -122387863233872391776186418366452421348 -32707285707502240938848248273575242166632
66 339154734274627905359316557489760908909 -70186434813002324521385041969129510868130
67 596348763017536843211957884559843638865 -43576674605086279643337746435009869366303
68 521340470207629319236378654698329621695 -82200471000497547052393890129546713627000
69 -4792379444746518490117823059430436645 -8883554625825060017563964386574971548432
70 68984727662069312545373793355812586833 -59207719400391464245486061464500888701185
71 -670663769011914118622642561802673306858 -24565840849684090163957679160854003569032
72 -31000035127695361746737992221464658636 -13473589463894850688236141901904659129854
73 -455816724566738437163219264190529316923 -24387210985890339913651815609737298429493
74 -222652021879087161703484896357452800618 -17174656090836408374617366852672092691139
75 247946405189736343436961457058529539474 -87897864311932028157357006395880379053279
76 -405309111485019102036972073661216760134 10458383296104062688667809782724252948059
77 970233896554698225297246452983023096400 -61404109213094969606386477739697831235345
78 -987536991454842724778483870461660598967 -59365041566457347907479061381426955880476
79 631980737484855700812505032997225971964 -21792985359096330374147645563690537885126
80 1050752758015802694812990016830484916268 -5717236010169504896946968074610971475949
81 -18481376161712286238411672600957544888 75127098990043743282948433958051767855731
82 64532488185942129581447410970719096391 -12835981766325666612966790347614606797055
83 269166540323408581126094906849522144106 -77110542018886444986360139851333465457226
84 786942474810879272250781516988634748294 47235519792693795058835373167903489526764
85 -253092062825406786037515535768446655943 -41590765392247379058523306652569947465504
86 -160028894231622134669442805624453571181 5334825723958727184030945126497263292578
87 410450651727178189130274582208378132153 17826028174129712751536164242596323028366
88 604249252740807095359384039196335632687 78418510025502270824117721190150106369293
89 -804033933873419201220447824503895288298 43483101713881266056681729179571460787840
90 874721214559042616868620539109583685800 -9382462704410197665121337544633873014610
91 -617389362210539313656364731290304203176 64381016636187118438341184521657091968528
92 235996518607270198130940036192817973320 59282181647460400765449914487979469087921
93 -565172059984068724505322472664001011710 31280424513023509388083656096158148956159
94 -72501359438030878381613992483612018214 -2002263337541633218351585103875453799272
95 -785680199445765964302471644556324895488 -21044834488106147719625241240749892922206
96 -193471932481013142141720131061413515245 -12670946138941552092178061134095215183005
97 -8267504064041424940976130389082194956 -105527940588950272011010175599798480941159
98 206009078116896115026526181696889839434 53812326443137842464353387038181359024384
99 540570570947517947736998835933390074989 -51920977980565630144122641553274322484563
100 265022461703622841151695149613302661368 -35425744855313046343886516951743100081857
101 -75708772850472712623396804004081143059 -79725556382939836362659295394472856888798
102 -601277235037418717159676485843706161894 23516912634247398271102031210685299558273
103 -236597605693875227597531408435122171709 81472289261913004012413974848678257188705
104 -443870238918587063356881021690527961965 -59050966143384622207960060822275017404284
105 -307808521106080891048884692036968366929 32633970915340816532095221257064061778219
106 -34522267154929571733335298748780332265 -80319156845417853956117342521357232415916
107 391636239773446996825529453028410731329 -51559689234465230968471475932841923221453
108 -187711272937048792183988178305476829498 49824181262039131466745335974977758737362
109 -753611953550624872606366701634458492839 43489187498763021093543284211032467209951
110 402784709765556819339554510780189525128 -69096378765264739991493118542321184864999
111 -137078240796137322753063625222117158730 -25818649739455095963148864283644759466895
112 -22540437326857264177705076713415519788 -6316505342751854248282935285466015963358
113 22540437326857264177705076713415519788 6316505342751854248282935285466015963358
114 0 0
115 -121769532986393407144866798079357314463 -3243025054131629294557885811197645601133
116 -22540437326857264177705076713415519788 -6316505342751854248282935285466015963358
117 94175120677343194781017379966546341022 -3059299955055095307222470502027073110102
118 -54220181134873141068277813429653560636 15678912533818394115915390677765757982599
119 -44239012447910887103960746592002622541 -6029444830121466344699010249409604515910
120 44239012447910887103960746592002622541 6029444830121466344699010249409604515910
121 -100070957865339784218611128200770211710 -3530085566762017198141810847254057048581
122 54220181134873141068277813429653560636 -15678912533818394115915390677765757982599
123 179980424460909241168861010435133003805 -1756464218750087477783573370811018056470
124 167565488568487934343754742379876801863 799604898207978775381373720959336944392
125 -175840271813571460690692321361108772724 -4888860410502823654961395290387350912801
126 17414502215612789535034489823477260598 6303107236011444560409984890272668909139
127 57709868832086235015419326868270262842 904352784207894189083551947588056830400
128 154094632184312586432296162103609161562 5924696944121550930996832022780884629902
129 665357035106563716907091474195132422962 28787305706469079544209390794094758611197
130 6633319077355621351444201152940128966 9936565965040053770717960078452783946058
131 -171666314918084373725820149626740343648 7154553830344268017191853726656539221691
132 -38861591942640443792446898576251010421 -17614539925904809286222495900704890475946
133 -130180468861852631434334325488690940264 -3644812594850975954900576556374299265235
134 -670286918653183700400293727649569971978 -23571759326670538992109341618668516693144
135 54220181134873141068277813429653560636 -15678912533818394115915390677765757982599
136 0 0
137 444358494942347410317210347573642584706 17031632732141385512621779112639812066112
138 -145970387789894014420586191840423700242 -16384799758896174954075112656278258895228
139 -248419805579466882726747183092376160239 -9575649761313343882595206855169298992259
140 180092151375458088589093162149919609135 -1861235335247437136905454988570661248423
141 169076547371467105057584582384195334709 6106848944215657938904447221062175253637
142 -169076547371467105057584582384195334709 -6106848944215657938904447221062175253637
143 44239012447910887103960746592002622541 6029444830121466344699010249409604515910
144 0 0
145 154094632184312586432296162103609161562 5924696944121550930996832022780884629902
146 186885123068933337723447283218829796134 -4133753924802273320954895624318395985623
147 -107981540955909979465368628873729795915 2729489547742977288484257520143348344700
148 -174025847563788280433036514480928054931 19761921623747589126916038208926757882233
149 56532222608664371455365889967489838050 -20616199602937458859033368684103094687184
150 273510793141233965025449201212209492968 5320751012169196263553088787818917081778
151 -16240039943324256455313866543034421948 5001304160858970104250615384479939383018
152 -158836017575077115876723033382626994520 -33274676651922787826890983101678017986302
153 276054545664810606253352760548760917013 2861889708090466829187002838813102150667
154 -410597816217021680650219588736805452443 15394980804943935957249206515439499857837
155 -277435549498507140297362900358531349984 -1675678966752777506918201245164632064239
156 364903169831126748647154700614246645155 13366703815816929862171049251839931154146
157 241908079764070267428914751345325658777 2399983997994224171632359198387439118356
158 -714113626364576351112030566192841643771 -18529838749989224422204376445273467807963
159 57063272231423003286324929024372244084 -32708993928919059392237058960846699688358
160 530676616276255482732274658472591582870 40477957504978930894504005528807286771632
161 -107195247312111767459794242633964305162 3086105061819313892759694778466735038823
162 72845279943391466481350903639926384470 10844202520152329594282150589966428109697
163 -111221716126410033113266558171949331745 -14180748706462658742597792424022343393536
164 154094632184312586432296162103609161562 5924696944121550930996832022780884629902
165 -231995051770184669376911829776503322764 -2942973347356526819492644301559311309018
166 -53908438188261252694365550500437876446 -42801995329140486243740419604117292708
167 -125531151748150779410833362012724921352 1606775114777094106049228611106442270464
168 635248085565087759798469319389165650486 -16447074179582865923151143661615942916967
169 427892446399827756084091702176288472143 21727542638358293618795748188919719873478
170 -244351547719445210507004149877411988746 32539235131413212974020213907657364707219
171 -222584029519182395884544155254491212643 -23572511325231839868658488583213753776865
172 61324602053410889945483713026920274695 -11732644977112398841469404297528123138752
173 -331454309125324004536648562851383869517 -36428184646475535938658165312982190664459
174 454036607209180707871637734906629798798 28072770261429173413887270183697233248621
175 216773837811404001822762626485471089809 -774975612568700720892273484626976954175
176 -114939164340852001084025778863058713830 -20385851054823829625774652908698105346949
177 488203936164022305112638765215041323496 13182197780150386238222569452408347272936
178 -291715876887585248118845516371504894948 26850467725298992430229440770054571877549
179 -829301886942752286171633838851025425007 -35726868312695902780454651168393951521055
180 347329135716906992057242372684634144616 3747987680956180430139625024821523933173
181 504700470533054391703670180237966644149 20536005548920887352870622325723473276353
182 43204577130882157536769233663929286210 -7710828254355299040105488468132921480539
183 0 0
184 56532222608664371455365889967489838050 -20616199602937458859033368684103094687184
185 0 0
186 444359275650075900733472626469266793201 11064765867373428383399569248764958738152
187 357145812276341923104594520699830130319 17970150681132082586384440227247627816498
188 690397163365069537771228839572332070493 44902822403000417146325231470262932412580
189 180146621436957869317295602452621981358 -25847183812904661110457518652911718234239
190 -118951416363794440380723175911694457846 28402990987175396717093431475210850158298
191 -32541128120256028208789569212769560921 -56323587887990811831394378022188991250786
192 73996299945745526162435917994336065070 6888135694127820210402262963477323370434
193 -67966806903954440693556016815621821376 6226381923221274475541843369848294903787
194 -39716663476822831593003006455450202561 17777377713260534466704423996808397147331
195 -133067031434482540579768723197885624954 -33316811927627242652844705715972073987967
196 121399917376777128858638339515426093977 7234235004518824246140958258464791094560
197 428716337599688572473128118571174939978 -6480903833329989190847047851005288375645
198 -287803063836476262436287215221478022917 9093378549922263656137261208103327928059
199 117124709282359172797417302767352500809 -24103996255325324589307465620918908592971
200 169076547371467105057584582384195334709 6106848944215657938904447221062175253637
201 96239800939255514487978137891363158598 13998596706368551734690177225741052769801
202 0 0
203 -107981540955909979465368628873729795915 2729489547742977288484257520143348344700
204 0 0
205 -155438349066721816196986875990575029744 4245514731402763963569549397037309286468
206 539834871615544175275165168255911765799 55467085885862240005993244752904775842657
207 -165212601185768335767784127463183443940 -20970090258770154058782700365829820373153
208 34664569665112471154117907753097377678 -7433709207180762377169648353584652156833
209 -76528628591087407394426383009532950354 -47530534854836354937371903372365596739392
210 37285372005645649080672595536308382776 -45345772852443164927082388305192942701064
211 -442231578602665070325426776976160003782 16668204685367452163941174689391350453082
212 107981540955909979465368628873729795915 -2729489547742977288484257520143348344700
213 408947491229363389491562668497509812077 12854694344972419901059298701003820347160
214 417381104852850671737789103241692584494 8051237624482650286877899761138248918517
215 -236374303900458787649591676699081320265 8343459114541674873893570161287009977505
216 -61324602053410889945483713026920274695 11732644977112398841469404297528123138752
217 61324602053410889945483713026920274695 -11732644977112398841469404297528123138752
218 -171713806089997050045948437943091777517 14824634554628524383798060202589421177648
219 232842711858969914838927831072238782684 -28478535690138339625283792121014770822375
220 64490164030787990520050854533314122862 -6819166126602582071860671575191646438063
221 -22301072958590322981402392532924286608 5623281179971824604389507359253340875927
222 -324932210491696292404262683253165227434 57428868531266657194148241445612946345753
223 -406462182633729084203599676747061664313 2974969929668324862164987231964367677362
224 -238639734451608571266354404806690359162 -5620450344745021726060430398940053501503
225 -258297130325006993589887533814416016667 47300596245186382259957204985694315229674
226 508790547546379221581412078652095681994 -32626099448941308496348246676129149210533
227 -56532222608664371455365889967489838050 20616199602937458859033368684103094687184
228 -263933447940988552202070315641920399340 -15282599865419719478982977125007253807000
229 -267250112379047897815201391997430790974 -12671845650464192375324615881873373429413
230 51169968747228363289425401833234074556 5006582552023125926077261383709700113142
231 -126895963918470005775508812077360845788 -13315000224229433520842272472494870269895
232 174063054441008885816075605142016627348 50548943441859630679637913774887651408147
233 -272873560969003356523010162430551873863 13203548289938291601557074828545096388813
234 470812976623905591408684843728683723682 79500100131725503505430097185283449089490
235 70339879883122354379282725080397051616 -28347192189551031477974355505573163766895
236 233934541679563298398787676173603483802 47218587645825027770785808734772665484270
237 277419694346152958184531257205020286797 6724914540386170665734477933528536213596
238 460767968143748804930841698589193716598 77778524160122880677178828747904544744144
239 38858515948058353274037623963244868824 36748808166511445592910930163018610035370
240 -185707323673135917962919643388902407915 -12120549724956068375926144411524916991493
241 -245536494454469551583959424450037007407 -16751347267182752987461963781698025471192
242 108863984193682129285165231361434989569 28353683273928450063760018674828873358430
243 -593247759579016794549090662819541311096 31580679873523936480631445187605140716405
244 -295608570247624890844556440950132640119 -28629090662852569490103898294097454866108
245 563589462329794032061372126168976709540 -59335449553049546792128673717466837405373
246 -116793973335702648109469102465782724799 42300527570793157372295598159730166457550
247 13427377261162454142439265994810922962 -77089367232423420295365076187077998573104
248 123146449930793261928633132296493287737 38142938045031719609202138692453034667800
249 -468566749773178663394152491947768156604 -54280891754242646664487877010402101892131
250 97978973165827267722942555227207965635 58855615052221124814367811436321657271521
251 -369983213685315004556215073797611027012 15751901696190152497594145938230183340818
252 213820709110673137182502723262468519649 13227451540756543849765720683413588950034
253 116994099913780887643235034989521579172 -1921324770952590483539480019258395803318
254 -393896248321052256519283267374438493849 40742341263945386443862249728411115121397
255 265794413210267645294742957429445767294 27460671937861822591015740958106697075566
256 288133267565890175896985257753305832049 -81092019269436179670328569650644717129725
257 -380149049193463370970109084046710326593 -6692472810956316578555193699772724390236
258 195680798891517103406746395789014853102 47159113319793128599740116741176518275330
259 -434199402639031221978493030500999084614 6446932095444006513033348864875278121798
260 160420221741021817277666304403753007295 12086535632945094041218735979254848824721
261 -461716266466739060632982089682178002853 1622022788631028632463235235575607057195
262 377216198903836805663477856101619393404 50241099173674741061578173713708693513985
263 -406962184761809082340307139211711409277 -23548330275859462434487612907324548935781
264 459678089017050434105487518931084172118 -32410153051596613894303901498141102465635
265 175476489245532350000161242459503281471 11361813105637955484099868035700696578287
266 482354305152236143083629936819530230206 36961570668565455606935109056962087627178
267 19475282882185751851726695285182771901 -25820484649185042786419280205277866343298
268 120727322157392318389633362476940668899 -37365118459025575153379201234923977641893
269 76106572787683886670325336813506805276 30964582290801238321299959275144545100498
270 -667064555058890153375872470691447546051 -66691438928333056788258219975006869913246
271 173648748892428567383952248844973693863 -11819096016515105928145904999781258437252
272 -916268199045752553614054625386533279964 42422292288520060894218784704929575481082
273 215683732311802714210159920674453708521 -18339106598657310221440364820536742918742
274 -57613021113541780511161641415343978333 -19672731433274669416610724635940811728195
275 8683906202026583384402397128566228476 -49277452097645376490494646211041942336629
276 466446942924999801426001582586366014178 -27523721522945779209200943030444032909062
277 561419275316344095242444156058709743740 -74042412734134855140162934683082570748830
278 -210854506531172986632235041200766166444 26792070698716539627833274319350802492000
279 38853924040247799598873791872287095709 -7129729980422737179823432253973579976230
280 -477770337656781937679703576911018970266 24784220572087567532201661387790852801221
281 -46147482716634476049693194150724554866 -30036419207581304515408795803589732034619
282 259778577531769405586779982878123132507 5294319028623729512163223384308938226471
283 -558776693117479510466051029430647179403 46616305711911098600528675027704870169112
284 648799345341833048715586142153069140753 -87628688149813044131069991829475548031550
285 229052793928789972410881764176006724529 37813025420097722476294773456436579565318
286 -204826488360481693500538420139602944248 8473489320865803104917602392542289100867
287 180159204176182397140853325165362281446 13276397179735723744141009286561831411281
288 -283031242802957877169476592545890841485 -659696314827746679091576616097764816547
289 314117132137637181032067952099012513991 -17020989176572935181287842882115218581243
290 664890851894914972134473199644712495729 26290925904775412152113102551575414558459
291 8531888712512144194239262412922903833 -9685619765889741827791140486536755186254
292 216182239537893862677932203053169701826 28524367199548314829824085917185787742535
293 519692324699558394158563543779096305323 -43133855942686091625850566460781485561923
294 182865880736063671349923593966646896717 -49985235360374630001368124300828308809933
295 50923869606749225407202394410255756549 11566093459849970420071403956925622227265
296 341377520452035523915886221306711012076 -31244326993348156438130419523811296158706
297 197149517259575449751332568859339823239 29864702543595869559777767792036855556377
298 437970148554626838918481665856846830948 1647865487353769902845766668286954122608
299 25996392528305725243816021295432546203 -13404370757230704440446621702625480591860
300 -377594600744313076268276878273049031690 -13716128520486114190334818510348674898996
301 433120494750513270572762437577342926759 -18895152134069681393972627337878850861972
302 566530925444771984707953807420222072838 22570701480013753702347713269116960104571
303 -296632609984486311943157542315313509710 3260484029815799296819820358153830709913
304 -538590743630596185090474281270825371870 -43304057142110693139185840733997984570459
305 -623029897500071034982928390026167704467 6740766177158212378500350841547864723153
306 661005538757436559849412069494030332791 -494702074883866298913020585394142270020
307 0 0
308 -370704199001188818082053602774788995478 55566603527506781455269009101181458721252
309 666871973259060754854737576600053393643 -1183704119439257303621396217490050730048
310 31791699504045853726951737688991472309 -23309487174200456846385446896419063544581
311 12595992139932638597213194822659688698 -36934116065690875094245976759757249455471
312 -388515540268708370247525136358750114528 1392423985765631234314733643363572098553
313 132108519474912752308639621756554804075 26579446411577847865197809824621525576016
314 530023304595563228152259891901838796809 -37116636973011269972484019408634904235252
315 -575287264981140945565675394872042484229 -2600564335185260815788640882332294792639
316 621564729839292648496890785948094814627 -65843033108013900768269355581814608870805
317 86687167532830761471548417455475953312 -55259189864188624089725129077092488374058
318 89234925673967611247260154315121550602 -47038475135200973719512356545948634397291
319 241570593383339793443417097187322588734 41401604165350165574026659366303720337296
320 24779651139937079698396688230364079181 31934997690964986104837477624367956590706
321 -289714664678125245414532922120785920936 -18833779248677636238572865614832339041394
322 43618515611904982464282066961680971759 -8922936752722381634738214893150993521477
323 461393518657293994002260232332652523812 -69103997746477016759329723125324382463283
324 122567067323461717021367783834147198715 -33753312121591245048531402718956853173670
325 246350613982825066618153458296254489128 -11536660166989056292380853370949237811381
326 -257998198328772953925798877131540144869 -33990104646225341378457784645497856847437
327 811834477080802929764888495599670172873 -63466863591982480573528685294015797443505
