coordinate basis_0 basis_1
29 -9641094614188387211180870246824895808502191859733913785 -90381972917959237248363201007233771027444391069348344501
30 1118668237796445878904550020986609518925119614938812721 9924060777408229388699542195688041108922023736397536247
31 -8931848904761369167379579699947703987451494065105738696 -78621033423235025615019010427418817057200025369806743466
32 -8218853043179624424342801957788740371490698139265135946 -112451289000203659279050798039711311657504789768067925485
33 2646258813047385973722464498464781414500648566612897170 -103705182912117232021174032131993285766512293121645815759
34 -6870884909627377624322400713525662721462845713966186385 -59657385425168082576730805735422837769469339680754769659
35 2543056483801236817352119636313949965947262847950527167 -21674748992106559852886520413066239658997217540408056905
36 9483341849583892953294588384561616648961999602416993519 -40212513219663266034126495600071080194411061501615263100
37 6493360623221378818702860785245602730153240626117406436 -15174261531814458873121784764013147793570844310873682453
38 -3083445701681105052584474688524435774885156641010827347 71546659572244857054417238350357759359274444677082279992
39 -9041031108378588973355717325347975802315991045190779793 -64019571470118821791569545178197600153827964027796732804
40 7324957497898972390539568729589035184996210921291818693 96153949916511266957809292937482333835391950770222972734
41 -3675910811215493009597239545306965924135909031139572327 24412242732374627268729178827795407635995044286643641771
42 2586515090540022059966010073784262644294181817416402928 -7710392425420906941299409120554182594219126594773272270
43 -13103842302590937871749363860919805558328016683579217466 20841216975437368276449771713089886021704155509157330192
44 11702627121170695480205710244068962555238450531294058730 10371079187632328169297482922668694618605094096754905505
45 -5573103808752595937106872486629755967973438272378637497 -74800214689668564261743870803243795210166037633329624152
46 -3763437842222957529494457832582747674780727603971785036 -25569445934905437598391438704409555976431129931162307111
47 -15181922605528721453265978407488186237039725318640032780 -10074402160732981986586100040207660881700549546293514611
48 -13144275212432026738512379541539340294049644457455220685 48844810119727173764233703371664435810831670478914885032
49 -580288159309028305453724320512460818820317004780224260 -108757746886019364803794625253266896472383187024380690676
50 -8997684331333006444303611610845185965313128732727569095 -43959626468439295689653992904390271794368687061761175168
51 13553454427840611352994901150531004675263693396168911974 64672778219618528356885553081536556114890068193863052113
52 4856290078439559897506536951259203543904772396484781671 109500117200052695607558380676826433981899197290617889771
53 9449441520532159940708700496950713880641725960140164997 19491897984548859029265942870355060037491307454090272680
54 1082747576640497287617498917147928449408654855126687281 31601568633528477189640398886741914709894785196378962554
55 -4541877238393207749445940994507347622280727624114829449 134006575221691779814848229522189903509453355601374103867
56 -2543247018219761180085931628654621440725501170726878577 46553978141210107446569633930726408832242770089858144574
57 2205451128391127566175957093055815931920502350869816524 -24491999343985874476685990754107249946212839972683589437
58 -8921349855264576268706080003877294395345397171884993344 -65876292288255628354358666476525500998823453264407773321
59 3363098756634930485905485935012293104189132166909194860 29225048271100383005137383059423711132529701277643578471
60 -771545297131932406629927258308870034944096178987633919 -25624109963168816165892385300357678950423388635168027000
61 -6466044175062896288192536730237370598780388879781178716 -66377704406435842274532426874352377114304119191876164587
62 -8723838960185993498190964198806209320893466773010763461 107834236404604855828844891359912586248199190643039490066
63 19410015940405800910930091644878687087948754529225655703 -115682739799987783619077473300494281455930268083034478591
64 -2675921550325239338413741124094943638302201999200984744 12715453989925416263786490828896767467882210082488835492
65 5486610785441008225290827683754100323310406771587146989 70374632994011478231248407428698405401125869571742228112
66 -8268116452318259126263591469383027457550118649710184971 51646431710397382602081014184303776382156614411553397642
67 -9930988689432065260011691879698439573951562093765661536 -119870477574593629882219358225770277244829257090307389210
68 -9070715928387897525238833009499717422638289418996402843 -82639146667953116704818197507836520966437012912907810622
69 -4732177097486440524991146174283830646438996486162053055 -85495916693933006763746757437732205092619525216942544275
70 785706902746996027486945974482002588703511826571582207 -13266281544677217940190430574934670636931072594998755992
71 4235848279206340082071556554901962239118189911868630262 79040246032317502458351361126773332262861582882074013720
72 5438844524407488005562852668372849237187609902882632716 122258781678380852535006291864688546511181233554221529434
73 -8548499679296001225449781333114826417456830356972108487 -36354113553029928923961311270476452845657598212070320245
74 4766982097304478588732045792683838200722371698410372830 124689284331549010850710748044071135216114001911090320908
75 3581376731606125393749412719752029255253510653298533757 63315969879744053746909283627231177495977830526165462579
76 -6635011520033528445636457428372820990951394085954149062 65749955379517593478530071192120474344429560824417075666
77 -508967603103508971007508106924601354945572911553535706 -14857571849122973358335590428498309871936295282423896562
78 22644053374401581530192175123137353875671511680350631222 -119362285235384524295978958490225530432115189053031711420
79 9884913177177773482287240371827181630287128111157141218 -4840081965120521066298373874919508614099491696475992445
80 21932992501468749247740399652463577362949253278528447743 -102079877086589807302008619391613972349778110414724898206
81 9173672219739914577966931511044372343592812400317289939 -27632109376506458630969284351412623700683577881428896511
82 1197013799471205766194238529841688397492480122062420138 -49995741279540095526547489151101999701573753330365082315
83 13791778818597273016176314283757633439655892242247259865 40461931412205373172319518289791377350183603658303401249
84 -1808332988096206661332258694012653412321242471796943039 117958309997752540949833816666800339715124375867111805355
85 -10909897251623007077666026518731190705841346594653897822 -85813642031963806570325879720541991695112596076578741769
86 3331376311368729553979656544070604172010609245774816352 13926800218767346983408359503534439272477291225425902636
87 -9463823751229876176610713837637548670009980774498851749 84589077033088039138863733168423021551456553226712096457
88 -16110794060100080976540418596887484290556467943823106679 -22971019725760562405712412906455315499054950036278831928
89 -878834720117289241494788377959719993523554631813864634 54046416159910956850637643305410753255630159551333244157
90 -8360217427552091847490598007812507957739429884134667262 -92304975240195440847278478189393254083427900754124721368
91 824071985136317381414801675725856412715457432231474829 -140056457764891877386812090603647731722566347025409080165
92 -8488347300093998314210860877190235144159408721553454787 95276825003525856311569300991458683660454044203074468714
93 -9834031212116529737435838785280042372469584199404874357 59454719266123335591625853930345088829086368135279022003
94 2591553459502998079275558676703423069245035987921560941 3600938307931566839244997759066032182106312642475551471
95 1455152723760356073513588791714600151337031825678827411 164442678340407385036446755485228558600863980270071078309
96 -13392723292601109383085679535080067162992408016479541747 -149145705302540860506977793578541903413846996057047776825
97 2777302723375758291848426733784737981757500784858517016 99859281483387001394184115772991805125224301087566238624
98 -11060463625890100457103269414163217140059174633303515669 62848217213703901756628808573735250091097585094346146651
99 -7827297140588036726747804354540978140303105455357346086 -70836708731689769525088271649762670060769715474683878397
100 -2627188386190088679948694896046471963743151657132218691 24557546102454895894433306552466371455183742787602938700
101 9674141532814641924546079126768555613381496548492176485 -59886074181154547304410597075644152448109127285773145627
102 7808688345893471721602573003751205246105688045620738365 -85220779901616288666592827553107258846302556324035043763
103 -6333135823967140753448717267683930171598501175493662506 -28361220555204671506384726652293264842774448776945106282
104 -7596614572806463964645923953772309230356203599243866299 -58685763481432953503077595957823622129132354131286453265
105 -6070096181113215425137185435757134666387356878282104674 -60221888863356165229286563521563846590685023105036047727
106 -256286591256926026333668159632939350443907001707932839 -42235714354916715389220828709864591980157789650240767103
107 5542189863763900799665086876271727997253951521711091082 20399980627748995290840294335570715525974262695376311479
108 4586397963549796441500169093154019615643928397490147374 50061180652239684379449310468500960481586253893592628774
109 13987951544875091809631123529194788883039476454874362377 -53531548391251702713032552123332390516414419083658785806
110 -22182016761171134547867799241791664139261783546015037674 -8486620417106275943295954071674852265271549589123900090
111 16499095422966664260247720254553220917711860630598003326 -12435183522600616752058940336938878527106425496723052020
112 -15791543744830726742695763846863381488021990791830920598 14488119182697074768364110192763948207875202660471579478
113 -778418658192942008392229023880883054861693051392937140 -30874523887588797937594686642560189746015333489904738620
114 -4631355273058948458695510504648017163882423792759974221 -140643068554303600456680266853085724062707790914917498528
115 -9980269255764162752003421301909530753381137038643259351 59191774567776616926145994625211760400683390547392855597
116 12186927858268956127581773413432173318653228927891584541 2379262029766552349430311617564128992123292492811099535
117 2272651079428846348565790806391733625781577041234612802 37669707251534867630176484001117903294274251140289680702
118 -4630621549219839434277009537724692271113071268164721998 24452919354371848357113837390010390192223496628702244468
119 -2427425316708034135543460222138794446603444577268377300 21092800026242433171841812880228168222096863811547926231
120 -1594248937265403332392255154158267255145565579115205564 49212805955693833590367918034525063770678265225971818323
121 22518450077626964518383308839795489790633622472006716323 -57172569781786648119891718151293108376896536607386603204
122 11521569861912950283148702130079901420269525951853567448 98044948898843071355596743612343726851066582377758010036
123 3640307367973949847041201621776476644996565757053491540 -106685811004587652704881310296050271182131006922329880085
124 -4317935311403117720124647137001838973717204479853314692 14696150090207988246342629058372855259904707893620890361
125 -5525789814371506444710714147706853975727650366102564281 -86094379536516375593656432060780894287080200258876351062
126 5038897013224063731010263717925782158758982333062691537 15510796712536233840275683964599243087472756427715349409
127 9353651735431056014046396570348896756868430809174715905 41285730132965505342749414865071238622096444299714543797
128 3692254184806261402541299429001401770154959690958191397 -76191959315701883406073226955192210356993489289756096722
129 -21572687708058984151993680956086179709010578292729215182 79291876873865192036253665099250300965664887502002104941
130 125082205003430526352414466320329980922322133627989132 -88804689935035034936304811054490748609126629069303686328
131 -2575257048408364451852391509330793602706877715325251686 -124925483990847776595057265161534046498849404806347222527
132 25886511400748010251759049207680880042824909822989981429 26373286316005594176490430703911569845376594917861690992
133 -7085812933098197713430340194982231480047574703955794190 67195106668906861354612297904440065110713414958582147719
134 -274379902453614187463068337138646059765373805637992299 -33734102849950222236122580613022212272307418399699857228
135 -16035737659436989425579765027511855561503940237345598144 18480008405604858615712332601944745503324599842338358507
136 15961938930955430874844247801871553991287827111556513793 95258799547245240688517790280165961736704993642994410482
137 2392251277973338226330295956241555475742414269821561320 60611851896444381493036336223737967255602441500233977198
138 12166538436352323870640834979635939753613395126675030788 -84744967862622733511227288410331604529487649856327527768
139 8087195080105644803268255560630044549964239288448210415 -39360376173204097720382511826721450918782334061118450505
140 2737988976703021787531430903449716915289046775058930086 -37904976978174240424222237081050787743893794582763775538
141 10643335936116064129415220798819435759674389176541712619 42230431309735735332257662831807688327026743599984010707
142 2289566565685944817698210906133226483124044545598531986 13843323095514972370563480120422248885688961460720336212
143 12677764885032941479913614266047985785834899014562998479 -145083230100231354396858823737697784585271958287350333367
144 6193923425707916093373727471869375650159553875096408376 15889839870769034385267556491364130030536723989458880426
145 -4595280951226947593856553025894098718962203107815792005 18165005148842311576971815766774698233569387882120389024
146 13976260705470237364056286122232694897893351278577622699 -5897088597778353393819534585842191883959060383684466788
147 -5237835823659625340062288845360406552498063808114224620 11036589632864643570628852262786124729474508318465290142
148 -4881284880953491695160008997306283291595053097252834075 104081190274357201375659539712858795433749418527974672271
149 15775249484685408311062305416179368082141131484828661382 -74223764631323654109130589931799516202825512880259267456
150 599640416223664797987916170043200024339502073573795111 -18609936473229466525722021787504499393947934789729918021
151 -599640416223664797987916170043200024339502073573795111 18609936473229466525722021787504499393947934789729918021
152 0 0
153 1277335716312470607851969306334025036234274203443560360 8606866008472470415749935051543048865930062548767040970
154 599640416223664797987916170043200024339502073573795111 -18609936473229466525722021787504499393947934789729918021
155 -479410801103786276367560764831157771467089702923925364 -34456362678603388652200056005678444763683294297529324895
156 473838361004174799163237982202858274565015554896039015 39919177297354658530846140145088262395679464733838384031
157 1796124015851668102411665168363903808135489385671359905 -7990478232344955106976471470087511111857442722723667643
158 -1796124015851668102411665168363903808135489385671359905 7990478232344955106976471470087511111857442722723667643
159 80852116684467303428220308013321252438286891345995566 -2012592232412041002995615265873939416160429518239209408
160 -473838361004174799163237982202858274565015554896039015 -39919177297354658530846140145088262395679464733838384031
161 -1522586111045485321579122113565121631560679318605140269 -35114522117030338647411640180809756148222142959044223595
162 -160918712537929327150556889062541311030954427400380239 -4546374271402076479117129320050128917143267487197820011
163 1722882322018825866921814099826383943025759225309394689 -11392810530988399048397693026449119676105389122777989902
164 594067976124053320783593387414900527437427925545908762 -13147121854478196647075937648094681761951764353420858885
165 1924317646322983684360041812189291520599041692167816669 11811666253841016651674461108947344310502662886657186710
166 -3881360374712581113922263869615736639765485505239556813 -8367562292898138023815118958909962115788487651131339078
167 1196146889280359812218268469539079120638799615006390973 7555062119413847891947426879916282952221610243674048996
168 -3257233377765659473021563766639727475734155017682511257 21935321441966826713477515111180120731507647362612957913
169 3490701155557196657217694740956236407763348979588796672 40729720329802529091083774557926401531040759617030450174
170 1663961062092693574282195379695032494225737652772528735 -26404660315647732678935182319217465086250233764703201801
171 3506517645873835677023059629169316845071233209165882932 7221702953806853545600651789830661087712457395235356387
172 -454324132871148597944635823756077171194173231147633439 12849298204162042033916077826415590793523518688822656681
173 -473838361004174799163237982202858274565015554896039015 -39919177297354658530846140145088262395679464733838384031
174 0 0
175 -4372985493513536646758628740667059768089970821233821601 -41405047594594120145377707810727634841924229323767421035
176 -1117015640861259215193953740446636573799750105610236610 -5918212479818062171090824503594232577963765502939442954
177 166888074709337804318878058464117637678291801052143912 11832552399524049373247174728357699288614906845129244395
178 3126392376642457391548652340620336486620654345586480595 6964340908521873460772910467325025411699012370517225465
179 1386113522465791278374718060865168572052278103180032975 17515265210933256429831375721267119488732164767911019648
180 -1386113522465791278374718060865168572052278103180032975 -17515265210933256429831375721267119488732164767911019648
181 -1796124015851668102411665168363903808135489385671359905 7990478232344955106976471470087511111857442722723667643
182 0 0
183 -3881360374712581113922263869615736639765485505239556813 -8367562292898138023815118958909962115788487651131339078
184 1951648275345565578485314334750010050798319823945406343 -26321931103393420605903472267344575148953692126812363409
185 -1337960775162619669206870562047471819151100999600492372 6357726994962708131893245414448383733941105041244417746
186 -2642848107748798386794644336122312307797407680013259584 31152057658907156403196068824135150360327000967225896061
187 614568225333858871744790802556298537108181924192399056 -8108844752235559736061009579090559461691223867257007352
188 -6097819301309606570783840419238361912710482886717754411 -56679634661521805391104379391240118648968039901732167436
189 -5646851347623426880443275505171326356039705873888687337 -19462363488962021343292874916648239992653905820623899121
190 5926345802873395880874053419034616214055146860576019445 -83593883194262238407897005098172224438064394770918902273
191 5051673282686493741438403313669113424090266295413654424 43299293584308492501561258511952132670092978310290131431
192 -15442666160177253534158480619560686411844356117704990 85199727622699980625262351642969994084963938480754974580
193 -2002587857738332594328545791657115955604160307765030100 21956202400721926828824228821892183272594248858744085897
194 1236948364839463128384144228804524466684500976739673585 -15458046368448215711832548271771021337242372014695431785
195 3585945785434610882477539275115913751897944218082470067 -22831487710163938028541450851664978780454789433654405748
196 -3052975036716548055381306861245732880085111389943428182 49765319051748111157166423281097815272311411800260857934
197 6467086752680471401254997944733573149710934273151706041 -83250647722063215800124153656689589074141043575694681110
198 3268511540786855999019237905092290838968611819305069371 70652267223852438910343475406590937681739285608046048534
199 -4196619138238809467999710140158728082987166637679876179 6705801461318549406925377399862259773617137298930516534
200 -7709885867105236966320777214884153025649766871494467003 -66449407706905609290423830484145265620075685889389448776
201 6252113331221155462291187639831130510226896887481584520 -31915429806313656831800912303022251460261327343339742485
202 -3881360374712581113922263869615736639765485505239556813 -8367562292898138023815118958909962115788487651131339078
203 -1193883270324700372369238042830182424229459026668025794 1186956783458897784261804940031614326589554392394616173
204 -545292824296247695377645358708422975300618037833716014 36328721093055962067634724514905506195172257501100738048
205 3156097855679276260449563568463778002773525369170675156 -14742036125538288675435694470372236200465370094398144885
206 -9667866752606925733949824801868136699975384880919027330 -93559103461428407190321709105407177726914309685163906372
207 -3151608731402550899043844925194465820104026356629923141 -55436085014291676761666316269211786798545127506037043370
208 38463026991768933407701095485154378497800501693384680 51975753406241763322721654617352882407220558124281105626
209 -2558620449262523511693583975144266146664788156222764710 -12207255850715980125513178737357428462588727497536319789
210 -2762692136916135235017713848629127120840365890300744092 1556498484510091364884423236778078993133536085266197169
211 3580843258079644433231038998684126309730063708764201708 86506302011601327428971359687996089447104134224242121913
212 -7265942536964005413654519894640912503422251749949965441 74984735828209136736876796878198507396449782917449803979
213 273573693598714325622611739252443040459227174923903902 -47491922747071557095271040935358672140653388788958725009
214 7847723661376826487293488311873955886096591673618714663 -13149415474755933197004304694600006478107413917281736952
215 3226094729341880075344746919558644137941474987608944515 -3068366279746713507437371319762750762073601736842773853
216 1487919510826725302096423710233048188505515359100741767 63604505724576972198348921953299915911215543833324596048
217 2811898055170824516685421483870637306222076971239723858 29500279407484166871377390483453651936505777111887288610
218 3604276199850748769580502529872348359185301265127138536 -60934569203305662256960333256606103933938743398658186916
219 -5721624560463103757903480836178686037393705495977210712 572787008567896030719112178087600233315728060852893316
220 -2214117215180840912337172261958026189133391797302486635 -29368252994943275561787674891146168318646312336444589848
221 0 0
222 614568225333858871744790802556298537108181924192399056 -8108844752235559736061009579090559461691223867257007352
223 0 0
224 -2399801190771069686675083804801233808335910259607487416 -28829165871351600810060941535644796500113532731367997261
225 -8240701358721028091946915237729443614894305973603494360 -5274036532386799444143381953484106227121278493373187458
226 -9698550968046742360082679218335998006121834538493567907 -41152283557230266990583765464267855018177560179826409656
227 7799902514359776687972680397653884035314629708313444359 -4289883520154925816666621215691535723240572275931651837
228 -228200342701214861920979993805595642940178961656627116 102471311867015494922121436888187943800981499264287405869
229 -5397453593686374253591721288021991204127458832245049485 2923891737437236301965057708023016013009790042594434328
230 -8318575556711524096352439598156192526550990652479064378 -308382471753096625992356148902518676259168921486411560
231 1013821682179515549231966975076719704741526865694642583 10173851039308581288868178127856242851154377104998911517
232 -1841979497437308048569659997597412091644337990789474216 56258564634370287608767423612082936095929119247588956017
233 -5184146100908268942022668024555540490250266413020867395 -33541323365862414193651804983560697649288922227138217838
234 -9299655381210163025814631463089055966991585577874532641 6777130992202298464573110326716230077030050717386265634
235 12751180755713058706548409200810251828649443087654586385 19424562086553792005641236356364351157468345367028032943
236 -2258724391087954409521484322618968047600295866647171483 43615332733420568943179445730110677717293926633591678134
237 -3039129587544861140607507529447698595606263690142777287 -35038672186149515415686917577590194277781486669814311706
238 1386113522465791278374718060865168572052278103180032975 17515265210933256429831375721267119488732164767911019648
239 3564227979926977146948845991831280960469808216780033600 24283756565417963938875946911853254487033339392110857303
240 -1976985234169139207530767874147124532136854063729161885 -11709783060167126575306007338156591643797536509732558823
241 0 0
242 -1337960775162619669206870562047471819151100999600492372 6357726994962708131893245414448383733941105041244417746
243 0 0
244 -6424416858513817931274383505929686605712748353190083980 13307186699208421829071401454156277543208729889276717827
245 247464867944374065444444335459904743628689233089223076 19605003324241703741079528917812893478574645307516764106
246 -3584409914901318657183004975346299006588807312998622960 -85339938155893548540482580261142552067092659759095278175
247 2149652195006313384950045886021393741825776218958585389 8950078700346308321189930534991724773388584333739240243
248 2409811516034614011690108941066442039782708210016273876 -27954682340775667580986698322983702526870029808291613306
249 4976066668988759817293984695692295461959657563393997213 -73521827068866480115964947622480499987388055793503459014
250 2255691712992020803758521449268509156790753108289990552 -26208283959682243366786352635399622656158078632168646168
251 -1130364723773582576492637134023104563022321765689413029 24407993110976492310654991359743326431892798547164835903
252 1337960775162619669206870562047471819151100999600492372 -6357726994962708131893245414448383733941105041244417746
253 -9998789431146045140039638594241444533416241441798208068 52230547556672666074725875340457715687867071948740078831
254 2631075389072338840964678231786348499450212572699284496 -16865424288272441416156980788261167730359458481244199026
255 2289500562214752682015906910759582187709751632332553550 -10288560467541437404879197193492479694015752221969399245
256 -2762692136916135235017713848629127120840365890300744092 1556498484510091364884423236778078993133536085266197169
257 -1554441521410764715886615551363155496124210200924821513 62962390204026255197981199390132853294315241833807272740
258 430038037670008389074644625361751440729928856210148076 -32257575667447205336832843252705513389980833773331938843
259 -1840693994574469757993470418517742874167247414783416781 -97489798414228446226339198965553559886242821357924922569
260 -4013841143191512520242820730834676859759769605375073912 16881934814760365983950594199281685140822968811514378719
261 2749297906053651893085130674431914852052709129897444829 37686511929757549869752416284043483716376721323316410584
262 3190108763340712895379875766317628775540409896525026680 -27103317944276699224465208010024485801913350079814409293
263 -7214052616000238119077148612068499498427125165933763451 -50351097787047574016186444022294856501808987186079170156
264 6227905855365050786780197116893089430728353644620406835 86934179873363099901609080831671155126442450288820616010
265 2427768516662804081204313436975752297409111303825881415 -12173952650493191188884111513441361941228847159495955016
266 -614568225333858871744790802556298537108181924192399056 8108844752235559736061009579090559461691223867257007352
267 933042082559117105312782942015124803344015337990111001 -85306746058745899248757055812786311960546456023448693188
268 -4955275987499932061655874759645137091847546839575370768 -33850344402776309437219119626787259470575471043549748831
269 4335773277058909553578773250140150995413904395767667519 49907866528586780104768332212210933437456728027278884303
270 1976985234169139207530767874147124532136854063729161885 11709783060167126575306007338156591643797536509732558823
271 26277575311282425100501666614531930014550500903994146 -69053621450271988411854232720705344790372392364236902362
272 -5234784277165230946300019129180579812747664822119211752 30649924247277123701300019792758938031793060358641639448
273 -323969169090069345297978405564594508582868476766417573 5813623915049132410549534518166483145251785392170733235
274 2887899577995376179109032053135367305879852050930811176 91727724965554346071042985065993452788109168011402404373
275 2546010696992285935915144606913950256691524784591772763 -45160834056764863296590566855086597291012945843610891120
276 -8961684812638466467407427683674437422814438030578303546 -67869823000014749083435990021956942606922453861395444042
277 -9929280513842829252788032116822638576563640854460345727 7015567088175690872471583186220084875290661750586576337
278 1877918225624729785381454058047882137005004793946182182 11810711602221134790995780279112109452914971504304083634
279 -1224372723226712413531785228907132290364142282101078831 -42859179436442618419296194732111844490067197213081631189
280 -11886376811147969807138083042725265937996480583174303630 29577266409619509584488078966765287175242582025722497174
281 -723866231322898563170654105282046859260028699995236497 20339342616521511792449450289487114564191139887161064252
282 -7448672097676683682316890895777366710415407557989162069 101369365437628222579490722376598325366507153802585071652
283 2212859187972811537956191254618863402895241015952023912 -49876019011155153022561009973480364792563290335734813919
284 8149624830446820807137415171468146334285392556167120406 -34025399383769885196834582304872471616381562425681010540
285 -5380615048439599383742135810164241354975903991369326520 33550224282473210495628890026688895023743101760139840244
286 -3022170297270701265129010528441613741468219782356269439 -6562890418321853014190423321260826252504266518346813468
287 606521114621629968590842844373459479689836653829158808 27530470152525219687165472692819191394587197408571085742
288 -5346990203153766358247964252385034923716764621421164497 -97426533659047203076948919414925731585569003151471975674
289 -6341324798492419403246307170702687554293515561827071570 51461694020616323817484894603428315121380251860483322611
290 9276542234472064334716640135431819937956372136504514370 -92134872286572264811091679956381992111457428390826075184
291 -4919066311466560700546369302707853199369846411231463727 30195646395601574604757996392193494718168453796870145440
292 8266762288610354781125994300971649001406430226547050577 -20539787889380144742269587368149914777431514914190812896
293 -3847772621648713870478186159885391794200770008018915717 66646671701199871148301752277370873619264343186570440315
294 6921730110052852165731686235453069163917204739192556083 -2232835223522105529665322442409327648496078040202662057
295 699351281471226642720364334877023383687816296862449945 -13295005804783848890436894411150321914948889212471889959
296 7818227929720136209368377153412579843217112652850611672 72999287568830339518584647101592961008788623543251498902
297 1589305747037348369018686250755689446579799018856984729 59586542891589823022309547021716348190996189751184218772
298 -2981153025800313153904340988698405807527553020749448700 11201086953667884870423477688465479264311307766165111185
299 -3706318361169673474522204129802459812255764350723608621 29267848428405982533658487992424002760050523193339304013
300 -3731118151418686252721366739078684001603052189233897062 -133953348322416065085060988544251721506995688957559575519
301 13786814235419280553351682973762348171443995679677475257 -18223786157644985897662383072819559127639423757066755679
302 2419319945494331418834356964668457274153035748476896549 124829096131876071338554831040550977498382408111606927539
303 452311287673631802636968725777478509796674593712488326 -67924271787683717630556877278432122524901419749541629718
304 -3581075965462690897222104512584263805208678710191973348 -31516064013855422744759843933345923445539399101152018892
305 -1363945292259317357463099911539391153122264392387003182 -22216360245023526261380361109926395410319656928737996235
306 1976985234169139207530767874147124532136854063729161885 11709783060167126575306007338156591643797536509732558823
307 7415212284380468634340277773981842655019453750995080916 74744936749464251248519118057309051900081451697228009233
308 -5217490851257738230723116833796465750539743090361503858 14346232526607160550437986795850264385696075436144255026
309 -742460079455571887211440182399514468385871195873767961 -53574257107849237297841718027850485891938668271596478244
310 3495188778632412351809975260981849381185054494281239164 -122643656564056164667739432852108184625098476110049201358
311 3252645856110180879200036551899729684063628738385539793 22410637182929082723916581090819541673549433982841106219
312 7346491628174594836089829524846647645973290988499841027 -51288446421844007776599809272421662940265317608418071671
313 -7830698457692499003378399373612429191508075245709159700 -41620003877519680189278984636545100335438251861125737090
314 -3203415803583371204182130719799524178674510439586936525 -118023570782861760979530902324215671730614439475293815245
315 1359883335261788195701951356733185772735299898469061119 -34727382157990936030999877228178303776463217427504659981
316 -8589439793593090994963943838252029290706817082131685389 42217838988423461881153796658577479712449269190998202583
317 6554130225819524336624705159492747295443115667423989913 20347615922024313180494024171874293084517429158352162611
318 -2813277158124382076320144451530394781082107718339904536 24723376326685655721095147844861446764980130759642136971
319 -5166470275010268543743917522629238978207418492832079096 11757881753070362617785419152436592371141603302883322741
320 1865046024221057846228011358497982318458132683383768752 38361836393655843209611952822096256980083273219329141349
321 3556204949375722964999251789645532932641689306067944095 76987140471281239799175018860593068554598959344257759852
322 9620348966358047772579080754491245366345389508902016165 75989139991598005910610812248874284611082352802877022318
323 3037157465319537114236693925518824738555621281698704504 22666627813858724222711549967453577714472686858333963977
324 -4300797016236767605581344825413620161655919227095279660 -79346042116177637869487821894705773788393667846878929640
325 -9117064140325487964049748494425630867125663637749670266 36513227717291540850128745724933590219892674465582892473
326 3674685655331889926747307089924003064850329893940623227 -126238478487252606930757694755872170290601332022078704889
327 753095072166111713246797529662585452344833037089084157 32329056113550928008694113849355893040791990075889919340
328 1977541232285920118461306932066587959211101826985699914 28432450368670410117083549234854539149762778855048496193
329 9489907662300376555256004197414940115894942009182668867 84769813326072224028873927876613449745927530941309756005
330 -5142457132591391838247222523441063257636969440252635875 32810660930282349874391733185532326113266669675746496778
331 2519014496610303906143167168980428884615612415910043068 45229578296100791495401490577438251543657586981919551327
