propagation: surviving windows ['bbb', 'bbc', 'bcb', 'bcc', 'cbb', 'ccb', 'ccc', 'BBB', 'BBC', 'BCB', 'BCC', 'CBB', 'CCB', 'CCC']
phi0 {'a': 'abb', 'b': 'bcaa', 'c': 'babb'} m 2 r 2 mask bcBC windows alive 14 slots 46656
phase 1 it 17 obj 0.178120 cols 19522 pairs 4239 min rc -1.806 LB -14.43 best -2.987 {2: -0.0337, 3: inf, 4: -1.8061} added 444 t 122.3 tm 98.0  dartLB -2.987
phase 1 it 18 obj 0.107002 cols 20003 pairs 4240 min rc -1.617 LB -12.91 best -2.775 {2: 0.0, 3: inf, 4: -1.6167} added 481 t 136.5 tm 110.6  dartLB -2.775
phase 1 it 19 obj 0.082440 cols 20380 pairs 4242 min rc -1.5 LB -11.98 best -2.267 {2: 0.0, 3: inf, 4: -1.4995} added 377 t 150.5 tm 123.3  dartLB -2.267
phase 1 it 20 obj 0.037750 cols 20729 pairs 4242 min rc -1.97 LB -15.76 best -2.267 {2: 0.0, 3: inf, 4: -1.9698} added 349 t 162.6 tm 134.0  dartLB -2.963
phase 1 it 21 obj 0.019211 cols 20966 pairs 4250 min rc -1.228 LB -9.818 best -1.737 {2: 0.0, 3: inf, 4: -1.2281} added 237 t 176.5 tm 146.4  dartLB -1.737
phase 1 it 22 obj 0.007155 cols 21148 pairs 4250 min rc -0.6806 LB -5.44 best -1.021 {2: 0.0, 3: inf, 4: -0.6806} added 182 t 189.3 tm 157.8  dartLB -1.021
phase 1 it 23 obj 0.000000 cols 21258 pairs 4250 min rc -0.6045 LB -4.836 best -0.7984 {2: 0.0, 3: inf, 4: -0.6045} added 110 t 201.4 tm 168.6  dartLB -0.7984
phase 2 it 1 obj -1.500000 cols 22079 pairs 4264 min rc -287.3 LB -2300 best -534.3 {2: -33.8111, 3: inf, 4: -287.3228} added 821 t 205.5 tm 170.9  dartLB -534.3
phase 2 it 2 obj -1.500000 cols 22773 pairs 4274 min rc -268.2 LB -2147 best -534.3 {2: -0.0, 3: inf, 4: -268.2334} added 694 t 209.2 tm 173.2  dartLB -626.1
phase 2 it 3 obj -1.500000 cols 23381 pairs 4277 min rc -269.5 LB -2158 best -534.3 {2: -12.3612, 3: inf, 4: -269.5167} added 608 t 213.1 tm 175.6  dartLB -719.7
phase 2 it 4 obj -1.500000 cols 23836 pairs 4281 min rc -101.6 LB -813.9 best -80.74 {2: -0.0, 3: inf, 4: -101.5541} added 455 t 217.1 tm 178.1  dartLB -80.74
phase 2 it 5 obj -1.500000 cols 24431 pairs 4283 min rc -84.57 LB -678.1 best -80.74 {2: -0.0, 3: inf, 4: -84.569} added 595 t 221.3 tm 180.7  dartLB -138.5
phase 2 it 6 obj -1.500000 cols 24953 pairs 4284 min rc -31.48 LB -253.4 best -48.25 {2: -0.0, 3: inf, 4: -31.4827} added 522 t 225.2 tm 183.2  dartLB -48.25
phase 2 it 7 obj -1.500000 cols 25400 pairs 4285 min rc -33.25 LB -267.5 best -48.25 {2: -0.0, 3: inf, 4: -33.2471} added 447 t 228.9 tm 185.4  dartLB -58.99
phase 2 it 8 obj -1.500000 cols 25747 pairs 4286 min rc -18.7 LB -151.1 best -42.01 {2: -0.0, 3: inf, 4: -18.7033} added 347 t 232.8 tm 187.8  dartLB -42.01
phase 2 it 9 obj -1.500000 cols 26120 pairs 4286 min rc -20.46 LB -165.2 best -41.05 {2: -0.0, 3: inf, 4: -20.4602} added 373 t 236.2 tm 190.0  dartLB -41.05
phase 2 it 10 obj -1.500000 cols 26609 pairs 4289 min rc -52.05 LB -417.9 best -41.05 {2: -0.0, 3: inf, 4: -52.0473} added 489 t 239.8 tm 192.4  dartLB -73.16
phase 2 it 11 obj -1.500000 cols 26970 pairs 4290 min rc -39.52 LB -317.7 best -41.05 {2: -13.6716, 3: inf, 4: -39.5198} added 361 t 243.4 tm 194.6  dartLB -63.43
phase 2 it 12 obj -1.500000 cols 27302 pairs 4290 min rc -13.46 LB -109.2 best -24.21 {2: -0.0, 3: inf, 4: -13.4587} added 332 t 247.1 tm 197.1  dartLB -24.21
phase 2 it 13 obj -1.500000 cols 27646 pairs 4290 min rc -9.681 LB -78.95 best -18.7 {2: -0.0, 3: inf, 4: -9.681} added 344 t 250.6 tm 199.3  dartLB -18.7
phase 2 it 14 obj -1.500000 cols 28076 pairs 4293 min rc -74.89 LB -600.6 best -18.7 {2: -0.2287, 3: inf, 4: -74.8902} added 430 t 254.1 tm 201.7  dartLB -139.8
phase 2 it 15 obj -1.500000 cols 28346 pairs 4293 min rc -109.7 LB -879.5 best -18.7 {2: -0.0, 3: inf, 4: -109.7439} added 270 t 257.7 tm 204.1  dartLB -171.5
phase 2 it 16 obj -1.500000 cols 28606 pairs 4293 min rc -64.08 LB -514.2 best -18.7 {2: -0.0, 3: inf, 4: -64.0823} added 260 t 261.1 tm 206.3  dartLB -67.47
phase 2 it 17 obj -1.500000 cols 28837 pairs 4294 min rc -44.68 LB -358.9 best -18.7 {2: -0.0, 3: inf, 4: -44.6774} added 231 t 264.5 tm 208.7  dartLB -46.14
phase 2 it 18 obj -1.500000 cols 29132 pairs 4295 min rc -60.74 LB -487.4 best -18.7 {2: -0.0, 3: inf, 4: -60.7404} added 295 t 268.1 tm 210.9  dartLB -67.88
phase 2 it 19 obj -1.500000 cols 29416 pairs 4295 min rc -17.74 LB -143.5 best -18.7 {2: -0.0, 3: inf, 4: -17.7438} added 284 t 271.7 tm 213.3  dartLB -19.96
phase 2 it 20 obj -1.500000 cols 29671 pairs 4295 min rc -34.8 LB -279.9 best -18.7 {2: -0.0, 3: inf, 4: -34.8002} added 255 t 275.2 tm 215.5  dartLB -36.13
phase 2 it 21 obj -1.500000 cols 29862 pairs 4295 min rc -17.83 LB -144.2 best -18.7 {2: -0.0, 3: inf, 4: -17.8318} added 191 t 278.9 tm 218.0  dartLB -21.56
phase 2 it 22 obj -1.500000 cols 30119 pairs 4295 min rc -20.34 LB -164.2 best -18.7 {2: -0.0, 3: inf, 4: -20.3366} added 257 t 282.6 tm 220.5  dartLB -36.6
phase 2 it 23 obj -1.500000 cols 30362 pairs 4295 min rc -89.55 LB -717.9 best -18.7 {2: -0.0, 3: inf, 4: -89.5473} added 243 t 286.2 tm 222.9  dartLB -113.4
phase 2 it 24 obj -1.500000 cols 30498 pairs 4295 min rc -31.68 LB -255 best -18.7 {2: -0.0, 3: inf, 4: -31.6813} added 136 t 289.8 tm 225.3  dartLB -36.77
phase 2 it 25 obj -1.500000 cols 30666 pairs 4295 min rc -12.06 LB -97.98 best -17.6 {2: -0.0, 3: inf, 4: -12.0605} added 168 t 293.7 tm 227.9  dartLB -17.6
phase 2 it 26 obj -1.500000 cols 30779 pairs 4295 min rc -14.61 LB -118.4 best -17.6 {2: -0.0, 3: inf, 4: -14.6087} added 113 t 297.8 tm 230.7  dartLB -25.96
phase 2 it 27 obj -1.500000 cols 30865 pairs 4295 min rc -4.031 LB -33.75 best -5.998 {2: -0.0, 3: inf, 4: -4.0314} added 86 t 301.6 tm 233.3  dartLB -5.998
phase 2 it 28 obj -1.500000 cols 30980 pairs 4295 min rc -3.152 LB -26.72 best -5.352 {2: -0.0, 3: inf, 4: -3.1524} added 115 t 305.1 tm 235.6  dartLB -5.352
phase 2 it 29 obj -1.500000 cols 31029 pairs 4295 min rc -3.152 LB -26.72 best -4.262 {2: -0.0, 3: inf, 4: -3.1524} added 49 t 308.9 tm 238.0  dartLB -4.262
phase 2 it 30 obj -1.500000 cols 31056 pairs 4295 min rc -1.66 LB -14.78 best -3.182 {2: -0.0, 3: inf, 4: -1.6596} added 27 t 312.4 tm 240.4  dartLB -3.182
phase 2 it 31 obj -1.500000 cols 31065 pairs 4295 min rc -1.66 LB -14.78 best -2.98 {2: -0.0, 3: inf, 4: -1.6596} added 9 t 316.0 tm 242.8  dartLB -2.98
phase 2 it 32 obj -1.500000 cols 31071 pairs 4295 min rc -1.476 LB -13.31 best -2.673 {2: -0.0, 3: inf, 4: -1.4763} added 6 t 319.5 tm 245.0  dartLB -2.673
phase 2 it 33 obj -1.500000 cols 31074 pairs 4295 min rc -0.1933 LB -3.047 best -1.629 {2: -0.0, 3: inf, 4: -0.1933} added 3 t 322.8 tm 247.3  dartLB -1.629
phase 2 it 34 obj -1.500000 cols 31077 pairs 4295 min rc -0.1284 LB -2.527 best -1.596 {2: -0.0, 3: inf, 4: -0.1284} added 3 t 326.5 tm 249.7  dartLB -1.596
phase 2 it 35 obj -1.500000 cols 31079 pairs 4295 min rc -0.1284 LB -2.527 best -1.596 {2: -0.0, 3: inf, 4: -0.1284} added 2 t 330.4 tm 252.2  dartLB -1.596
phase 2 it 36 obj -1.500000 cols 31081 pairs 4295 min rc -0.1284 LB -2.527 best -1.596 {2: -0.0, 3: inf, 4: -0.1284} added 2 t 334.0 tm 254.6  dartLB -1.596
phase 2 it 37 obj -1.500000 cols 31083 pairs 4295 min rc -0.4511 LB -5.109 best -1.596 {2: -0.0, 3: inf, 4: -0.4511} added 2 t 337.7 tm 257.1  dartLB -1.838
phase 2 it 38 obj -1.500000 cols 31084 pairs 4295 min rc -1.48e-09 LB -1.5 best -1.5 {2: -0.0, 3: inf, 4: -0.0} added 1 t 341.0 tm 259.3  dartLB -1.5
phase 2 it 39 obj -1.500000 cols 31084 pairs 4295 min rc -9.538e-10 LB -1.5 best -1.5 {2: -0.0, 3: inf, 4: -0.0} added 0 t 344.4 tm 261.4  dartLB -1.5
RESULT -1.5000000000048046
window flow {'bbc': 0.125, 'bcb': 0.069016, 'bcc': 0.055984, 'cbb': 0.125, 'ccb': 0.055984, 'ccc': 0.069016, 'BBC': 0.125, 'BCB': 0.071724, 'BCC': 0.053276, 'CBB': 0.125, 'CCB': 0.053276, 'CCC': 0.071724}
