0 (((1, 1),), ((0, 1),), ((1, 1),), ((0, 1),))
125 (((2, -1),), ((0, 1),), ((2, -1),), ((3, 1),))
126 (((2, -1),), ((0, 1),), ((2, -1),), ((1, -1),))
127 (((2, -1),), ((0, 1),), ((2, -1),), ((2, -1),))
128 (((2, -1),), ((0, 1),), ((2, -1),), ((3, -1),))
129 (((2, -1),), ((1, 1),), ((2, -1),), ((0, 1),))
130 (((2, -1),), ((1, 1),), ((2, -1),), ((1, 1),))
131 (((2, -1),), ((1, 1),), ((2, -1),), ((2, 1),))
132 (((2, -1),), ((1, 1),), ((2, -1),), ((3, 1),))
133 (((2, -1),), ((1, 1),), ((2, -1),), ((0, -1),))
134 (((2, -1),), ((1, 1),), ((2, -1),), ((2, -1),))
135 (((2, -1),), ((1, 1),), ((2, -1),), ((3, -1),))
136 (((2, -1),), ((2, 1),), ((2, -1),), ((0, 1),))
137 (((2, -1),), ((2, 1),), ((2, -1),), ((1, 1),))
138 (((2, -1),), ((2, 1),), ((2, -1),), ((2, 1),))
139 (((2, -1),), ((2, 1),), ((2, -1),), ((3, 1),))
140 (((2, -1),), ((2, 1),), ((2, -1),), ((0, -1),))
141 (((2, -1),), ((2, 1),), ((2, -1),), ((1, -1),))
142 (((2, -1),), ((2, 1),), ((2, -1),), ((3, -1),))
143 (((2, -1),), ((3, 1),), ((2, -1),), ((0, 1),))
144 (((2, -1),), ((3, 1),), ((2, -1),), ((1, 1),))
145 (((2, -1),), ((3, 1),), ((2, -1),), ((2, 1),))
146 (((2, -1),), ((3, 1),), ((2, -1),), ((3, 1),))
147 (((2, -1),), ((3, 1),), ((2, -1),), ((0, -1),))
148 (((2, -1),), ((3, 1),), ((2, -1),), ((1, -1),))
149 (((2, -1),), ((3, 1),), ((2, -1),), ((2, -1),))
150 (((2, -1),), ((0, -1),), ((1, 1),), ((0, -1),))
151 (((2, -1),), ((0, -1),), ((1, -1),), ((0, -1),))
152 (((2, -1),), ((0, -1),), ((2, -1),), ((1, 1),))
153 (((2, -1),), ((0, -1),), ((2, -1),), ((2, 1),))
154 (((2, -1),), ((0, -1),), ((2, -1),), ((3, 1),))
155 (((2, -1),), ((0, -1),), ((2, -1),), ((0, -1),))
156 (((2, -1),), ((0, -1),), ((2, -1),), ((1, -1),))
157 (((2, -1),), ((0, -1),), ((2, -1),), ((2, -1),))
158 (((2, -1),), ((0, -1),), ((2, -1),), ((3, -1),))
159 (((2, -1),), ((1, -1),), ((2, -1),), ((0, 1),))
160 (((2, -1),), ((1, -1),), ((2, -1),), ((2, 1),))
161 (((2, -1),), ((1, -1),), ((2, -1),), ((3, 1),))
162 (((2, -1),), ((1, -1),), ((2, -1),), ((0, -1),))
163 (((2, -1),), ((1, -1),), ((2, -1),), ((1, -1),))
164 (((2, -1),), ((1, -1),), ((2, -1),), ((2, -1),))
165 (((2, -1),), ((1, -1),), ((2, -1),), ((3, -1),))
166 (((2, -1),), ((2, -1),), ((2, -1),), ((0, 1),))
167 (((2, -1),), ((2, -1),), ((2, -1),), ((1, 1),))
168 (((2, -1),), ((2, -1),), ((2, -1),), ((3, 1),))
169 (((2, -1),), ((2, -1),), ((2, -1),), ((0, -1),))
170 (((2, -1),), ((2, -1),), ((2, -1),), ((1, -1),))
171 (((2, -1),), ((2, -1),), ((2, -1),), ((2, -1),))
172 (((2, -1),), ((2, -1),), ((2, -1),), ((3, -1),))
173 (((2, -1),), ((3, -1),), ((2, -1),), ((0, 1),))
174 (((2, -1),), ((3, -1),), ((2, -1),), ((1, 1),))
175 (((2, -1),), ((3, -1),), ((2, -1),), ((2, 1),))
176 (((2, -1),), ((3, -1),), ((2, -1),), ((0, -1),))
177 (((2, -1),), ((3, -1),), ((2, -1),), ((1, -1),))
178 (((2, -1),), ((3, -1),), ((2, -1),), ((2, -1),))
179 (((2, -1),), ((3, -1),), ((2, -1),), ((3, -1),))
