# GENERATED by scripts/sk_sentence_census.py --merge -- do not edit.
# Rows whose sentence does not survive at commit 8b36733d782cabaf156e2ffa8a2ab73f624990db.  They are not applied.
# Re-key each row by the current hash after checking the carrier against the new text;
# `hint` is the most similar current sentence (similarity >= 0.60), never applied.
where	lane	old_key	old_commit	old_lines	status	decls	note	old_sentence	hint	similarity
rows/ms-intro-3.tsv:3	ms-intro-3	b1eef5e651ae	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	49-50	attribution		ms-intro-3 @9047d0d3c: Ozawa 2003 hyperlinear form [p. 527] and Pestov Open question 9.1 sofic form; quoted verbatim in Palomar/Pestov91Challenge.lean.	Ozawa stated the hyperlinear form in 2003~\cite[p.~527]{Ozawa}, and Pestov's Open question~9.1 adds the sofic form~\cite{Pestov}.	7f3b239e5f2a	0.74
rows/ms-intro-3.tsv:4	ms-intro-3	3e190ace28f6	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	50-52	attribution		ms-intro-3 @9047d0d3c: "Hyperlinear groups were named by Radulescu, and sofic groups were introduced by Gromov and named by Weiss." Naming history; no step uses it.	Hyperlinear groups were named by R\u{a}dulescu~\cite{Radulescu}, and sofic groups were introduced by Gromov~\cite{Gromov} and named by Weiss~\cite{Weiss}.	54e33325e875	0.99
rows/ms-intro-3.tsv:8	ms-intro-3	3331e8dcbf93	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	30-32	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces	ms-intro-3 @9047d0d3c: abstract restatement of thm:main (infinite, f.g., simple, (T)). Statement checked against tip l.55-68 by ms-intro-3; endpoint over four named pieces (FG ring, Simplicity, MarkedLimitExpanders, marked limit => LEF), ct-two-ended LANDED bf15b32cf.	For every infinite minimal subshift $X$, the group $G_X=\EL_3(\LC(X,\F_2)\rtimes\Z)$ is an infinite, finitely generated, simple group with property~\textup{(T)}.	1453f65cbfa2	0.79
rows/ms-intro-3.tsv:9	ms-intro-3	07a3f6913f1f	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	32-34	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces GroupApproximation.SimpleKazhdanSofic.PrintedMarkedLimitExpanders GroupApproximation.SimpleKazhdanSofic.IsMarkedLimit GroupApproximation.SimpleKazhdanSofic.IsExpanderFamily	ms-intro-3 @9047d0d3c: abstract, limit of finite simple SL_{3N}(F_2) in the space of marked groups with expander Cayley graphs: the PrintedMarkedLimitExpanders clause of thm:main (ct-two-ended, LANDED bf15b32cf), checked against the printed clause; producer piece PrintedMarkedLimitExpandersStatement (ms-units / ms-core-3).	It is a limit of finite simple groups $\SL_{3N}(\F_2)$ in the space of marked groups, and their Cayley graphs form a family of expanders.	8bd3ab27271c	0.66
rows/ms-intro-3.tsv:10	ms-intro-3	98730cf39196	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	34-35	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces	ms-intro-3 @9047d0d3c: abstract, "So G_X is LEF, sofic and hyperlinear": IsLEF, IsSofic, IsHyperlinear clauses of thm:main (ct-two-ended, LANDED bf15b32cf), from the marked limit through the piece PrintedMarkedLimitLEFStatement.	So $G_X$ is locally embeddable into finite groups, sofic and hyperlinear.	8e2fecfd278a	0.91
rows/ms-intro-3.tsv:11	ms-intro-3	93bcebbc8293	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	35-37	partial	GroupApproximation.SimpleKazhdanSofic.printedBrownOzawaPestovAnswer GroupApproximation.SimpleKazhdanSofic.printedGXAnswersBrownOzawaPestov_of_main GroupApproximation.SimpleKazhdanSofic.toeplitzSubshift_isMinimal GroupApproximation.SimpleKazhdanSofic.toeplitzSubshift_infinite	ms-intro-3 @9047d0d3c: "This answers the question of Brown and Ozawa ... and Pestov's sofic version of it." CLOSED existence printedBrownOzawaPestovAnswer (an infinite simple Kazhdan group that is sofic and hyperlinear, via Pestov91.exists_infinite_simple_kazhdan_lef); the G_X form printedGXAnswersBrownOzawaPestov_of_main at the minimal infinite Toeplitz subshift closes with thm:main. LANDED 3a92eb17b (probe 0913-212746-60404 GREEN).	This answers the question of Brown and Ozawa whether an infinite simple Kazhdan group can be hyperlinear, and Pestov's sofic version of it.	6866200f2d46	0.76
rows/ms-intro-3.tsv:12	ms-intro-3	1cd55586c7f2	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	37-40	open		ms-intro-3 @9047d0d3c: abstract, "A f.g. group is LEF iff it is a subgroup of an infinite f.g. simple Kazhdan group with this property, and one such group contains every f.g. linear group." Conjunction of cor:lef (l.276-279, sk-lef-assembly) and the linear-group clause of the second corollary (l.348-352, sk-universal); no carrier landed yet.	A finitely generated group is locally embeddable into finite groups if and only if it is a subgroup of an infinite finitely generated simple Kazhdan group with this property, and one such group contains every finitely generated linear group.		
rows/ms-intro-3.tsv:13	ms-intro-3	0f378151c024	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	40-41	open		ms-intro-3 @9047d0d3c: abstract, every Turing degree; owner skf-degrees (Word problems section).	Every Turing degree is the word-problem degree of some $G_X$.		
rows/ms-intro-3.tsv:19	ms-intro-3	544404c03971	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	71-72	attribution	GroupApproximation.Pestov91.elementary_hasKazhdanPropertyT	ms-intro-3 @9047d0d3c: "Property (T), introduced by Kazhdan, follows from the theorem of Ershov and Jaikin-Zapirain." Attribution; the cited theorem is proved in the repository (Pestov91.elementary_hasKazhdanPropertyT via IntegralColumnPlaneClosure), not assumed.	Property~\textup{(T)}, introduced by Kazhdan~\cite{Kazhdan}, follows from the theorem of Ershov and Jaikin-Zapirain~\cite{EJZ}.		
rows/ms-intro-3.tsv:20	ms-intro-3	30dcdf15b13a	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	72-76	attribution		ms-intro-3 @9047d0d3c: periodic approximation as in Grigorchuk-Medynets [Theorem 2.6], expanders as in Kassabov; credit for the Finite models route (ms-units / ms-core-3), whose carriers carry the mathematics.	The finite models use periodic approximation, as in the proof by Grigorchuk and Medynets that topological full groups of minimal Cantor systems are LEF~\cite[Theorem~2.6]{GM}, and the expanders arise as in Kassabov's construction~\cite{Kassabov}.	48be259e6698	0.60
rows/ms-intro-3.tsv:21	ms-intro-3	9dae19a3e894	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	85-88	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimplicityStatement	ms-intro-3 @9047d0d3c: roadmap of the direct simplicity proof (nontrivial commutator in a copy of GL_d(F_2) over a clopen tower); the simplicity clause is the piece PrintedSimplicityStatement (ct-two-ended, LANDED bf15b32cf), owners ct-bilateral-mf / skf-consequences.	Our proof is direct: a nontrivial normal subgroup contains a nontrivial commutator lying in a copy of the finite simple group $\GL_d(\F_2)$ over a clopen tower, so it contains this group and with it an elementary matrix.	9c6c8ee991ac	0.89
rows/ms-intro-3.tsv:22	ms-intro-3	870306a8de13	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	83-85	attribution		ms-intro-3 @9047d0d3c: Matui [Lemma 3.4, Theorem 4.9], derived topological full groups; prior work, no step uses it.	For derived topological full groups, Matui showed in the same way that a nontrivial normal subgroup meets a simple union of alternating groups on towers~\cite[Lemma~3.4 and Theorem~4.9]{Matui}.	eadacb5ce412	0.94
rows/ms-intro-3.tsv:23	ms-intro-3	858f409740bb	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	85-87	attribution		ms-intro-3 @9047d0d3c: Thom, a finitely generated Kazhdan LEF group that is not residually finite, not simple; prior work, no step uses it.	Thom constructed a finitely generated Kazhdan LEF group that is not residually finite~\cite{Thom}, but his example is not simple.	660dd9b4b09f	0.87
rows/ms-intro-3.tsv:24	ms-intro-3	566d31ef6443	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	89-90	structural		ms-intro-3 @9047d0d3c: "The same proof applies to the lamplighter action of a group Delta on F_2^Delta." Roadmap to Part (ii) of the proof of cor:lef (l.294-317, sk-lef-action and sk-lef-simplicity); no claim beyond that section.	The same proof applies to the lamplighter action of a group $\Delta$ on $\F_2^{\Delta}$.		
rows/ms-intro-3.tsv:25	ms-intro-3	4700f8930d01	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	90-93	open		ms-intro-3 @9047d0d3c: "It shows that a f.g. group is LEF iff it is a subgroup of an infinite f.g. simple Kazhdan LEF group (Corollary cor:lef), and one such group contains every f.g. linear group." Same carriers as 1cd55586c7f2: cor:lef (sk-lef-assembly) and the second corollary (sk-universal); row split proposed to sk-lef-assembly ~21:30.	It shows that a finitely generated group is LEF if and only if it is a subgroup of an infinite finitely generated simple Kazhdan LEF group (Corollary~\ref{cor:lef}), and one such group contains every finitely generated linear group.	60be9d39afa5	0.63
rows/oa-kirchberg.tsv:1	oa-kirchberg	88ecdc10f78b	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	283-287	partial	GroupApproximation.SimpleKazhdanSofic.PrintedKirchbergTheoremOneOne GroupApproximation.SimpleKazhdanSofic.printedKirchbergTheoremOneOne GroupApproximation.NinetyNineProblems.KirchbergTheorem.kirchbergKazhdanFactorizationInput	oa-kirchberg: Kirchberg's Theorem 1.1 is proved with no input, at the trace side of the factorization property (the repository definition, Ozawa's (F)), along a real dilation of the models, the completed tensor square, the Kazhdan near-invariant vector, compact extraction and Mal'cev. Open: the Corollary 1.2 clause, "every subgroup of the unitary group of R has the factorization property".	Kirchberg proved that a Kazhdan group with the factorization property is residually finite~\cite[Theorem~1.1]{Kirchberg}, and that every subgroup of the unitary group of $\mathcal R$ has the factorization property~\cite[Corollary~1.2]{Kirchberg}.		
rows/oa-kirchberg.tsv:2	oa-kirchberg	a63ff00e499b	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	287-290	partial	GroupApproximation.SimpleKazhdanSofic.PrintedGLacksFactorizationProperty GroupApproximation.SimpleKazhdanSofic.printedGLacksFactorizationProperty	oa-kirchberg: "So G does not have the factorization property", for every infinite simple Kazhdan group, from Theorem 1.1 and not_isResiduallyFinite_of_isSimpleGroup_of_infinite. Open: "it is not a subgroup of the unitary group of R" (needs Corollary 1.2); the LLP clause belongs to oa-llp.	So $G$ does not have the factorization property, it is not a subgroup of the unitary group of $\mathcal R$, and $C^*(G)$ does not have the local lifting property~\cite[p.~527]{Ozawa}.		
rows/sk-lef-assembly.tsv:1	sk-lef-assembly	197333c03a92	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	294-298	attribution		sk-lef-assembly @696c4b602: Gorjuskin and Schupp, Coulon--Fournier-Facio Theorem 1.5 and Higman's universal group are prior work used as context, not as a step of any proof in the note	Every countable group embeds in a finitely generated simple group~\cite{Gorjuskin,Schupp}, and even in a simple quotient of a torsion-free hyperbolic Kazhdan group~\cite[Theorem~1.5]{CoulonFournierFacio}, so one simple Kazhdan group contains Higman's universal finitely presented group~\cite{Higman}.	fc84c012b409	0.98
rows/sk-lef-assembly.tsv:2	sk-lef-assembly	8b4f6b0857f1	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	298-302	attribution		sk-lef-assembly @696c4b602: Kionke--Schesler Theorem 1.2 with Wilson's theorem is prior work used as context, not as a step	Kionke and Schesler proved that every finitely generated residually finite group embeds in a finitely generated simple LEF group~\cite[Theorem~1.2]{KionkeSchesler}, so with Wilson's theorem~\cite{Wilson} one simple LEF group contains every finitely presented residually finite group.	8212b1470040	0.95
rows/sk-lef-assembly.tsv:3	sk-lef-assembly	42f4246af4ac	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	302-303	attribution		sk-lef-assembly @696c4b602: the Kionke--Schesler question on simple amenable hosts is prior work	They raised the question which groups embed in finitely generated simple amenable groups.	83394521b2d5	0.68
rows/sk-lef-assembly.tsv:5	sk-lef-assembly	4cc7b9e7d709	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	305-310	attribution		sk-lef-assembly @696c4b602: the Boone--Higman theorem and Thompson's strengthening are quoted as the parallel of cor:lef's second statement, not used as a step	Its second statement is the analogue for LEF groups of the theorem of Boone and Higman that a finitely generated group has solvable word problem if and only if it embeds in a simple subgroup of a finitely presented group~\cite{BooneHigman}, in the form of Thompson's strengthening, where the simple group is finitely generated and has solvable word problem~\cite{Thompson80}.	fd312b860bb5	0.96
rows/sk-lef-assembly.tsv:6	sk-lef-assembly	19d10ddcbec2	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	313-316	partial	GroupApproximation.SimpleKazhdanSofic.IsLEFHost GroupApproximation.SimpleKazhdanSofic.PrintedLEFSubgroupCharacterization GroupApproximation.SimpleKazhdanSofic.printedLEFSubgroupCharacterization_of_lamplighter GroupApproximation.SimpleKazhdanSofic.isLEF_of_embeds_isLEFHost	sk-lef-assembly @696c4b602: cor:lef first statement; LEFCharacterization ad79bfbc2 and LEFCharacterizationAssembly 2616814eb (probe 0914-084626-5847 GREEN, wire-queued). The "if" half is closed, and Part (i) is consumed as sk-lef-ultra's closed lefUltraproductEmbeddingStatement. The statement rests only on LEFLamplighterStatement (sk-lef-action)	A finitely generated group is LEF if and only if it is a subgroup of an infinite, finitely generated, simple group with property~\textup{(T)} that is a limit of finite simple groups $\SL_N(\F_2)$ in the space of marked groups, whose Cayley graphs form a family of expanders.	022271399cfb	0.85
rows/sk-lef-assembly.tsv:10	sk-lef-assembly	31ffcc3c38e6	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	324-327	partial	GroupApproximation.SimpleKazhdanSofic.PrintedRecursivelyPresentedLEFHost GroupApproximation.SimpleKazhdanSofic.printedRecursivelyPresentedLEFHost_of_lamplighter GroupApproximation.SimpleKazhdanSofic.recursivePresentationClassesStatement	sk-lef-assembly @696c4b602: last statement of cor:host over LEFLamplighterStatement alone. The two "for instance" clauses (f.p. RF groups; G_Y with recursive language) are not yet carried	So one such group contains every recursively presented finitely generated LEF group, for instance every finitely presented residually finite group and every $G_Y$ whose language is recursive.	9b1a6e7489a1	0.83
rows/sk-lef-assembly.tsv:14	sk-lef-assembly	4d817ab1caf8	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	435-436	formalized	GroupApproximation.SimpleKazhdanSofic.lefFamily_countableClasses_of_host GroupApproximation.ContinuumMultiplicity.countable_fg_subgroups GroupApproximation.ContinuumMultiplicity.countable_of_fg	sk-lef-assembly @696c4b602: a countable group has countably many f.g. subgroups (countable_fg_subgroups), used for the "only if" half of the second statement of cor:host	Conversely, a countable group has countably many finitely generated subgroups.	5bd4618a3044	0.74
rows/sk-lef-assembly.tsv:15	sk-lef-assembly	b88e89d11935	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	436-437	formalized	GroupApproximation.SimpleKazhdanSofic.RecursivePresentationClassesStatement GroupApproximation.SimpleKazhdanSofic.recursivePresentationClassesStatement GroupApproximation.SimpleKazhdanSofic.exists_code_dom_iff GroupApproximation.SimpleKazhdanSofic.CodeGroup	sk-lef-assembly @696c4b602: every recursively presented group is presented by its kernel, whose membership is the domain of a program c, so it is isomorphic to CodeGroup c; closed, LEFRecursivePresentationClasses 2616814eb, wire-queued	There are countably many recursive presentations.		
rows/sk-lef-assembly.tsv:18	sk-lef-assembly	fdf7d6e33044	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	461-464	partial	GroupApproximation.isLEF_of_residuallyFinite GroupApproximation.SimpleKazhdanSofic.PrintedLEFSubgroupCharacterization	sk-lef-assembly @696c4b602: a consequence remark, not attribution. RF implies LEF is closed and cor:lef is partial; no carrier for the existence of Osajda's f.g. RF non-exact groups, and none for "property A passes to subgroups" (Analysis/ExactnessPermanence defines HasPropertyA but proves no subgroup permanence)	Applied to the finitely generated residually finite non-exact groups of Osajda~\cite{OsajdaRF}, which are LEF, Corollary~\ref{cor:lef} gives infinite simple Kazhdan LEF groups that are not exact, since exactness, that is, property~A, passes to subgroups.		
rows/sk-stepanov.tsv:1	sk-stepanov	9424f59fd820	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	81-85	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedStepanovRouteSimplicity GroupApproximation.SimpleKazhdanSofic.printedStepanovRouteSimplicity GroupApproximation.StepanovNormalStructure.PrintedStepanovTheorem44SimpleRing GroupApproximation.StepanovNormalStructure.printedStepanovTheorem44SimpleRing GroupApproximation.SimpleKazhdanSofic.PrintedSubshiftRingPairDependence GroupApproximation.SimpleKazhdanSofic.printedSubshiftRingPairDependence GroupApproximation.SimpleKazhdanSofic.PrintedPairDependenceClopenCrossedProduct GroupApproximation.SimpleKazhdanSofic.printedPairDependenceClopenCrossedProduct GroupApproximation.SimpleKazhdanSofic.isSimpleRing_R	sk-stepanov: "Simplicity of G_X also follows from Stepanov Theorem 4.4, since the ring is simple and any two of its elements p,q satisfy pr+qs=0 with (r,s)!=0, by a dimension count on a tower over one small cylinder"; sentence verified verbatim (sha256 9424f59fd820) at origin tip; Theorem 4.4 proved over a simple ring along p.2152 (no citation input), ring simplicity by SimpleKazhdanSofic.isSimpleRing, pair dependence by the tower count (the disjointness in "small" is unused), EL_n simple for n>=3; LANDED 74d702d7a	Simplicity of $G_X$ also follows from Stepanov's theorem on the normal structure of $\GL_n$~\cite[Theorem~4.4]{Stepanov}, since the ring is simple~\cite[Corollary~4.6]{ClarkEdie} and any two of its elements $p,q$ satisfy $pr+qs=0$ with $(r,s)\ne0$, by a dimension count on a tower over one small cylinder.	0efbce019168	0.90
rows/skf-approximants.tsv:1	skf-approximants	0ef60d94b97a	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	382-386	formalized	GroupApproximation.SimpleKazhdanSofic.sturmianCoding GroupApproximation.SimpleKazhdanSofic.sturmianSubshift GroupApproximation.SimpleKazhdanSofic.PrintedSturmianSubshiftInfiniteIsMinimal GroupApproximation.SimpleKazhdanSofic.printedSturmianSubshiftInfiniteIsMinimal GroupApproximation.SimpleKazhdanSofic.isMinimalSubshift_iff_isMinimal GroupApproximation.SimpleKazhdanSofic.PrintedSturmianSubshiftClosureOfCodings GroupApproximation.SimpleKazhdanSofic.printedSturmianSubshiftClosureOfCodings	skf-approximants @9047d0d3c: c(theta)_t = 1 iff theta + t alpha mod 1 >= 1 - alpha is sturmianCoding; X_alpha = sturmianSubshift alpha : Subshift Bool Z, proved infinite and Setting.IsMinimal for irrational alpha in (0,1), and equal to the closure of the set of codings over theta in [0,1). The MorseHedlund/Hedlund44/Lothaire input is proved (Dirichlet approximation gives bounded returns of the rotation), not cited. Modules SturmianSubshift + SturmianSubshiftMinimal (c04293088), SturmianSubshiftSetting (505979ccf).	For irrational $\alpha\in(0,1)$ let $X_\alpha$ be the infinite minimal Sturmian subshift, the closure of the set of codings $c(\theta)$, $\theta\in[0,1)$, with $c(\theta)_t=1$ if and only if $\theta+t\alpha\bmod1\ge1-\alpha$~\cite{MorseHedlund,Hedlund44}, \cite[Chapter~2]{Lothaire}.	5959e4fd6209	0.71
