# GENERATED by scripts/sk_sentence_census.py --merge -- do not edit.
# Rows whose sentence does not survive at commit df52c39ba504fe577bdaf788de750e78f2ee3fbe.  They are not applied.
# Re-key each row by the current hash after checking the carrier against the new text;
# `hint` is the most similar current sentence (similarity >= 0.60), never applied.
where	lane	old_key	old_commit	old_lines	status	decls	note	old_sentence	hint	similarity
rows/ct-involution.tsv:15	ct-involution	9212b6e18210	42a95d13d3a40578307e4fe88b92bcdcca30b008	144-146	formalized	GroupApproximation.SimpleKazhdanSofic.printedEJZTheorem GroupApproximation.IntegralColumnPlaneClosure.finitelyGeneratedRingGeneralRankElementaryPropertyT	ct-involution: Ershov--Jaikin-Zapirain Theorem 1.1 is proved in the repository (IntegralColumnPlaneClosure); #audit_closed_axioms; LANDED 04ba48c58; verbatim at 696c4b602	By Ershov and Jaikin-Zapirain~\cite[Theorem~1.1]{EJZ}, $\EL_n$ of every finitely generated associative unital ring has property~\textup{(T)} for $n\ge3$.	1000b4dda3f2	0.90
rows/ct-involution.tsv:16	ct-involution	becd7a8e2072	42a95d13d3a40578307e4fe88b92bcdcca30b008	147-148	formalized	GroupApproximation.SimpleKazhdanSofic.printedGroupCrossedProductPropertyTInfinite GroupApproximation.SimpleKazhdanSofic.infinite_elementaryGroup_of_injective	ct-involution: for a finite ring generating set, EL_n(LC(Z,F2) x Lambda) has (T) for n >= 3 and is infinite via e_12 on LC(Z,F2), Z infinite totally separated (every Cantor set); #audit_closed_axioms; LANDED 04ba48c58; verbatim at 696c4b602	So $G$ has property~\textup{(T)}, and it is infinite because $e_{12}(\LC(Z,\F_2))$ is infinite.	5c7e6bf6360f	0.72
rows/ct-involution.tsv:17	ct-involution	bdd19b7d1e1f	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	541-544	partial	GroupApproximation.SimpleKazhdanSofic.printedWordProblemKernels_of_simplicity GroupApproximation.SimpleKazhdanSofic.freeAlgebraProj_surjective GroupApproximation.SimpleKazhdanSofic.e12_kernelWord_mem_ker_iff GroupApproximation.SimpleKazhdanSofic.ker_ne_of_ne GroupApproximation.SimpleKazhdanSofic.hasKazhdanPropertyT_elementaryGroup_freeAlgebra	ct-involution: F = FreeAlgebra (ZMod 2) (Option (Coeff A)) (letters tau_1, tau_+-, tau_a); EL3(F) Kazhdan, EL3(pi_X) onto G_X, the kernel criterion via CylinderTables.listLanguage, and different subshifts give different kernels (a subshift is determined by its language) are proved; "simple" rests on MainAssembly PrintedSimplicityStatement (open); LANDED 5fd9ba19b (WordProblemKernels); verbatim at 696c4b602	For a fixed alphabet, every $G_X$ is a simple quotient of the Kazhdan group $\EL_3(F)$, and $e_{12}(\prod_{t<m}\tau_-^t\tau_{v_t}\tau_+^t)$ lies in the kernel if and only if $v\notin L(X)$, so different subshifts give different kernels.		
rows/ct-two-ended.tsv:1	ct-two-ended	a9d39de3a9f7	42a95d13d3a40578307e4fe88b92bcdcca30b008	110-112	definition	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanGeneral GroupApproximation.ClopenGroupCrossedProduct	ct-two-ended @8b36733d7: "Let a finitely generated group Λ act minimally and topologically freely on a Cantor set Z, and let R = LC(Z,F₂)⋊Λ be generated by a finite set S∋1." The binders of PrintedSimpleKazhdanGeneral: [Group.FG Λ]; Z compact, metrizable, totally disconnected, perfect, nonempty; [MulAction Λ Z] [ContinuousConstSMul Λ Z]; MulAction.IsMinimal Λ Z; freeness as printed (∀ ξ ≠ 1, ∀ U open nonempty, ∃ z ∈ U, ξ • z ≠ z); S : Finset R with 1 ∈ S and Subring.closure S = ⊤. R is ClopenGroupCrossedProduct Λ Z (ZMod 2).	Let a finitely generated group $\Lambda$ act minimally and topologically freely on a Cantor set $Z$, and let $R=\LC(Z,\F_2)\rtimes\Lambda$ be generated by a finite set $S\ni1$.	e6683b64119d	0.96
rows/ct-two-ended.tsv:2	ct-two-ended	770348ecbf71	42a95d13d3a40578307e4fe88b92bcdcca30b008	112-116	definition	GroupApproximation.SimpleKazhdanSofic.IsMatricialVia GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanGeneral	ct-two-ended @8b36733d7: "Suppose that there are maps φ_k: R → M_{N_k}(F₂) with φ_k(1) = I such that φ_k(S) generates the ring M_{N_k}(F₂), and for all r, s ∈ R we have φ_k(r+s) = φ_k(r)+φ_k(s) and φ_k(rs) = φ_k(r)φ_k(s) for large k." IsMatricialVia S N φ, together with N_k ≥ 1, which the printed sentence leaves implicit. With size-zero models the printed hypotheses hold and the marked convergence fails; ms-core-3 reported this to main.	Suppose that there are maps $\varphi_k\colon R\to M_{N_k}(\F_2)$ with $\varphi_k(1)=I$ such that $\varphi_k(S)$ generates the ring $M_{N_k}(\F_2)$, and for all $r,s\in R$ we have $\varphi_k(r+s)=\varphi_k(r)+\varphi_k(s)$ and $\varphi_k(rs)=\varphi_k(r)\varphi_k(s)$ for large $k$.	ca3cb1c232a8	0.79
rows/ct-two-ended.tsv:3	ct-two-ended	b4a4e3abdeda	42a95d13d3a40578307e4fe88b92bcdcca30b008	116-118	formalized	GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanGeneral GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanGeneral	ct-two-ended @8b36733d7: "Then for every n ≥ 3, EL_n(R) is an infinite, finitely generated, simple Kazhdan group." The first four conjuncts of PrintedSimpleKazhdanGeneral: Infinite, Group.FG, IsSimpleGroup and HasKazhdanPropertyT of ↥(elementaryGroup (Fin n) (ClopenGroupCrossedProduct Λ Z (ZMod 2))) for every n ≥ 3; closed endpoint printedSimpleKazhdanGeneral (11fb4e4dd).	Then for every $n\ge3$, $\EL_n(R)$ is an infinite, finitely generated, simple Kazhdan group.	4420496f1fee	0.86
rows/ct-two-ended.tsv:4	ct-two-ended	ce4df433abd6	42a95d13d3a40578307e4fe88b92bcdcca30b008	123-126	formalized	GroupApproximation.SimpleKazhdanSofic.printedPeriodicMatricialStatement GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_general GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedCountableLEFHost GroupApproximation.SimpleKazhdanSofic.printedLamplighterHost GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanGeneral GroupApproximation.SimpleKazhdanSofic.printedMarkedLimitSubgroupsLEF GroupApproximation.SimpleKazhdanSofic.finite_elementaryGroup_matrix	ct-two-ended @8b36733d7: "Periodic approximations give such maps for LC(X,F₂)⋊_T ℤ, which gives Theorem thm:main": printedPeriodicMatricialStatement (ms-core-3, a1c4c8ca5) feeds printedSimpleKazhdanSoficMain_of_general, which closes printedSimpleKazhdanSoficMain (b972efc71). "and lamplighter actions show that the countable subgroups of the groups in Theorem thm:general are exactly the countable LEF groups (Corollary cor:host)": every countable LEF group embeds in an IsLEFHost group (printedCountableLEFHost, sk-lef-assembly's LEFCharacterizationClosed, 83164235d). That host is EL_3 of the clopen crossed product of the lamplighter action LampAffine Δ on LampSpace Δ, and sk-lef-action's printedLamplighterHost gets its properties from printedSimpleKazhdanGeneral, so it is a group of thm:general. Conversely, every subgroup of a group of thm:general is LEF: apply printedMarkedLimitSubgroupsLEF to the marked-limit conjunct of printedSimpleKazhdanGeneral, whose targets are finite (finite_elementaryGroup_matrix).	Periodic approximations give such maps for $\LC(X,\F_2)\rtimes_T\Z$, which gives Theorem~\ref{thm:main}, and lamplighter actions show that the countable subgroups of the groups in Theorem~\ref{thm:general} are exactly the countable LEF groups (Corollary~\ref{cor:host}).	9cfaf3b5009a	0.73
rows/ms-compress-4.tsv:1	ms-compress-4	d96b6930fe6d	e80dcf20ad478c41b0613820a299c2a76eb81624	103-108	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedElementaryIdentities GroupApproximation.SimpleKazhdanSofic.printedElementaryIdentities GroupApproximation.elementaryUnit_mul GroupApproximation.elementaryUnit_commutator	ms-compress-4: display eq:elementary, "e_ij(r+s)=e_ij(r)e_ij(s), i!=j; [e_ik(r),e_kj(s)]=e_ij(rs), i,j,k distinct"; display text verified identical at origin tip e80dcf20a (tex 103-108); both identities over every unital ring at the printed index names; LANDED daef03299, probe 0913-194134-17952 GREEN, #audit_closed_axioms	[display] \begin{aligned} e_{ij}(r+s)&=e_{ij}(r)e_{ij}(s),\qquad i\ne j,\\ [e_{ik}(r),e_{kj}(s)]&=e_{ij}(rs),\qquad i,j,k\text{ distinct}. \end{aligned}	321960985f46	0.63
rows/ms-compress-4.tsv:2	ms-compress-4	64da45d532f8	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	127-128	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedElementaryInfinite GroupApproximation.SimpleKazhdanSofic.printedElementaryInfinite GroupApproximation.SimpleKazhdanSofic.infinite_locallyConstant_zmodTwo GroupApproximation.SimpleKazhdanSofic.infinite_elementaryGroup_fin_three_of_injective	ms-compress-4: "It is infinite because e_12(LC(X,F_2)) is infinite", text verified identical at origin tip e80dcf20a (tex 113-114); for every infinite totally separated X and homeomorphism T (every infinite subshift with its shift, e.g. X = S.carrier, T = subshiftHomeo S), EL_3(ClopenCrossedProduct T (ZMod 2)) is infinite along the printed route (LC(X,F_2) infinite; a -> e_12(coeff a) injective); LANDED daef03299, probe 0913-194134-17952 GREEN, #audit_closed_axioms	It is infinite because $e_{12}(\LC(X,\F_2))$ is infinite.	5c7e6bf6360f	0.98
rows/ms-core-3.tsv:1	ms-core-3	e4fd510a51c5	42a95d13d3a40578307e4fe88b92bcdcca30b008	215-218	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedBlockElementarySpecialLinear GroupApproximation.SimpleKazhdanSofic.printedBlockElementarySpecialLinear GroupApproximation.SimpleKazhdanSofic.elementaryBlockGroup_map_eq_ker_detUnits GroupApproximation.AlgebraicK.ker_detUnits GroupApproximation.elementaryBlockGroup_map	ms-core-3: tex 218-221 at 696c4b602, "Here $\EL_3(M_{N_k}(\F_2))=\SL_{3N_k}(\F_2)$, as transvections generate $\SL_{3N_k}(\F_2)$ and those inside one block are commutators of those between blocks." Along the printed route, at the generality of thm:general (every n >= 3, N >= 1): AlgebraicK.ker_detUnits (ker det = EL over a field, so transvections generate SL) and elementaryBlockGroup_map, whose in-block root (i,k)->(i,l) is the commutator of the cross-block roots (i,k)->(j,k) and (j,k)->(i,l). Closed endpoint printedBlockElementarySpecialLinear (#audit_closed_axioms). Module Manuscript/SimpleKazhdanSofic/MarkedLimitSpecialLinear, landed 37646c582.	Here $\EL_3(M_{N_k}(\F_2))=\SL_{3N_k}(\F_2)$, as transvections generate $\SL_{3N_k}(\F_2)$ and those inside one block are commutators of those between blocks.	aae3dce58326	0.89
rows/ms-core-3.tsv:2	ms-core-3	25fefb1e2ac1	42a95d13d3a40578307e4fe88b92bcdcca30b008	211-214	definition	GroupApproximation.SimpleKazhdanSofic.piLetters GroupApproximation.SimpleKazhdanSofic.rhoLetters GroupApproximation.SimpleKazhdanSofic.piLetters_ι GroupApproximation.SimpleKazhdanSofic.rhoLetters_ι	ms-core-3: tex 214-217, the free algebra on letters tau_s and the ring homomorphisms pi, rho_k with pi(tau_s) = s, rho_k(tau_s) = phi_k(s): piLetters and rhoLetters over FreeAlgebra (ZMod 2) S. For a general ring R the F2-algebra structure is derived from simplicity (one_add_one_eq_zero_of_matricial). Modules Manuscript/SimpleKazhdanSofic/MatricialMarkedLimit (8e8cd3c9b) and MatricialMarkedLimitWords (77d39b591), queued for wiring.	Let $F$ be the free algebra over $\F_2$ on letters $\tau_s$, $s\in S$, and let $\pi\colon F\to R$ and $\rho_k\colon F\to M_{N_k}(\F_2)$ be the ring homomorphisms with $\pi(\tau_s)=s$ and $\rho_k(\tau_s)=\varphi_k(s)$.	5403018563ea	0.80
rows/ms-core-3.tsv:3	ms-core-3	2e17cbfab2b6	42a95d13d3a40578307e4fe88b92bcdcca30b008	214-215	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedLettersOntoQuotients GroupApproximation.SimpleKazhdanSofic.printedLettersOntoQuotients GroupApproximation.SimpleKazhdanSofic.piLetters_surjective GroupApproximation.SimpleKazhdanSofic.rhoLetters_surjective GroupApproximation.SimpleKazhdanSofic.elementaryGroupMap_letters_surjective	ms-core-3: Finite simple models, "Both are onto, so G and EL_3(M_{N_k}(F2)) are quotients of EL_3(F)." Closed endpoint printedLettersOntoQuotients (#audit_closed_axioms): pi and rho_k are onto because their ranges are subrings containing S and phi_k(S) (piLetters_surjective, rhoLetters_surjective), so both elementary maps from EL_n(F) are onto (elementaryGroupMap_letters_surjective), at every n. Module Manuscript/SimpleKazhdanSofic/MatricialMarkedLimitDegree (b10d07776), queued for wiring. Sentence text verified at tip.	Both are onto, so $G$ and $\EL_3(M_{N_k}(\F_2))$ are quotients of $\EL_3(F)$.	98c0dc44dff3	0.93
rows/ms-core-3.tsv:4	ms-core-3	cbc0b3980a99	42a95d13d3a40578307e4fe88b92bcdcca30b008	218-220	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedFreeMarkingGeneration GroupApproximation.SimpleKazhdanSofic.printedFreeMarkingGeneration GroupApproximation.SimpleKazhdanSofic.freeMarking GroupApproximation.SimpleKazhdanSofic.closure_range_freeMarking_eq_top GroupApproximation.SimpleKazhdanSofic.piLetters_freeMarking_one GroupApproximation.SimpleKazhdanSofic.rhoLetters_freeMarking_one	ms-core-3: Finite simple models, "The group EL_3(F) is generated by the e_ij(1) and e_ij(tau_s), and in both quotients e_ij(1) and e_ij(tau_1) have the same image." Closed endpoint printedFreeMarkingGeneration: EL_n(F) is generated by e_ij(1) and e_ij(tau_s) for n >= 3 (closure_range_freeMarking_eq_top, since the letters generate F); e_ij(tau_1) and e_ij(1) have the same image under pi and under rho_k (piLetters_freeMarking_one, rhoLetters_freeMarking_one). Module Manuscript/SimpleKazhdanSofic/MatricialMarkedLimitDegree (b10d07776), queued for wiring. Sentence text verified at tip.	The group $\EL_3(F)$ is generated by the $e_{ij}(1)$ and $e_{ij}(\tau_s)$, and in both quotients $e_{ij}(1)$ and $e_{ij}(\tau_1)$ have the same image.	fe0b43aae359	0.93
rows/ms-core-3.tsv:5	ms-core-3	d228d6575111	42a95d13d3a40578307e4fe88b92bcdcca30b008	220-223	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedWordEntriesDegreeAgreement GroupApproximation.SimpleKazhdanSofic.printedWordEntriesDegreeAgreement GroupApproximation.SimpleKazhdanSofic.degLE GroupApproximation.SimpleKazhdanSofic.entries_lift_mem_degLE GroupApproximation.SimpleKazhdanSofic.finite_degLE GroupApproximation.SimpleKazhdanSofic.eventually_forall_degLE_map_comp_eq	ms-core-3: Finite simple models, "A word of length lambda or less in the e_ij(tau_s) has entries of degree at most lambda in F, and phi_k o pi = rho_k on the finitely many such entries for large k." Closed endpoint printedWordEntriesDegreeAgreement: degLE lambda is the span of the monomials of length <= lambda; the entries of a word with toWord length <= lambda lie in it (entries_lift_mem_degLE); it is finite for finite S (finite_degLE); and phi_k o pi = rho_k on all of it for large k (eventually_forall_degLE_map_comp_eq). The statement assumes DecidableEq R, needed to read a word's letters; this holds classically for every ring. Module Manuscript/SimpleKazhdanSofic/MatricialMarkedLimitDegree (b10d07776), queued for wiring. Sentence text verified at tip.	A word of length $\lambda$ or less in the $e_{ij}(\tau_s)$ has entries of degree at most $\lambda$ in $F$, and $\varphi_k\circ\pi=\rho_k$ on the finitely many such entries for large $k$.	dc18fb5cd4e3	0.88
rows/ms-core-3.tsv:7	ms-core-3	db0ff25cc298	911b7b3f4a0e61060ac3b75372f3fbad48a17e04	332-335	formalized	GroupApproximation.SimpleKazhdanSofic.ultraCon GroupApproximation.SimpleKazhdanSofic.ultraMap	ms-core-3: tex 226-229, "Conversely, for a nonprincipal ultrafilter omega on N the phi_k define a unital ring homomorphism from R to the algebraic ultraproduct prod_omega M_{N_k}(F2)." ultraCon: the product ring modulo eventual equality along omega (a RingCon quotient); ultraMap: the unital ring homomorphism from the matricial hypotheses, for every filter omega <= atTop. Modules Manuscript/SimpleKazhdanSofic/MatricialMarkedLimit (8e8cd3c9b) and MatricialMarkedLimitWords (77d39b591), queued for wiring.	Conversely, for a nonprincipal ultrafilter $\omega$ on $\mathbb N$ the $\varphi_k$ define a unital ring homomorphism from $R$ to the algebraic ultraproduct $\prod_\omega M_{N_k}(\F_2)$.		
rows/ms-core-3.tsv:8	ms-core-3	3d7e4722fef8	911b7b3f4a0e61060ac3b75372f3fbad48a17e04	335-337	formalized	GroupApproximation.SimpleKazhdanSofic.eq_one_of_ultraMap_eq_one GroupApproximation.SimpleKazhdanSofic.ultraMap_one_ne_zero	ms-core-3: tex 229-231, "It maps G to prod_omega SL_{3N_k}(F2), and its kernel on G is a normal subgroup that does not contain e_12(1), so it is trivial." eq_one_of_ultraMap_eq_one: the kernel of elementaryGroupMap of ultraMap on a simple EL_n(R) is normal and misses e_12(1) because the ultraproduct is nontrivial (ultraMap_one_ne_zero, from eventually positive sizes), so it is trivial. The image is spelled in EL_n of the ultraproduct. Modules Manuscript/SimpleKazhdanSofic/MatricialMarkedLimit (8e8cd3c9b) and MatricialMarkedLimitWords (77d39b591), queued for wiring.	It maps $G$ to $\prod_\omega\SL_{3N_k}(\F_2)$, and its kernel on $G$ is a normal subgroup that does not contain $e_{12}(1)$, so it is trivial.		
rows/ms-core-3.tsv:9	ms-core-3	9a9aa9313dca	911b7b3f4a0e61060ac3b75372f3fbad48a17e04	337-339	formalized	GroupApproximation.SimpleKazhdanSofic.isMarkedLimit_of_matricial	ms-core-3: tex 231-233, "As this holds for every omega, each nontrivial word is nontrivial in SL_{3N_k}(F2) for all but finitely many k." In isMarkedLimit_of_matricial: if a word is trivial for infinitely many k, Ultrafilter.of of atTop inf the principal set gives omega <= atTop along which it is trivial, and the kernel argument makes it trivial in G. Modules Manuscript/SimpleKazhdanSofic/MatricialMarkedLimit (8e8cd3c9b) and MatricialMarkedLimitWords (77d39b591), queued for wiring.	As this holds for every $\omega$, each nontrivial word is nontrivial in $\SL_{3N_k}(\F_2)$ for all but finitely many $k$.		
rows/ms-core-3.tsv:10	ms-core-3	995620260311	42a95d13d3a40578307e4fe88b92bcdcca30b008	231-233	partial	GroupApproximation.SimpleKazhdanSofic.isMarkedLimit_of_matricial	ms-core-3: tex 233-235, "So these finite simple groups converge to G in the space of marked groups, G is LEF, and N_k -> infinity as G is infinite." The convergence is isMarkedLimit_of_matricial in ct-two-ended's IsMarkedLimit spelling, at every n >= 3. Partial here: "G is LEF" and N_k -> infinity are ct-two-ended's (isLEF_of_isMarkedLimit, tendsto_card_of_isMarkedLimit). Modules Manuscript/SimpleKazhdanSofic/MatricialMarkedLimit (8e8cd3c9b) and MatricialMarkedLimitWords (77d39b591), queued for wiring.	So these finite simple groups converge to $G$ in the space of marked groups~\cite{Grigorchuk,Champetier}, $G$ is LEF, and $N_k\to\infty$ as $G$ is infinite.	10c9c86a2224	0.71
rows/ms-core-3.tsv:12	ms-core-3	1dd960096ceb	42a95d13d3a40578307e4fe88b92bcdcca30b008	242-246	formalized	GroupApproximation.SimpleKazhdanSofic.subring_closure_eq_top GroupApproximation.SimpleKazhdanSofic.ringGenerators GroupApproximation.SimpleKazhdanSofic.coeff_coordIndicator_mem_closure GroupApproximation.SimpleKazhdanSofic.printedGenerators	ms-core-3: proof of thm:main, "The ring R is generated by S = {1,u,u^{-1}} u {e_a}, since products of the translates u^j e_a u^{-j} are the cylinder indicators, which span LC(X,F2)." RingGeneration.subring_closure_eq_top (ct-involution, 22b15ce5e) along the printed route (coeff_coordIndicator_mem_closure: translates are coordinate indicators); printedGenerators S = insert 1 ringGenerators (MainFromGeneral). Sentence text verified at tip f34e9c0b1.	The ring $R=\LC(X,\F_2)\rtimes_T\Z$ is generated by $S=\{1,u,u^{-1}\}\cup\{e_a:a\in A\}$, where $e_a=e_{\{x:x_0=a\}}$, since products of the translates $u^je_au^{-j}$ are the cylinder indicators, which span $\LC(X,\F_2)$.	0fd8cf7d1eed	0.83
